學年度,學校名稱,學制班別(日間),申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
106,國立政治大學,學士班(日間),7,1,1,3,2,0,0,...,0
106,國立政治大學,學士班(日間),10,1,0,3,4,0,2,...,0
106,國立政治大學,學士班(日間),9,2,1,4,2,0,0,...,0
106,國立政治大學,學士班(日間),6,0,1,1,4,0,0,...,0
106,國立政治大學,學士班(日間),5,2,1,1,1,0,0,...,0
106,國立政治大學,學士班(日間),16,3,2,6,5,0,0,...,0
106,國立政治大學,學士班(日間),11,6,1,1,3,0,0,...,0
106,國立政治大學,學士班(日間),5,0,1,2,1,0,1,...,0
106,國立政治大學,學士班(日間),12,6,0,2,1,0,3,...,0
106,國立政治大學,學士班(日間),30,10,2,10,2,0,6,...,0
106,國立政治大學,學士班(日間),7,3,1,0,0,0,3,...,0
106,國立政治大學,學士班(日間),21,6,0,3,0,0,12,...,0
106,國立政治大學,學士班(日間),4,0,1,1,2,0,0,...,0
106,國立政治大學,學士班(日間),6,1,1,2,0,0,2,...,0
106,國立政治大學,學士班(日間),4,2,0,1,0,0,1,...,0
106,國立政治大學,學士班(日間),13,2,0,1,1,0,9,...,0
106,國立政治大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立政治大學,學士班(日間),11,3,0,1,1,0,6,...,0
106,國立政治大學,學士班(日間),11,5,0,2,1,0,3,...,0
106,國立政治大學,學士班(日間),34,13,1,5,7,0,8,...,0
106,國立政治大學,學士班(日間),10,2,0,2,2,0,4,...,0
106,國立政治大學,學士班(日間),22,5,4,4,6,0,3,...,0
106,國立政治大學,學士班(日間),8,3,0,1,1,0,3,...,0
106,國立政治大學,學士班(日間),27,11,1,8,4,0,3,...,0
106,國立政治大學,學士班(日間),15,6,3,3,2,0,1,...,0
106,國立政治大學,學士班(日間),10,3,0,3,1,0,3,...,0
106,國立政治大學,學士班(日間),4,2,0,1,0,0,1,...,0
106,國立政治大學,學士班(日間),14,3,0,6,2,0,3,...,0
106,國立政治大學,學士班(日間),11,2,1,4,3,0,1,...,0
106,國立政治大學,學士班(日間),19,6,1,5,3,0,4,...,0
106,國立政治大學,學士班(日間),3,2,0,0,1,0,0,...,0
106,國立政治大學,學士班(日間),6,3,0,1,1,0,1,...,0
106,國立政治大學,學士班(日間),12,3,1,0,4,0,4,...,0
106,國立政治大學,學士班(日間),11,2,1,2,3,0,3,...,0
106,國立政治大學,學士班(日間),3,1,1,0,0,0,1,...,0
106,國立政治大學,學士班(日間),10,1,2,2,1,0,4,...,0
106,國立政治大學,學士班(日間),5,3,1,0,0,0,1,...,0
106,國立政治大學,學士班(日間),17,2,2,1,3,0,9,...,0
106,國立政治大學,學士班(日間),11,3,3,1,2,0,2,...,0
106,國立政治大學,學士班(日間),22,3,1,5,4,0,9,...,0
106,國立政治大學,學士班(日間),6,4,0,1,1,0,0,...,0
106,國立政治大學,學士班(日間),18,6,3,3,1,0,5,...,0
106,國立政治大學,學士班(日間),5,5,0,0,0,0,0,...,0
106,國立政治大學,學士班(日間),5,2,0,1,0,0,2,...,0
106,國立政治大學,學士班(日間),10,3,0,3,1,0,3,...,0
106,國立政治大學,學士班(日間),5,2,0,1,0,0,2,...,0
106,國立政治大學,學士班(日間),3,2,0,0,1,0,0,...,0
106,國立政治大學,學士班(日間),11,4,0,2,1,0,4,...,0
106,國立政治大學,學士班(日間),4,2,0,0,0,0,2,...,0
106,國立政治大學,學士班(日間),7,3,1,0,1,0,2,...,0
106,國立政治大學,學士班(日間),18,10,2,1,1,0,4,...,0
106,國立政治大學,學士班(日間),22,2,4,6,3,0,7,...,0
106,國立政治大學,學士班(日間),1,0,1,0,0,0,0,...,0
106,國立政治大學,學士班(日間),7,2,1,1,1,0,2,...,0
106,國立政治大學,學士班(日間),16,11,3,1,1,0,0,...,0
106,國立政治大學,學士班(日間),5,1,0,0,2,0,2,...,0
106,國立政治大學,學士班(日間),6,2,1,0,1,0,2,...,0
106,國立政治大學,學士班(日間),11,4,0,1,3,0,3,...,0
106,國立政治大學,學士班(日間),7,1,4,0,0,0,2,...,0
106,國立政治大學,學士班(日間),17,3,3,2,2,0,7,...,0
106,國立政治大學,學士班(日間),19,10,3,5,1,0,0,...,0
106,國立政治大學,學士班(日間),20,6,0,8,5,0,1,...,0
106,國立政治大學,學士班(日間),17,13,2,2,0,0,0,...,0
106,國立政治大學,學士班(日間),5,2,0,3,0,0,0,...,0
106,國立政治大學,學士班(日間),8,6,2,0,0,0,0,...,0
106,國立政治大學,學士班(日間),11,4,3,1,3,0,0,...,0
106,國立政治大學,學士班(日間),3,0,0,0,1,0,2,...,0
106,國立政治大學,學士班(日間),9,6,3,0,0,0,0,...,0
106,國立政治大學,學士班(日間),7,4,1,0,2,0,0,...,0
106,國立清華大學,學士班(日間),6,5,1,0,0,0,0,...,0
106,國立清華大學,學士班(日間),5,1,3,0,1,0,0,...,0
106,國立清華大學,學士班(日間),1,0,1,0,0,0,0,...,0
106,國立清華大學,學士班(日間),2,0,1,0,0,0,0,...,1
106,國立清華大學,學士班(日間),3,0,2,0,0,0,0,...,1
106,國立清華大學,學士班(日間),11,5,5,0,1,0,0,...,0
106,國立清華大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),4,2,1,0,0,0,0,...,1
106,國立清華大學,學士班(日間),11,9,2,0,0,0,0,...,0
106,國立清華大學,學士班(日間),8,6,2,0,0,0,0,...,0
106,國立清華大學,學士班(日間),8,5,3,0,0,0,0,...,0
106,國立清華大學,學士班(日間),11,4,6,0,1,0,0,...,0
106,國立清華大學,學士班(日間),2,1,1,0,0,0,0,...,0
106,國立清華大學,學士班(日間),1,0,0,0,0,0,0,...,1
106,國立清華大學,學士班(日間),13,6,0,0,1,0,0,...,6
106,國立清華大學,學士班(日間),18,3,0,1,1,0,4,...,9
106,國立清華大學,學士班(日間),2,1,0,0,1,0,0,...,0
106,國立清華大學,學士班(日間),21,5,0,2,2,0,1,...,11
106,國立清華大學,學士班(日間),2,0,0,0,0,0,0,...,2
106,國立清華大學,學士班(日間),13,2,0,3,3,0,2,...,3
106,國立清華大學,學士班(日間),3,0,3,0,0,0,0,...,0
106,國立清華大學,學士班(日間),7,0,5,1,0,0,0,...,1
106,國立清華大學,學士班(日間),7,2,0,2,1,0,0,...,2
106,國立清華大學,學士班(日間),10,2,0,1,0,0,4,...,3
106,國立清華大學,學士班(日間),2,0,2,0,0,0,0,...,0
106,國立清華大學,學士班(日間),4,1,3,0,0,0,0,...,0
106,國立清華大學,學士班(日間),8,4,0,0,0,0,0,...,4
106,國立清華大學,學士班(日間),3,1,0,0,1,0,0,...,1
106,國立清華大學,學士班(日間),2,1,0,0,1,0,0,...,0
106,國立清華大學,學士班(日間),1,0,0,0,0,0,0,...,1
106,國立清華大學,學士班(日間),5,3,2,0,0,0,0,...,0
106,國立清華大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),5,0,0,0,1,0,0,...,4
106,國立清華大學,學士班(日間),3,3,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),3,0,0,0,1,0,1,...,1
106,國立清華大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),2,1,1,0,0,0,0,...,0
106,國立清華大學,學士班(日間),9,4,0,0,1,0,0,...,4
106,國立清華大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),15,9,0,1,0,0,0,...,5
106,國立清華大學,學士班(日間),5,1,0,0,2,0,0,...,2
106,國立清華大學,學士班(日間),6,1,0,0,1,0,0,...,4
106,國立清華大學,學士班(日間),3,1,0,0,0,0,1,...,1
106,國立清華大學,學士班(日間),19,14,0,1,2,0,0,...,2
106,國立清華大學,學士班(日間),4,1,0,0,1,0,0,...,2
106,國立清華大學,學士班(日間),9,4,5,0,0,0,0,...,0
106,國立清華大學,學士班(日間),24,14,1,0,1,0,0,...,8
106,國立清華大學,學士班(日間),4,1,0,0,0,0,0,...,3
106,國立清華大學,學士班(日間),3,0,0,0,0,0,0,...,3
106,國立清華大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),14,5,0,0,0,0,2,...,7
106,國立清華大學,學士班(日間),4,2,0,0,0,0,0,...,2
106,國立清華大學,學士班(日間),16,10,0,0,0,0,0,...,6
106,國立清華大學,學士班(日間),2,1,0,0,0,0,0,...,1
106,國立清華大學,學士班(日間),15,8,0,1,1,0,0,...,5
106,國立清華大學,學士班(日間),3,1,0,0,0,0,1,...,1
106,國立清華大學,學士班(日間),4,3,0,0,0,0,0,...,1
106,國立清華大學,學士班(日間),15,8,1,0,0,0,0,...,6
106,國立清華大學,學士班(日間),1,0,0,0,1,0,0,...,0
106,國立清華大學,學士班(日間),9,5,0,0,3,0,1,...,0
106,國立清華大學,學士班(日間),2,0,1,0,0,0,1,...,0
106,國立清華大學,學士班(日間),8,4,1,0,0,0,0,...,3
106,國立清華大學,學士班(日間),3,1,0,0,0,0,0,...,2
106,國立清華大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),4,2,0,0,1,0,0,...,1
106,國立清華大學,學士班(日間),2,1,0,0,0,0,0,...,1
106,國立清華大學,學士班(日間),3,3,0,0,0,0,0,...,0
106,國立清華大學,學士班(日間),1,0,0,0,0,0,0,...,1
106,國立臺灣大學,學士班(日間),17,11,0,0,5,0,1,...,0
106,國立臺灣大學,學士班(日間),18,4,0,5,5,0,3,...,1
106,國立臺灣大學,學士班(日間),14,11,0,1,1,0,0,...,1
106,國立臺灣大學,學士班(日間),19,14,0,1,2,0,1,...,1
106,國立臺灣大學,學士班(日間),5,4,0,1,0,0,0,...,0
106,國立臺灣大學,學士班(日間),11,6,0,0,0,0,5,...,0
106,國立臺灣大學,學士班(日間),13,12,0,0,0,0,1,...,0
106,國立臺灣大學,學士班(日間),8,8,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),15,10,0,2,0,0,2,...,1
106,國立臺灣大學,學士班(日間),39,23,0,0,2,0,10,...,4
106,國立臺灣大學,學士班(日間),10,7,0,1,0,0,2,...,0
106,國立臺灣大學,學士班(日間),26,14,0,2,5,0,4,...,1
106,國立臺灣大學,學士班(日間),11,8,0,0,0,0,0,...,3
106,國立臺灣大學,學士班(日間),19,12,0,2,1,0,3,...,1
106,國立臺灣大學,學士班(日間),32,14,0,5,3,0,5,...,5
106,國立臺灣大學,學士班(日間),27,9,0,3,3,0,7,...,5
106,國立臺灣大學,學士班(日間),31,16,0,3,1,0,4,...,7
106,國立臺灣大學,學士班(日間),51,25,0,3,2,0,16,...,5
106,國立臺灣大學,學士班(日間),15,11,0,1,1,0,1,...,1
106,國立臺灣大學,學士班(日間),13,8,0,0,2,0,2,...,1
106,國立臺灣大學,學士班(日間),5,4,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),10,4,0,2,0,0,1,...,3
106,國立臺灣大學,學士班(日間),11,8,0,0,3,0,0,...,0
106,國立臺灣大學,學士班(日間),4,1,0,1,1,0,0,...,1
106,國立臺灣大學,學士班(日間),5,4,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),16,11,0,2,0,0,2,...,1
106,國立臺灣大學,學士班(日間),9,7,0,0,1,0,0,...,1
106,國立臺灣大學,學士班(日間),18,11,0,2,0,0,3,...,2
106,國立臺灣大學,學士班(日間),16,8,0,3,1,0,2,...,2
106,國立臺灣大學,學士班(日間),17,8,0,3,0,0,4,...,2
106,國立臺灣大學,學士班(日間),13,11,0,0,2,0,0,...,0
106,國立臺灣大學,學士班(日間),11,8,0,1,1,0,1,...,0
106,國立臺灣大學,學士班(日間),10,6,0,0,1,0,1,...,2
106,國立臺灣大學,學士班(日間),16,5,0,5,4,0,2,...,0
106,國立臺灣大學,學士班(日間),12,11,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),26,21,0,0,0,0,2,...,3
106,國立臺灣大學,學士班(日間),12,9,0,0,2,0,0,...,1
106,國立臺灣大學,學士班(日間),4,3,0,0,0,0,1,...,0
106,國立臺灣大學,學士班(日間),8,5,0,0,2,0,0,...,1
106,國立臺灣大學,學士班(日間),4,1,0,0,2,0,0,...,1
106,國立臺灣大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),5,3,0,0,1,0,1,...,0
106,國立臺灣大學,學士班(日間),10,8,0,0,1,0,0,...,1
106,國立臺灣大學,學士班(日間),2,1,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),10,9,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),9,4,0,1,3,0,0,...,1
106,國立臺灣大學,學士班(日間),5,3,0,0,2,0,0,...,0
106,國立臺灣大學,學士班(日間),19,8,0,2,2,0,1,...,6
106,國立臺灣大學,學士班(日間),3,2,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),23,20,0,1,1,0,0,...,1
106,國立臺灣大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),13,12,0,0,0,0,0,...,1
106,國立臺灣大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),33,22,0,1,3,0,1,...,6
106,國立臺灣大學,學士班(日間),4,3,0,0,0,0,1,...,0
106,國立臺灣大學,學士班(日間),25,22,0,1,0,0,1,...,1
106,國立臺灣大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),10,7,0,1,0,0,0,...,2
106,國立臺灣大學,學士班(日間),4,3,0,0,0,0,1,...,0
106,國立臺灣大學,學士班(日間),64,51,0,2,2,0,3,...,6
106,國立臺灣大學,學士班(日間),5,3,0,0,1,0,0,...,1
106,國立臺灣大學,學士班(日間),41,33,0,5,0,0,3,...,0
106,國立臺灣大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),7,7,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),4,1,0,1,0,0,0,...,2
106,國立臺灣大學,學士班(日間),10,10,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),33,23,0,3,2,0,3,...,2
106,國立臺灣大學,學士班(日間),3,2,0,1,0,0,0,...,0
106,國立臺灣大學,學士班(日間),13,5,0,3,3,0,0,...,2
106,國立臺灣大學,學士班(日間),4,1,0,2,1,0,0,...,0
106,國立臺灣大學,學士班(日間),7,5,0,0,1,0,0,...,1
106,國立臺灣大學,學士班(日間),6,6,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),1,0,0,0,0,0,1,...,0
106,國立臺灣大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),11,8,0,0,2,0,0,...,1
106,國立臺灣大學,學士班(日間),8,5,0,0,0,0,3,...,0
106,國立臺灣大學,學士班(日間),7,6,0,0,0,0,0,...,1
106,國立臺灣大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),10,8,0,0,2,0,0,...,0
106,國立臺灣大學,學士班(日間),5,4,0,0,0,0,1,...,0
106,國立臺灣大學,學士班(日間),7,5,0,0,0,0,0,...,2
106,國立臺灣大學,學士班(日間),15,5,0,0,1,0,7,...,2
106,國立臺灣大學,學士班(日間),4,3,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),12,7,0,1,2,0,2,...,0
106,國立臺灣大學,學士班(日間),9,4,0,2,2,0,1,...,0
106,國立臺灣大學,學士班(日間),6,6,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),6,6,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),3,1,0,0,1,0,0,...,1
106,國立臺灣大學,學士班(日間),19,15,0,3,0,0,1,...,0
106,國立臺灣大學,學士班(日間),2,1,0,1,0,0,0,...,0
106,國立臺灣大學,學士班(日間),3,2,0,0,0,0,1,...,0
106,國立臺灣大學,學士班(日間),10,7,0,0,2,0,1,...,0
106,國立臺灣大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),7,6,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),5,4,0,0,1,0,0,...,0
106,國立臺灣大學,學士班(日間),4,2,0,0,0,0,0,...,2
106,國立臺灣大學,學士班(日間),6,1,0,1,0,0,4,...,0
106,國立臺灣大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣大學,學士班(日間),2,1,0,1,0,0,0,...,0
106,國立臺灣大學,學士班(日間),7,2,0,1,4,0,0,...,0
106,國立臺灣大學,學士班(日間),3,1,0,0,1,0,1,...,0
106,國立臺灣大學,學士班(日間),10,2,0,2,1,0,3,...,2
106,國立臺灣大學,學士班(日間),5,2,0,1,0,0,2,...,0
106,國立臺灣師範大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),20,12,2,3,2,0,0,...,1
106,國立臺灣師範大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),5,4,0,1,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),13,10,3,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),1,0,1,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),8,5,2,1,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),7,6,1,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),20,12,2,2,2,0,0,...,2
106,國立臺灣師範大學,學士班(日間),12,9,3,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),11,8,0,1,0,0,0,...,2
106,國立臺灣師範大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),10,7,0,0,2,0,0,...,1
106,國立臺灣師範大學,學士班(日間),12,8,4,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),9,4,4,0,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),12,10,0,1,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),1,0,1,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),5,2,1,1,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),9,6,2,1,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),6,5,0,0,1,0,0,...,0
106,國立臺灣師範大學,學士班(日間),8,8,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),10,9,0,0,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),6,5,0,0,1,0,0,...,0
106,國立臺灣師範大學,學士班(日間),17,10,0,0,2,0,0,...,5
106,國立臺灣師範大學,學士班(日間),4,1,2,0,1,0,0,...,0
106,國立臺灣師範大學,學士班(日間),3,2,1,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),15,14,0,1,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),36,30,2,1,0,0,0,...,3
106,國立臺灣師範大學,學士班(日間),5,3,1,1,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),13,6,0,2,0,0,0,...,5
106,國立臺灣師範大學,學士班(日間),13,11,0,0,0,0,0,...,2
106,國立臺灣師範大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),4,3,1,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),6,1,1,1,0,0,0,...,3
106,國立臺灣師範大學,學士班(日間),3,2,1,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),9,4,1,2,0,0,0,...,2
106,國立臺灣師範大學,學士班(日間),6,2,3,1,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),7,3,4,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),9,6,0,1,2,0,0,...,0
106,國立臺灣師範大學,學士班(日間),6,3,0,0,0,0,0,...,3
106,國立臺灣師範大學,學士班(日間),13,11,0,1,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),5,5,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),10,6,1,2,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),3,2,1,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),21,20,0,0,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),33,30,0,0,0,0,0,...,3
106,國立臺灣師範大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),14,11,3,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),10,8,2,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),8,6,2,0,0,0,0,...,0
106,國立臺灣師範大學,學士班(日間),2,0,1,0,0,0,1,...,0
106,國立臺灣師範大學,學士班(日間),14,13,0,0,0,0,0,...,1
106,國立臺灣師範大學,學士班(日間),9,9,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),12,10,0,0,0,0,2,...,0
106,國立成功大學,學士班(日間),10,7,0,1,1,0,1,...,0
106,國立成功大學,學士班(日間),7,4,0,3,0,0,0,...,0
106,國立成功大學,學士班(日間),12,6,0,4,1,0,1,...,0
106,國立成功大學,學士班(日間),6,5,0,0,1,0,0,...,0
106,國立成功大學,學士班(日間),21,8,0,3,4,0,2,...,4
106,國立成功大學,學士班(日間),5,4,0,0,0,0,0,...,1
106,國立成功大學,學士班(日間),9,8,0,0,0,0,1,...,0
106,國立成功大學,學士班(日間),3,3,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),8,4,0,3,1,0,0,...,0
106,國立成功大學,學士班(日間),6,4,0,0,2,0,0,...,0
106,國立成功大學,學士班(日間),9,4,0,3,0,0,1,...,1
106,國立成功大學,學士班(日間),5,3,0,1,0,0,1,...,0
106,國立成功大學,學士班(日間),9,6,0,1,2,0,0,...,0
106,國立成功大學,學士班(日間),10,9,1,0,0,0,0,...,0
106,國立成功大學,學士班(日間),6,5,0,0,1,0,0,...,0
106,國立成功大學,學士班(日間),3,2,0,0,0,0,1,...,0
106,國立成功大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),8,4,0,2,0,0,2,...,0
106,國立成功大學,學士班(日間),8,4,1,0,0,0,3,...,0
106,國立成功大學,學士班(日間),10,8,1,1,0,0,0,...,0
106,國立成功大學,學士班(日間),3,3,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),4,3,0,0,0,0,0,...,1
106,國立成功大學,學士班(日間),8,7,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),9,8,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),3,2,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),13,13,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),2,1,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),6,2,0,4,0,0,0,...,0
106,國立成功大學,學士班(日間),2,0,1,1,0,0,0,...,0
106,國立成功大學,學士班(日間),9,7,1,0,0,0,0,...,1
106,國立成功大學,學士班(日間),3,1,1,0,1,0,0,...,0
106,國立成功大學,學士班(日間),15,14,0,0,0,0,0,...,1
106,國立成功大學,學士班(日間),1,0,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),4,2,1,0,0,0,1,...,0
106,國立成功大學,學士班(日間),18,18,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),31,31,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),9,9,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),5,5,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),5,4,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),10,8,0,1,1,0,0,...,0
106,國立成功大學,學士班(日間),5,5,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),3,2,0,0,1,0,0,...,0
106,國立成功大學,學士班(日間),35,35,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),10,10,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),29,27,0,2,0,0,0,...,0
106,國立成功大學,學士班(日間),3,2,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),10,8,0,1,0,0,1,...,0
106,國立成功大學,學士班(日間),9,8,1,0,0,0,0,...,0
106,國立成功大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),7,6,0,0,0,0,1,...,0
106,國立成功大學,學士班(日間),2,1,0,0,0,0,1,...,0
106,國立成功大學,學士班(日間),3,3,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),8,5,0,1,0,0,1,...,1
106,國立成功大學,學士班(日間),8,6,0,0,0,0,0,...,2
106,國立成功大學,學士班(日間),14,11,1,0,1,0,1,...,0
106,國立成功大學,學士班(日間),7,7,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),14,11,0,2,1,0,0,...,0
106,國立成功大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),3,2,0,0,0,0,1,...,0
106,國立成功大學,學士班(日間),9,8,0,1,0,0,0,...,0
106,國立成功大學,學士班(日間),1,0,0,0,0,0,0,...,1
106,國立成功大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),1,1,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),3,3,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),7,7,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),6,5,0,0,1,0,0,...,0
106,國立成功大學,學士班(日間),4,4,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),5,5,0,0,0,0,0,...,0
106,國立成功大學,學士班(日間),7,5,0,0,0,0,2,...,0
106,國立成功大學,學士班(日間),4,3,0,1,0,0,0,...,0
106,國立中興大學,學士班(日間),14,13,0,1,0,0,0,...,0
106,國立中興大學,學士班(日間),7,4,0,2,1,0,0,...,0
106,國立中興大學,學士班(日間),3,3,0,0,0,0,0,...,0
106,國立中興大學,學士班(日間),12,4,2,5,0,0,0,...,1
106,國立中興大學,學士班(日間),2,2,0,0,0,0,0,...,0
106,國立中興大學,學士班(日間),15,12,0,1,1,0,0,...,1
106,國立中興大學,學士班(日間),6,4,0,1,1,0,0,...,0
