學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
一貫道崇德學院,74,30,44,0,0,0,0,0,0,0,0,0,32,2,0,0,0,8,0,0,0,2,20,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,,
世新大學,11434,4294,7140,354,311,16,17,8,0,0,2,0,730,69,31,17,123,206,4,21,11,36,123,13,10,12,3,51,713,117,0,199,68,303,0,0,3,11,0,11,1,,
中信學校財團法人中信金融管理學院,919,543,376,9,9,0,0,0,0,0,0,0,23,0,0,0,5,16,0,0,1,0,0,0,1,0,0,0,93,4,0,59,17,13,0,0,0,0,0,0,0,,
中原大學,16529,8889,7640,793,658,100,10,12,0,8,5,0,915,45,57,81,107,279,4,70,27,54,88,54,24,21,4,0,768,59,0,185,93,377,1,0,6,29,12,6,0,,
中國文化大學,24503,12248,12255,2402,1569,623,52,30,0,18,102,8,2445,123,106,87,254,456,6,21,34,84,176,36,42,44,717,259,1952,170,0,696,291,604,1,2,14,37,32,25,80,,
中國科技大學,8612,4224,4388,320,303,17,0,0,0,0,0,0,571,31,35,8,76,256,3,7,35,18,14,33,15,2,1,37,1088,164,0,258,263,356,0,0,2,28,3,6,8,,
中國醫藥大學,7243,3090,4153,119,82,4,29,1,0,1,0,2,465,16,15,0,61,45,6,21,1,21,32,9,30,12,18,178,330,14,0,88,8,144,0,0,1,7,3,41,24,39.8–43.5,401–500
中山醫學大學,7052,2510,4542,183,166,8,7,1,0,1,0,0,443,23,10,7,165,79,2,12,1,26,67,22,13,7,0,9,431,9,0,146,29,239,0,0,1,1,2,4,0,,
中州學校財團法人中州科技大學,1931,926,1005,48,48,0,0,0,0,0,0,0,45,3,3,5,5,19,0,0,1,0,1,0,8,0,0,0,322,34,0,58,100,74,1,0,0,34,1,20,0,,
中臺科技大學,7604,2665,4939,291,233,56,1,1,0,0,0,0,956,42,50,35,145,150,6,57,22,2,20,23,33,12,353,6,579,55,0,123,6,360,0,0,2,13,6,12,2,,
中華大學學校財團法人中華大學,5045,3340,1705,256,251,2,0,0,0,0,0,3,372,27,21,29,72,124,0,4,20,9,26,18,7,4,11,0,700,61,0,271,82,142,1,2,16,55,18,6,46,,
中華學校財團法人中華科技大學,4365,3062,1303,183,138,45,0,0,0,0,0,0,654,19,28,3,23,154,2,0,76,3,1,0,3,0,305,37,822,28,4,91,1,662,0,0,0,13,1,1,21,,
