學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
一貫道崇德學院,58,25,2,1,0,0,12,0,0,0,0,9,0,1,0,0,0
世新大學,11387,857,56,21,21,164,318,2,17,14,63,75,9,7,16,3,71
中信學校財團法人中信金融管理學院,718,22,2,0,0,2,13,0,0,0,1,0,0,3,0,1,0
中原大學,16217,776,54,30,43,110,193,4,71,28,67,87,20,27,24,1,17
中國文化大學,25186,2218,97,86,82,253,602,9,19,44,128,131,33,55,54,370,255
中國科技大學,9084,596,21,51,18,135,194,1,9,35,36,9,25,5,3,0,54
中國醫藥大學,7212,540,19,9,0,87,59,7,24,3,32,32,3,36,11,17,201
中山醫學大學,6913,472,7,18,4,213,80,4,9,3,30,56,18,6,6,0,18
中州學校財團法人中州科技大學,3061,117,4,11,2,10,52,1,1,15,2,0,1,16,1,1,0
中臺科技大學,8402,950,45,57,40,138,172,16,56,30,6,30,25,25,9,284,17
中華大學學校財團法人中華大學,5471,516,24,31,33,96,171,5,8,40,18,38,12,17,7,5,11
中華學校財團法人中華科技大學,5176,1059,38,71,3,26,321,1,6,140,13,2,3,105,0,321,9
中華醫事科技大學,8990,756,16,39,65,5,59,7,1,7,1,1,2,1,1,477,74
亞東技術學院,4497,240,10,35,32,31,65,2,1,26,9,0,22,3,2,0,2
亞洲大學,11689,548,47,14,18,121,124,3,4,11,23,69,13,60,8,2,31
仁德醫護管理專科學校,6433,126,12,12,16,54,18,3,1,3,1,0,4,2,0,0,0
佛光大學,3550,356,43,17,10,37,139,6,9,11,7,35,6,6,4,0,26
修平學校財團法人修平科技大學,4584,256,12,18,18,52,101,3,4,1,4,0,0,28,0,4,11
健行學校財團法人健行科技大學,11269,600,37,40,10,106,236,17,10,88,0,0,2,10,1,4,39
僑光科技大學,11056,235,14,12,10,47,72,2,2,34,11,0,10,4,3,8,6
元智大學,8703,402,8,2,88,20,169,6,3,9,16,13,3,3,0,0,62
光宇學校財團法人元培醫事科技大學,6206,220,27,19,19,35,57,5,3,25,2,0,9,15,0,3,1
南亞科技學校財團法人南亞技術學院,2689,444,21,46,5,45,159,10,1,71,3,0,20,16,0,47,0
南臺學校財團法人南臺科技大學,18563,1865,101,264,25,182,805,15,11,208,54,21,20,13,48,0,98
南華大學,5690,561,147,0,24,34,143,5,22,17,13,76,12,25,12,1,30
南開科技大學,4106,194,20,8,7,12,81,2,1,26,2,1,5,3,10,2,14
台北海洋學校財團法人台北海洋科技大學,4440,455,28,64,0,105,123,1,3,37,4,0,1,0,0,77,12
台南家專學校財團法人台南應用科技大學,12714,1070,79,105,151,182,258,12,5,32,43,0,39,127,0,4,33
台灣基督長老教會南神神學院,67,9,1,3,0,1,2,0,1,0,0,0,0,1,0,0,0
台灣首府學校財團法人台灣首府大學,1539,79,3,9,2,7,44,3,3,7,0,0,0,1,0,0,0
台神學校財團法人台灣神學研究學院,107,8,1,1,0,1,1,0,0,0,0,0,2,2,0,0,0
吳鳳科技大學,4229,483,12,29,50,50,95,3,0,34,1,2,17,35,4,149,2
和春技術學院,979,111,4,2,0,13,43,0,2,19,1,0,0,0,0,27,0
嘉藥學校財團法人嘉南藥理大學,13139,1279,44,52,1,42,89,3,1,30,12,1,3,0,0,410,591
國立中央大學,11822,1020,27,63,43,175,291,7,85,15,26,184,6,31,7,0,60
國立中山大學,9563,1005,42,13,15,55,253,13,66,15,36,162,5,9,16,7,298
國立中正大學,11205,1086,49,33,40,158,244,12,73,8,46,206,12,71,57,3,74
國立中興大學,14983,1394,83,35,19,175,340,9,111,22,65,174,19,98,46,0,198
國立勤益科技大學,11130,646,26,35,55,216,140,2,4,38,10,7,5,7,9,90,2
國立嘉義大學,11885,811,61,36,91,113,299,6,31,34,21,29,0,83,0,0,7
國立宜蘭大學,5419,306,22,6,26,42,76,2,7,31,16,19,27,10,7,0,15
國立屏東大學,8964,567,20,12,16,51,234,9,26,8,12,87,26,19,32,3,12
