學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
國立屏東科技大學,10863,724,49,21,65,83,168,5,22,10,15,14,161,71,32,2,6
國立彰化師範大學,8385,994,46,20,10,76,302,22,85,35,28,132,3,39,57,39,100
國立成功大學,21456,1930,92,33,69,225,344,13,161,28,4,186,32,177,51,7,508
國立政治大學,16390,2261,87,12,0,17,517,16,198,40,97,156,0,0,0,438,683
國立暨南國際大學,6108,472,58,33,29,21,145,5,25,7,19,48,13,58,11,0,0
國立東華大學,9907,1228,60,51,40,71,354,10,75,22,22,176,16,102,37,25,167
國立清華大學,16678,1490,94,13,79,157,324,15,108,52,122,147,36,73,10,0,260
國立澎湖科技大學,3051,148,10,2,3,14,25,1,1,7,0,0,2,0,3,0,80
國立聯合大學,7588,336,16,6,36,109,76,0,4,25,10,10,7,8,15,4,10
國立臺中教育大學,4929,500,21,7,4,45,137,17,31,2,14,27,106,53,7,2,27
國立臺中科技大學,13367,607,51,25,21,140,171,10,18,14,27,7,9,6,8,8,92
國立臺北商業大學,6761,388,30,21,22,91,118,4,11,7,33,2,6,24,7,12,0
國立臺北大學,9954,794,23,18,23,94,308,8,26,9,66,88,13,25,26,0,67
國立臺北教育大學,5790,678,24,12,5,75,210,10,70,12,45,120,13,38,9,20,15
國立臺北科技大學,13464,815,63,40,55,106,343,3,39,38,35,23,2,43,13,0,12
國立臺北藝術大學,3098,532,32,39,33,18,93,9,28,10,68,119,38,3,5,1,36
國立臺北護理健康大學,5227,513,21,20,5,40,135,21,61,2,23,79,15,20,12,4,55
國立臺南大學,5667,568,21,16,19,69,166,5,26,3,10,107,5,19,5,0,97
國立臺南藝術大學,1607,272,4,11,6,11,56,2,15,2,16,49,48,16,0,0,36
國立臺南護理專科學校,1939,32,6,2,1,17,4,2,0,0,0,0,0,0,0,0,0
國立臺東大學,4722,432,32,12,8,50,124,7,14,4,8,11,1,23,5,47,86
國立臺東專科學校,1120,127,4,14,7,47,24,1,1,10,0,0,14,5,0,0,0
國立臺灣大學,31945,3640,204,67,20,405,598,11,209,32,269,698,14,0,12,13,1088
國立臺灣師範大學,15716,2268,44,51,10,198,642,43,288,23,141,531,53,0,42,7,195
國立臺灣戲曲學院,595,45,3,1,0,3,2,1,1,3,4,0,0,0,0,0,27
國立臺灣海洋大學,8838,650,46,17,41,93,194,8,12,37,38,24,33,50,23,0,34
國立臺灣科技大學,11274,883,57,37,120,129,334,2,54,12,11,3,0,9,2,0,113
國立臺灣藝術大學,5601,614,33,24,32,32,190,7,27,15,56,59,18,7,8,20,86
國立臺灣體育運動大學,3107,260,10,69,34,25,98,4,8,1,2,2,0,0,1,5,1
國立虎尾科技大學,10749,447,28,21,56,103,105,2,11,36,11,13,18,2,8,1,32
國立金門大學,4387,220,19,6,0,66,84,5,9,4,6,3,1,8,0,3,6
國立陽明交通大學,14742,1336,67,28,38,128,348,17,147,64,85,200,22,48,72,0,72
國立陽明大學,4336,592,39,10,5,110,140,4,55,8,52,110,10,21,21,1,6
國立雲林科技大學,9716,742,33,90,64,84,262,3,39,16,22,51,25,8,8,11,26
國立體育大學,2525,300,4,5,0,1,259,1,19,4,0,0,0,0,0,0,7
國立高雄大學,5663,500,41,33,82,87,208,2,8,7,5,0,0,13,2,6,6
國立高雄師範大學,6690,943,29,21,5,87,331,22,98,6,27,210,17,38,20,0,32
國立高雄科技大學,27302,1607,61,78,92,258,657,9,50,73,21,0,0,244,0,19,45
國立高雄餐旅大學,5036,222,16,17,30,34,43,3,4,5,7,2,1,5,0,41,14
城市學校財團法人臺北城市科技大學,9378,863,26,106,18,29,360,3,4,65,23,7,55,17,29,83,38
大仁科技大學,5777,964,44,93,17,129,165,7,6,26,9,7,16,12,9,29,395
大同大學,4167,267,15,10,18,63,73,1,7,10,15,20,6,6,3,0,20
大同技術學院,1337,231,10,18,5,14,101,4,0,12,0,0,1,3,1,51,11
大漢技術學院,1075,149,6,10,2,13,83,1,3,9,0,15,0,5,1,0,1
大華學校財團法人敏實科技大學,1157,88,5,8,11,28,21,2,0,8,0,0,3,0,0,0,2
大葉大學,9166,807,64,72,28,88,335,5,11,53,36,40,11,8,21,3,32
學校財團法人中華浸信會基督教台灣浸會神學院,41,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
宏國學校財團法人宏國德霖科技大學,5732,256,14,29,15,53,78,3,0,31,3,0,2,7,3,4,14
實踐大學,13555,802,65,39,46,185,184,6,23,17,80,50,27,18,16,3,43
崇仁醫護管理專科學校,3330,71,5,2,4,37,6,0,0,0,2,0,3,0,0,2,10
崇右學校財團法人崇右影藝科技大學,2014,136,6,35,16,11,38,1,4,12,6,2,0,0,0,5,0
崑山科技大學,11270,1639,43,61,178,163,336,4,4,150,23,7,11,36,0,623,0
嶺東科技大學,10451,418,27,57,11,67,159,3,4,48,10,5,4,3,1,0,19
康寧學校財團法人康寧大學,3641,200,24,10,10,39,35,3,2,6,8,0,12,12,1,31,7
廣亞學校財團法人育達科技大學,4225,341,26,36,11,17,122,9,3,24,2,2,4,27,0,2,56
建國科技大學,7273,307,27,21,9,54,93,5,3,31,3,0,15,25,1,6,14
弘光科技大學,12779,1006,81,100,35,150,343,25,30,41,20,18,38,11,11,2,101
德明財經科技大學,7826,644,24,14,44,98,76,6,3,15,27,5,10,30,23,264,5
德育學校財團法人德育護理健康學院,3709,359,13,28,25,56,90,3,8,30,2,3,8,8,9,9,67
慈惠醫護管理專科學校,4504,498,41,90,17,148,78,6,1,20,0,0,12,0,0,63,22
慈濟學校財團法人慈濟大學,3373,181,9,3,4,32,16,2,8,2,8,33,4,6,0,0,54
慈濟學校財團法人慈濟科技大學,3064,167,27,7,12,59,24,6,4,2,2,0,0,5,3,0,16
敏惠醫護管理專科學校,3904,117,19,5,9,34,4,1,0,0,0,0,0,0,0,3,42
文藻學校財團法人文藻外語大學,9321,788,42,46,165,106,222,8,8,9,81,28,9,24,20,16,4
新生醫護管理專科學校,6031,278,48,30,85,8,27,4,1,0,0,0,0,0,0,0,75
明志科技大學,4572,160,10,9,0,38,47,0,0,28,3,2,0,1,1,0,21
明新學校財團法人明新科技大學,12157,844,29,38,44,116,203,20,6,89,4,12,25,29,4,184,41
明道學校財團法人明道大學,3262,163,16,10,4,17,39,4,2,14,2,6,1,13,1,18,16
景文科技大學,6849,380,21,50,33,70,66,1,6,37,15,10,3,54,8,6,0
朝陽科技大學,15364,848,57,78,44,172,250,14,30,44,16,21,10,71,4,0,37
東南科技大學,5575,816,11,57,18,85,99,4,6,28,6,1,4,21,1,108,367
東吳大學,15444,1282,79,14,90,185,232,18,58,24,122,131,45,17,17,5,245
東方學校財團法人東方設計大學,2273,367,14,37,2,33,43,3,0,17,0,2,1,1,1,143,70
東海大學,15751,1388,93,32,50,154,346,7,29,9,94,200,4,70,5,42,253
樹人醫護管理專科學校,7286,356,37,2,30,148,76,0,3,7,2,0,12,0,0,0,39
樹德科技大學,10492,403,37,74,16,75,93,2,23,21,11,10,3,7,0,26,5
正修學校財團法人正修科技大學,16989,1511,79,113,84,211,430,7,2,86,28,11,58,19,13,107,263
法鼓學校財團法人法鼓文理學院,305,104,7,3,0,1,26,0,0,1,4,45,0,6,0,0,11
淡江大學學校財團法人淡江大學,24635,2044,132,43,42,121,131,3,42,13,100,74,19,7,26,870,421
玄奘大學,2889,405,21,41,12,11,94,5,1,18,7,39,8,6,0,60,82
環球學校財團法人環球科技大學,4138,317,25,50,102,87,35,0,0,18,0,0,0,0,0,0,0
真理大學,5587,247,18,101,5,56,10,1,0,10,28,11,5,0,2,0,0
稻江科技暨管理學院,1855,105,5,15,0,12,40,0,0,12,0,8,1,9,0,0,3
美和學校財團法人美和科技大學,6626,542,35,51,9,75,194,9,10,42,10,12,21,34,14,21,5
義守大學,14933,469,27,36,13,135,142,7,7,15,17,7,5,18,2,6,32
耕莘健康管理專科學校,4911,177,24,1,1,70,13,2,4,2,4,0,4,7,2,13,30
聖母醫護管理專科學校,2561,156,11,10,20,73,12,3,1,5,0,0,16,2,0,0,3
聖約翰科技大學,3073,317,19,24,18,31,87,3,5,39,5,8,5,12,3,36,22
育英醫護管理專科學校,1996,86,11,7,19,41,2,0,0,1,0,0,1,1,0,0,3
致理學校財團法人致理科技大學,11369,791,51,45,89,207,164,17,18,34,37,2,52,10,9,49,7
臺北基督學院,81,12,2,2,2,1,0,0,0,1,0,0,0,0,0,0,4
臺北市立大學,7809,727,37,32,24,67,254,21,60,1,46,84,9,26,33,0,33
臺北醫學大學,5946,483,26,7,4,219,82,4,34,0,12,36,2,14,0,0,43
臺灣觀光學院,608,87,5,4,0,8,52,0,3,3,1,4,3,4,0,0,0
華夏學校財團法人華夏科技大學,4036,596,15,37,21,97,138,9,3,45,7,5,6,10,6,156,41
華梵大學,1518,178,17,2,18,21,45,0,1,11,7,33,0,10,0,0,13
萬能學校財團法人萬能科技大學,10119,666,32,188,17,98,203,10,6,65,8,6,20,11,2,0,0
蘭陽技術學院,667,40,1,0,14,12,11,0,0,1,1,0,0,0,0,0,0
財團法人一貫道天皇基金會一貫道天皇學院,171,32,6,2,0,5,8,0,0,1,0,0,0,4,0,0,6
輔仁大學,25709,1992,159,29,47,434,604,15,97,25,192,283,16,11,9,26,45
輔英科技大學,9532,636,50,80,36,161,155,11,17,20,7,6,5,19,12,18,39
逢甲大學,20544,989,83,19,45,207,273,3,39,25,70,50,0,89,12,15,59
遠東科技大學,4942,458,16,43,22,71,178,3,2,44,5,8,10,10,1,0,45
醒吾學校財團法人醒吾科技大學,7563,972,53,63,149,208,235,6,6,30,34,0,37,23,9,0,119
銘傳大學,18791,1012,70,14,123,136,198,5,13,45,78,68,14,10,7,4,227
長庚大學,6834,530,25,12,1,112,109,2,16,4,36,26,0,59,0,3,125
長庚學校財團法人長庚科技大學,6437,188,27,6,0,34,58,5,12,2,13,5,7,5,3,0,11
長榮大學,8609,481,32,135,0,92,87,5,1,27,17,32,29,5,9,0,10
開南大學,5894,488,53,49,18,65,161,10,10,46,7,6,0,8,5,0,50
靜宜大學,12007,638,38,22,71,151,142,3,14,10,44,23,24,13,16,11,56
馬偕學校財團法人馬偕醫學院,684,44,3,0,0,14,6,0,1,0,2,2,0,1,0,0,15
馬偕學校財團法人馬偕醫護管理專科學校,4223,143,11,4,38,43,21,3,2,0,5,0,9,3,1,0,3
高苑科技大學,3716,181,4,13,7,9,104,1,1,19,1,1,7,9,0,0,5
高雄醫學大學,6487,521,10,6,3,134,82,8,19,4,36,101,11,5,13,0,89
黎明技術學院,5060,270,13,43,7,53,72,2,0,24,11,0,12,5,0,14,14
龍華科技大學,11330,636,44,74,64,135,194,5,1,45,8,11,1,13,0,4,37
