學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
世新大學,399,352,23,10,12,0,0,2,0
中原大學,751,607,92,9,5,0,32,1,5
中國文化大學,1637,984,431,49,19,0,46,108,0
中國科技大學,331,281,49,0,1,0,0,0,0
中國醫藥大學,137,103,3,30,1,0,0,0,0
中山醫學大學,138,131,4,3,0,0,0,0,0
中州學校財團法人中州科技大學,61,61,0,0,0,0,0,0,0
中臺科技大學,275,210,59,5,1,0,0,0,0
中華大學學校財團法人中華大學,376,355,20,1,0,0,0,0,0
中華學校財團法人中華科技大學,339,196,142,0,0,0,0,0,1
中華醫事科技大學,216,216,0,0,0,0,0,0,0
亞東技術學院,148,120,28,0,0,0,0,0,0
亞洲大學,335,249,78,1,1,0,6,0,0
仁德醫護管理專科學校,319,319,0,0,0,0,0,0,0
佛光大學,139,126,0,0,0,0,11,0,2
修平學校財團法人修平科技大學,212,208,4,0,0,0,0,0,0
健行學校財團法人健行科技大學,361,284,77,0,0,0,0,0,0
僑光科技大學,102,102,0,0,0,0,0,0,0
元智大學,333,242,87,1,1,0,2,0,0
光宇學校財團法人元培醫事科技大學,246,245,0,1,0,0,0,0,0
南亞科技學校財團法人南亞技術學院,162,150,12,0,0,0,0,0,0
南榮學校財團法人南榮科技大學,63,58,5,0,0,0,0,0,0
南臺學校財團法人南臺科技大學,501,365,133,0,0,0,0,3,0
南華大學,224,208,13,2,0,0,1,0,0
南開科技大學,161,134,27,0,0,0,0,0,0
台北海洋學校財團法人台北海洋科技大學,312,286,26,0,0,0,0,0,0
台南家專學校財團法人台南應用科技大學,200,190,3,0,1,0,0,6,0
台灣首府學校財團法人台灣首府大學,127,125,2,0,0,0,0,0,0
吳鳳科技大學,96,90,5,0,0,0,1,0,0
和春技術學院,83,78,5,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,276,230,45,0,1,0,0,0,0
國立中央大學,217,135,24,10,7,0,30,11,0
國立中山大學,262,132,56,7,4,0,37,1,25
國立中正大學,249,92,95,41,5,0,3,5,8
國立中興大學,298,270,12,8,6,0,0,2,0
國立勤益科技大學,221,180,39,2,0,0,0,0,0
國立嘉義大學,209,152,42,4,5,0,6,0,0
國立宜蘭大學,135,118,12,4,0,0,0,0,1
國立屏東大學,236,198,28,1,0,0,0,9,0
國立屏東科技大學,397,269,122,0,0,0,0,6,0
國立彰化師範大學,189,148,18,4,1,0,13,5,0
國立成功大學,512,393,21,47,21,0,26,1,3
國立政治大學,789,286,31,124,97,0,212,16,23
國立暨南國際大學,202,135,31,11,5,0,11,6,3
國立東華大學,427,285,66,22,6,0,11,7,30
國立清華大學,452,183,53,16,27,0,35,8,130
國立澎湖科技大學,74,22,52,0,0,0,0,0,0
國立聯合大學,201,183,12,0,0,0,5,0,1
國立臺中教育大學,104,86,13,2,0,0,0,3,0
國立臺中科技大學,364,151,194,0,1,0,18,0,0
國立臺北商業大學,142,0,0,0,0,0,2,3,137
國立臺北大學,257,146,5,71,14,1,15,5,0
國立臺北教育大學,158,93,0,1,2,0,38,22,2
國立臺北科技大學,50,45,5,0,0,0,0,0,0
國立臺北藝術大學,186,135,31,1,1,0,0,15,3
國立臺北護理健康大學,82,61,17,2,0,0,1,1,0
國立臺南大學,140,114,16,3,1,0,0,6,0
國立臺南藝術大學,47,34,13,0,0,0,0,0,0
國立臺南護理專科學校,17,16,1,0,0,0,0,0,0
國立臺東大學,128,109,5,1,1,0,8,4,0
國立臺東專科學校,51,51,0,0,0,0,0,0,0
