學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
國立臺灣大學,1208,794,0,104,90,0,138,0,82
國立臺灣師範大學,511,414,41,18,9,0,0,29,0
國立臺灣戲曲學院,35,26,8,0,0,0,0,1,0
國立臺灣海洋大學,225,182,13,4,5,0,1,5,15
國立臺灣科技大學,271,181,48,9,9,0,22,0,2
國立臺灣藝術大學,304,188,108,2,2,0,0,0,4
國立臺灣體育運動大學,168,121,37,0,0,0,0,10,0
國立虎尾科技大學,212,184,25,0,0,0,3,0,0
國立金門大學,120,96,22,1,0,0,0,0,1
國立陽明交通大學,208,154,17,15,8,0,11,3,0
國立陽明大學,32,19,2,1,1,0,2,0,7
國立雲林科技大學,264,244,3,0,2,0,15,0,0
國立體育大學,125,89,23,0,1,0,8,4,0
國立高雄大學,181,143,11,1,0,0,26,0,0
國立高雄師範大學,93,66,0,6,2,0,1,18,0
國立高雄科技大學,665,556,103,1,2,0,3,0,0
國立高雄餐旅大學,36,27,4,0,0,0,0,0,5
城市學校財團法人臺北城市科技大學,469,330,136,0,0,0,3,0,0
大仁科技大學,157,141,16,0,0,0,0,0,0
大同大學,202,177,24,0,0,0,1,0,0
大同技術學院,35,35,0,0,0,0,0,0,0
大漢技術學院,19,16,3,0,0,0,0,0,0
大華學校財團法人敏實科技大學,140,115,21,0,0,0,4,0,0
大葉大學,360,119,172,2,4,0,4,49,10
宏國學校財團法人宏國德霖科技大學,121,115,6,0,0,0,0,0,0
實踐大學,553,369,161,3,0,0,19,0,1
崇仁醫護管理專科學校,68,68,0,0,0,0,0,0,0
崇右學校財團法人崇右影藝科技大學,210,171,39,0,0,0,0,0,0
崑山科技大學,410,255,155,0,0,0,0,0,0
嶺東科技大學,194,190,4,0,0,0,0,0,0
康寧學校財團法人康寧大學,89,89,0,0,0,0,0,0,0
廣亞學校財團法人育達科技大學,183,153,30,0,0,0,0,0,0
建國科技大學,189,146,39,1,0,0,3,0,0
弘光科技大學,265,194,60,4,0,0,0,7,0
德明財經科技大學,417,206,211,0,0,0,0,0,0
德育學校財團法人德育護理健康學院,151,137,14,0,0,0,0,0,0
慈惠醫護管理專科學校,266,266,0,0,0,0,0,0,0
慈濟學校財團法人慈濟大學,121,72,37,4,0,0,2,5,1
慈濟學校財團法人慈濟科技大學,120,98,22,0,0,0,0,0,0
敏惠醫護管理專科學校,96,96,0,0,0,0,0,0,0
文藻學校財團法人文藻外語大學,409,159,199,12,6,0,12,20,1
新生醫護管理專科學校,152,132,0,0,0,0,0,0,20
明志科技大學,120,100,20,0,0,0,0,0,0
明新學校財團法人明新科技大學,351,279,56,2,0,0,0,14,0
明道學校財團法人明道大學,105,91,14,0,0,0,0,0,0
景文科技大學,455,230,225,0,0,0,0,0,0
朝陽科技大學,425,360,58,2,0,0,0,5,0
東南科技大學,300,277,23,0,0,0,0,0,0
東吳大學,632,438,82,51,11,0,22,28,0
東方學校財團法人東方設計大學,109,109,0,0,0,0,0,0,0
東海大學,602,426,61,65,30,0,10,10,0
樹人醫護管理專科學校,212,211,1,0,0,0,0,0,0
樹德科技大學,318,288,29,0,1,0,0,0,0
正修學校財團法人正修科技大學,265,265,0,0,0,0,0,0,0
淡江大學學校財團法人淡江大學,1065,774,133,45,36,0,68,9,0
玄奘大學,181,181,0,0,0,0,0,0,0
環球學校財團法人環球科技大學,134,134,0,0,0,0,0,0,0
真理大學,351,347,3,1,0,0,0,0,0
稻江科技暨管理學院,27,27,0,0,0,0,0,0,0
美和學校財團法人美和科技大學,124,124,0,0,0,0,0,0,0
義守大學,625,508,78,4,6,0,13,0,16
耕莘健康管理專科學校,161,126,35,0,0,0,0,0,0
聖母醫護管理專科學校,26,26,0,0,0,0,0,0,0
聖約翰科技大學,198,197,1,0,0,0,0,0,0
育英醫護管理專科學校,39,38,1,0,0,0,0,0,0
致理學校財團法人致理科技大學,328,155,168,0,0,0,5,0,0
臺北基督學院,6,6,0,0,0,0,0,0,0
臺北市立大學,304,228,41,5,4,0,0,26,0
臺北醫學大學,138,123,9,4,2,0,0,0,0
臺灣觀光學院,59,59,0,0,0,0,0,0,0
華夏學校財團法人華夏科技大學,113,109,3,0,0,0,1,0,0
華梵大學,125,101,23,1,0,0,0,0,0
萬能學校財團法人萬能科技大學,246,210,36,0,0,0,0,0,0
蘭陽技術學院,40,39,1,0,0,0,0,0,0
輔仁大學,887,528,65,75,127,0,31,14,47
輔英科技大學,198,144,42,12,0,0,0,0,0
逢甲大學,530,484,34,2,2,0,7,0,1
遠東科技大學,249,205,44,0,0,0,0,0,0
醒吾學校財團法人醒吾科技大學,175,156,19,0,0,0,0,0,0
銘傳大學,922,790,112,2,9,0,3,6,0
長庚大學,197,104,38,55,0,0,0,0,0
長庚學校財團法人長庚科技大學,39,36,0,2,0,0,1,0,0
長榮大學,377,357,11,8,1,0,0,0,0
開南大學,390,322,65,2,0,0,1,0,0
靜宜大學,687,452,169,20,5,0,23,18,0
馬偕學校財團法人馬偕醫學院,8,8,0,0,0,0,0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,78,69,9,0,0,0,0,0,0
高苑科技大學,154,154,0,0,0,0,0,0,0
高雄醫學大學,110,88,3,17,1,0,0,1,0
黎明技術學院,148,107,41,0,0,0,0,0,0
龍華科技大學,333,191,142,0,0,0,0,0,0
