rank,name,scores_overall
=195,National Taiwan University (NTU),51.0
251-300,National Tsing Hua University,43.5—46.2
401-500,National Cheng Kung University (NCKU),32.6—37.5
401-500,National Chiao Tung University,32.6—37.5
401-500,National Taiwan University of Science and Technology (Taiwan Tech),32.6—37.5
501-600,"China Medical University, Taiwan",27.6—32.5
501-600,National Taiwan Normal University,27.6—32.5
501-600,National Yang-Ming University,27.6—32.5
601-800,"Asia University, Taiwan",18.6—27.5
601-800,Chang Gung University,18.6—27.5
601-800,Chung Yuan Christian University,18.6—27.5
601-800,Feng Chia University,18.6—27.5
601-800,Kaohsiung Medical University,18.6—27.5
601-800,National Central University,18.6—27.5
601-800,National Chung Cheng University,18.6—27.5
601-800,National Chung Hsing University,18.6—27.5
601-800,National Sun Yat-Sen University,18.6—27.5
601-800,National Taiwan Ocean University,18.6—27.5
601-800,Taipei Medical University,18.6—27.5
601-800,Yuan Ze University,18.6—27.5
801+,Fu Jen Catholic University,8.3—18.5
801+,I-Shou University,8.3—18.5
801+,Ming Chuan University,8.3—18.5
801+,National Chengchi University,8.3—18.5
801+,National Taipei University of Technology,8.3—18.5
801+,Tamkang University,8.3—18.5
