學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
一貫道崇德學院,69,30,39,0,0,0,0,0,0,0,0,0,21,0,1,0,0,9,0,1,0,0,6,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,,
世新大學,11223,4175,7048,302,267,15,7,10,0,0,3,0,753,73,28,13,127,258,7,25,5,36,85,18,19,7,3,49,677,58,0,200,45,345,0,0,4,6,2,17,0,,
中信學校財團法人中信金融管理學院,825,460,365,11,11,0,0,0,0,0,0,0,27,3,0,0,1,11,0,0,2,0,0,0,10,0,0,0,83,0,0,62,6,15,0,0,0,0,0,0,0,,
中原大學,16405,8928,7477,875,720,134,6,8,0,6,1,0,942,61,44,70,177,260,3,75,36,53,79,36,25,18,4,1,643,45,0,206,67,286,0,0,8,20,6,5,0,,
中國文化大學,24788,12175,12613,2287,1455,605,59,27,0,16,125,0,2373,115,98,76,296,528,6,20,46,75,144,46,46,59,568,250,2043,165,1,836,270,592,0,1,5,38,26,18,91,,
中國科技大學,9129,4458,4671,345,311,34,0,0,0,0,0,0,605,30,44,23,104,247,1,11,24,10,11,23,13,13,0,51,1195,139,0,324,326,353,0,0,3,36,0,0,14,,
中國醫藥大學,7203,3085,4118,132,91,0,36,1,0,2,2,0,497,10,9,1,68,48,5,18,1,21,35,7,39,19,20,196,347,9,0,98,5,152,0,1,0,9,3,54,16,35.3–38.7,550.5
中山醫學大學,6833,2433,4400,152,139,10,1,1,0,0,1,0,502,11,8,10,260,61,2,8,1,27,73,12,12,9,0,8,413,14,0,153,17,223,0,0,2,3,0,1,0,,
中州學校財團法人中州科技大學,2668,1375,1293,59,59,0,0,0,0,0,0,0,97,7,7,2,5,56,3,1,4,0,0,0,10,0,1,1,349,19,0,17,165,66,0,0,1,31,2,23,25,,
中臺科技大學,8170,2809,5361,313,256,57,0,0,0,0,0,0,962,33,51,36,142,165,16,57,23,3,31,32,19,12,331,11,599,86,0,145,4,322,1,2,1,15,5,16,2,,
中華大學學校財團法人中華大學,4948,3196,1752,305,299,6,0,0,0,0,0,0,458,26,25,29,105,139,3,11,35,14,20,18,14,8,7,4,632,36,0,256,98,153,0,0,2,40,20,4,23,,
中華學校財團法人中華科技大學,4773,3366,1407,247,158,89,0,0,0,0,0,0,1173,44,68,2,26,302,5,0,135,7,0,1,3,0,458,122,383,39,0,109,8,204,0,0,1,17,4,0,1,,
中華醫事科技大學,8724,2690,6034,174,174,0,0,0,0,0,0,0,789,27,53,0,83,70,2,3,4,0,1,4,2,0,478,62,725,83,8,226,7,299,0,2,3,11,25,9,52,,
亞東學校財團法人亞東科技大學,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,30,0,81,6,86,0,0,0,14,2,0,0,,
亞東技術學院,4388,2959,1429,145,122,23,0,0,0,0,0,0,224,13,27,27,31,84,1,1,11,6,0,15,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
亞洲大學,11421,4322,7099,277,214,56,0,3,1,2,0,1,588,61,22,22,128,145,3,3,18,13,69,15,58,5,4,22,808,78,2,335,135,196,0,0,1,18,4,22,17,22.2–28.2,900.5
仁德醫護管理專科學校,6515,1546,4969,311,311,0,0,0,0,0,0,0,113,8,15,15,40,17,4,0,3,0,0,11,0,0,0,0,453,32,9,164,84,78,0,0,7,17,16,46,0,,
佛光大學,3458,1568,1890,159,117,15,1,4,0,18,0,4,316,27,10,17,35,110,8,2,12,1,41,4,34,5,0,10,379,24,0,124,182,0,0,0,11,18,1,19,0,,
修平學校財團法人修平科技大學,5030,3836,1194,174,156,18,0,0,0,0,0,0,262,15,16,21,45,97,1,2,5,4,0,4,31,0,21,0,499,48,22,112,98,169,0,0,1,29,4,16,0,,
