學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
國立臺北商業大學,6729,240,26,7,16,42,83,4,8,7,9,0,11,15,3,0,9
國立臺北大學,9923,791,25,12,35,74,299,8,23,10,58,79,9,9,19,0,131
國立臺北教育大學,5814,681,11,14,0,67,215,16,76,3,34,124,12,18,5,0,86
國立臺北科技大學,13097,850,56,56,54,89,304,6,52,77,24,35,1,24,15,0,57
國立臺北藝術大學,3072,501,24,36,36,13,108,10,35,10,78,103,29,5,7,0,7
國立臺北護理健康大學,5247,512,18,9,19,50,141,25,61,2,18,64,8,14,7,0,76
國立臺南大學,5692,568,27,11,10,73,215,2,31,9,7,92,5,13,3,0,70
國立臺南藝術大學,1564,274,5,13,0,11,55,2,15,3,21,54,1,19,0,0,75
國立臺南護理專科學校,1958,25,2,0,1,14,4,0,0,0,0,0,0,0,0,0,4
國立臺東大學,4583,455,23,22,15,52,120,7,7,8,7,2,0,29,6,0,157
國立臺東專科學校,1174,159,6,21,3,51,30,0,0,3,0,0,11,0,1,0,33
國立臺灣大學,31745,3634,196,70,44,272,593,12,220,42,162,741,0,0,0,0,1282
國立臺灣師範大學,15582,2119,53,29,29,177,497,36,289,45,118,608,46,4,46,0,142
國立臺灣戲曲學院,607,35,1,2,4,0,5,0,1,6,0,0,1,0,0,0,15
國立臺灣海洋大學,8655,616,35,20,30,78,165,9,10,43,33,22,18,61,24,0,68
國立臺灣科技大學,11137,835,54,25,122,106,327,2,55,31,19,4,0,3,2,0,85
國立臺灣藝術大學,5714,588,33,15,60,30,198,10,25,17,31,27,17,4,8,0,113
國立臺灣體育運動大學,3100,243,5,65,37,23,89,2,7,12,0,1,0,0,0,0,2
國立虎尾科技大學,10328,435,26,52,59,78,88,3,8,48,7,6,11,5,5,0,39
國立金門大學,4303,220,13,4,11,52,114,2,4,9,1,0,0,9,0,0,1
國立陽明交通大學,14271,1301,70,26,50,117,360,18,165,71,78,187,14,27,24,0,94
國立陽明大學,4334,571,29,3,15,87,122,4,60,7,34,85,6,9,5,0,105
國立雲林科技大學,9732,724,34,103,60,96,267,8,32,12,3,37,13,6,1,0,52
國立體育大學,2465,289,2,9,0,0,249,1,17,5,0,0,0,0,6,0,0
國立高雄大學,5565,490,34,30,84,58,219,1,15,0,0,0,0,0,0,0,49
國立高雄師範大學,6678,865,23,13,8,91,249,19,103,11,6,132,0,2,0,0,208
國立高雄科技大學,27274,1782,44,72,100,438,666,11,60,99,36,4,1,152,4,0,95
國立高雄餐旅大學,5197,221,18,19,29,45,33,2,6,3,4,0,0,1,0,0,61
城市學校財團法人臺北城市科技大學,9358,806,24,76,61,34,316,4,4,93,39,9,33,12,5,0,96
大仁科技大學,6260,1128,43,124,14,123,296,15,6,19,6,0,12,8,4,0,458
大同大學,4390,263,24,9,10,44,85,1,6,21,11,13,4,5,2,0,28
大同技術學院,1803,299,16,21,11,26,120,2,0,24,2,0,1,2,1,0,73
大漢技術學院,1163,148,6,23,3,11,76,0,2,14,1,4,3,3,2,0,0
大華學校財團法人敏實科技大學,2019,43,2,4,12,1,19,0,0,5,0,0,0,0,0,0,0
大葉大學,10311,800,74,60,59,87,325,3,14,48,29,37,13,9,12,0,30
學校財團法人中華浸信會基督教台灣浸會神學院,31,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
宏國學校財團法人宏國德霖科技大學,6344,321,12,20,64,52,88,2,1,37,7,0,2,4,0,0,32
實踐大學,13968,818,72,33,58,194,185,4,25,18,84,36,30,19,9,0,51
崇仁醫護管理專科學校,3392,79,12,4,4,31,5,0,1,0,2,0,0,2,0,0,18
崇右學校財團法人崇右影藝科技大學,2415,167,13,13,5,13,44,1,1,13,13,1,0,1,0,0,49
崑山科技大學,11677,1718,35,65,292,190,333,3,2,200,22,7,9,17,0,0,543
嶺東科技大學,10336,463,16,60,11,61,200,6,3,47,14,1,12,6,2,0,24
康寧學校財團法人康寧大學,4304,219,23,20,12,33,38,3,1,4,5,0,6,17,1,0,56
廣亞學校財團法人育達科技大學,4840,357,22,38,7,20,137,7,4,34,0,0,2,9,0,0,77
建國科技大學,7545,327,29,38,18,48,102,6,1,39,4,1,11,2,1,0,27
弘光科技大學,12971,977,77,96,31,147,332,18,35,66,13,16,20,9,18,0,99
德明財經科技大學,8186,658,34,12,23,110,112,3,3,34,27,0,4,0,5,0,291
德育學校財團法人德育護理健康學院,3732,349,25,34,21,66,93,1,11,17,3,5,0,2,6,0,65
慈惠醫護管理專科學校,5040,389,42,45,50,94,56,7,0,20,0,0,11,0,0,0,64
慈濟學校財團法人慈濟大學,3448,214,5,3,2,38,12,5,15,2,17,32,2,2,3,0,76
慈濟學校財團法人慈濟科技大學,2979,163,18,3,13,57,27,1,3,4,0,0,0,3,1,0,33
敏惠醫護管理專科學校,3869,73,9,8,7,22,8,4,0,0,0,0,0,0,0,0,15
文藻學校財團法人文藻外語大學,9437,753,54,52,35,102,194,10,5,15,92,10,7,21,12,0,144
新生醫護管理專科學校,6058,271,27,21,59,8,34,4,1,0,0,0,0,0,0,0,117
明志科技大學,4559,180,10,16,2,52,44,0,0,20,4,2,1,0,3,0,26
明新學校財團法人明新科技大學,12392,768,19,31,129,109,194,13,5,108,12,8,12,5,3,0,120
明道學校財團法人明道大學,3913,149,17,16,2,17,34,0,1,23,5,6,0,0,1,0,27
景文科技大學,7061,390,25,48,44,61,62,1,5,39,13,12,4,3,23,0,50
朝陽科技大學,15612,885,60,55,59,178,259,11,37,51,23,2,12,0,1,0,137
東南科技大學,5935,811,17,66,21,77,117,3,11,34,10,1,2,4,1,0,447
東吳大學,15665,1163,75,26,64,152,218,11,59,27,153,119,20,6,17,0,216
東方學校財團法人東方設計大學,2832,525,13,53,4,54,26,3,0,15,4,0,1,1,1,0,350
東海大學,16080,1340,87,24,54,161,318,10,35,18,69,184,7,7,7,0,359
樹人醫護管理專科學校,7149,289,32,1,24,112,65,1,3,1,3,0,3,0,0,0,44
樹德科技大學,10626,420,38,77,47,71,111,5,17,29,12,6,4,2,0,0,1
正修學校財團法人正修科技大學,16939,1571,103,104,113,157,470,12,5,99,30,7,54,18,9,0,390
法鼓學校財團法人法鼓文理學院,280,75,4,1,0,1,22,0,0,1,4,33,0,4,0,0,5
淡江大學學校財團法人淡江大學,25343,2055,131,63,17,119,143,7,43,28,118,58,7,2,18,0,1301
玄奘大學,3674,466,21,41,10,15,97,2,2,23,0,41,1,0,2,0,211
環球學校財團法人環球科技大學,4776,305,16,39,93,39,51,7,1,34,1,1,2,9,5,0,7
真理大學,6204,227,11,104,3,44,11,3,2,15,19,5,8,1,1,0,0
稻江科技暨管理學院,2334,111,6,23,1,15,34,1,0,14,1,5,0,8,0,0,3
美和學校財團法人美和科技大學,7403,526,29,34,5,69,192,10,9,56,11,10,16,16,12,0,57
義守大學,15532,480,30,31,24,132,162,2,8,23,16,10,2,12,6,0,22
耕莘健康管理專科學校,5093,175,25,5,0,67,19,3,0,2,3,0,9,1,1,0,40
聖母醫護管理專科學校,2777,121,9,8,24,40,9,2,2,1,1,0,10,1,0,0,14
聖約翰科技大學,3807,389,14,53,11,19,112,1,3,61,7,6,1,0,1,0,100
育英醫護管理專科學校,2013,54,4,4,14,24,2,0,0,0,1,0,1,0,0,0,4
致理學校財團法人致理科技大學,11509,803,36,47,85,194,168,20,20,50,40,0,31,8,11,0,93
臺北基督學院,89,21,2,3,4,4,0,0,0,1,1,0,0,0,0,0,6
臺北市立大學,7774,691,36,35,25,67,230,11,45,10,35,70,12,23,23,0,69
臺北醫學大學,6140,548,20,7,4,270,95,2,32,1,10,36,0,29,1,0,41
臺灣觀光學院,751,54,2,6,2,2,37,1,0,3,1,0,0,0,0,0,0
華夏學校財團法人華夏科技大學,4366,817,21,55,17,85,234,8,4,88,15,3,3,10,4,0,270
華梵大學,1871,211,19,2,30,33,64,0,3,18,8,11,0,17,1,0,5
萬能學校財團法人萬能科技大學,10380,1040,47,198,17,111,379,9,4,75,9,6,11,6,1,0,167
蘭陽技術學院,921,59,4,4,12,7,16,0,0,11,2,0,3,0,0,0,0
財團法人一貫道天皇基金會一貫道天皇學院,128,16,2,1,0,3,4,0,0,0,0,2,0,1,0,0,3
輔仁大學,26176,2023,164,29,56,361,729,14,84,39,218,301,12,7,9,0,0
輔英科技大學,9401,624,49,74,17,151,177,13,21,29,7,0,3,1,12,0,70
逢甲大學,20812,1009,58,18,73,190,278,6,38,29,83,63,2,110,9,0,52
遠東科技大學,5553,500,21,47,21,76,188,3,1,71,1,4,5,4,0,0,58
醒吾學校財團法人醒吾科技大學,8097,1491,77,51,278,430,197,11,10,20,20,0,18,37,8,0,334
銘傳大學,18975,973,78,12,109,131,210,6,12,48,78,78,17,5,7,0,182
長庚大學,7052,533,14,18,0,101,100,6,13,8,38,26,1,0,0,0,208
長庚學校財團法人長庚科技大學,6635,217,28,7,0,21,73,6,11,0,8,0,5,1,0,0,57
長榮大學,9259,463,23,151,0,79,82,4,3,34,11,30,22,0,14,0,10
開南大學,6665,532,38,62,19,70,191,11,9,51,18,5,0,5,7,0,46
靜宜大學,12104,592,38,14,62,125,158,1,11,10,37,22,16,6,15,0,77
馬偕學校財團法人馬偕醫學院,708,37,1,0,0,14,4,0,0,0,1,0,0,0,0,0,17
馬偕學校財團法人馬偕醫護管理專科學校,4276,145,12,6,25,43,34,5,0,0,1,0,2,1,0,0,16
高苑科技大學,4692,210,9,12,5,24,101,3,0,31,2,1,1,0,0,0,21
高雄醫學大學,6802,489,6,4,4,125,89,6,11,4,39,81,3,6,7,0,104
黎明技術學院,4925,1411,45,166,180,174,295,7,4,30,7,0,6,4,2,0,491
龍華科技大學,11229,616,34,57,56,125,223,3,1,63,12,11,1,5,0,0,25
