學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
一貫道崇德學院,50,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0
世新大學,11590,839,40,28,30,136,294,6,22,24,76,82,16,10,19,0,56
中信學校財團法人中信金融管理學院,661,7,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
中原大學,16189,866,45,38,56,125,241,5,62,23,60,84,9,21,23,0,74
中國文化大學,25225,2119,95,96,135,247,559,14,27,47,164,122,34,47,52,0,480
中國科技大學,9972,577,18,38,15,130,186,7,6,45,36,1,25,6,10,0,54
中國醫藥大學,7425,550,22,17,5,77,57,3,24,8,41,36,5,47,5,0,203
中山醫學大學,7096,450,16,16,7,179,79,2,7,4,53,40,17,8,7,0,15
中州學校財團法人中州科技大學,3274,73,3,2,4,9,21,3,2,15,2,0,0,12,0,0,0
中臺科技大學,8685,1042,36,65,56,181,199,8,62,51,7,31,16,16,3,0,311
中華大學學校財團法人中華大學,6267,476,24,29,31,90,169,4,11,42,13,22,12,6,8,0,15
中華學校財團法人中華科技大學,5810,1093,35,82,11,23,331,1,9,193,17,2,3,334,0,0,52
中華醫事科技大學,9162,483,4,0,0,478,1,0,0,0,0,0,0,0,0,0,0
亞東技術學院,4522,245,5,36,26,44,65,6,3,21,19,0,12,3,2,0,3
亞洲大學,11779,514,38,33,26,123,106,3,3,24,37,52,13,0,8,0,48
仁德醫護管理專科學校,6425,104,7,15,34,25,16,0,0,1,1,0,0,1,0,0,4
佛光大學,3696,375,32,13,0,22,122,4,14,21,16,40,9,1,2,0,79
修平學校財團法人修平科技大學,4877,264,12,15,15,52,113,2,3,4,5,0,0,34,0,0,9
健行學校財團法人健行科技大學,11333,654,29,55,42,93,235,7,11,92,4,0,2,23,0,0,61
僑光科技大學,10970,205,14,15,5,24,60,0,1,30,15,2,11,2,2,0,24
元智大學,8882,398,14,5,86,16,182,4,5,9,12,11,1,3,1,0,49
光宇學校財團法人元培醫事科技大學,6292,229,24,26,30,44,60,2,3,23,2,0,5,7,1,0,2
南亞科技學校財團法人南亞技術學院,3010,551,20,45,0,38,251,10,1,99,7,0,5,4,0,0,71
南臺學校財團法人南臺科技大學,18622,1603,82,245,20,111,744,13,7,190,59,15,14,3,29,0,71
南華大學,5898,572,56,44,42,79,224,5,19,30,11,22,3,15,8,0,14
南開科技大學,4726,275,10,6,5,32,134,2,1,32,3,5,7,6,11,0,21
台北海洋學校財團法人台北海洋科技大學,4856,488,24,57,0,116,141,0,8,55,1,0,0,0,0,0,86
台南家專學校財團法人台南應用科技大學,12731,1417,87,135,149,246,372,11,8,37,29,0,3,1,0,0,339
台灣基督長老教會南神神學院,47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
台灣首府學校財團法人台灣首府大學,2194,123,7,15,12,13,47,3,3,23,0,0,0,0,0,0,0
台神學校財團法人台灣神學研究學院,93,7,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0
吳鳳科技大學,4360,561,12,36,56,70,145,6,3,52,2,1,12,1,2,0,163
和春技術學院,1446,342,7,12,38,8,141,0,2,78,1,0,1,0,0,0,54
嘉藥學校財團法人嘉南藥理大學,14347,1625,41,54,2,27,65,4,2,43,6,0,2,0,0,0,1379
國立中央大學,11960,928,34,50,57,133,283,10,83,22,28,175,0,24,11,0,18
國立中山大學,9425,1004,30,11,10,56,243,7,63,11,43,147,11,5,24,0,343
國立中正大學,11328,1020,41,30,38,145,241,11,70,9,31,195,11,68,49,0,81
國立中興大學,14884,1389,93,49,27,196,427,6,116,31,78,192,2,101,32,0,39
國立勤益科技大學,11101,609,21,28,56,165,175,1,3,37,7,0,0,7,0,0,109
國立嘉義大學,12219,1253,75,39,116,177,371,16,45,61,32,58,1,0,0,0,262
國立宜蘭大學,5470,341,23,12,28,69,84,4,4,33,17,16,17,7,10,0,17
國立屏東大學,8969,620,24,22,35,63,240,9,29,6,17,73,17,18,35,0,32
國立屏東科技大學,11122,704,10,23,13,76,169,4,24,15,23,16,4,82,37,0,208
國立彰化師範大學,8333,915,39,20,36,72,284,21,68,24,24,106,2,28,50,0,141
國立成功大學,21276,1835,54,10,65,139,241,16,149,32,11,200,38,79,35,0,766
國立政治大學,16343,2274,91,14,7,378,691,20,197,55,117,201,0,0,0,0,503
國立暨南國際大學,6200,433,43,8,10,17,177,5,23,8,5,24,59,49,5,0,0
國立東華大學,9928,1249,58,54,38,80,384,10,74,37,27,155,16,71,30,0,215
國立清華大學,16657,1386,71,12,129,166,320,17,117,24,137,46,28,1,1,0,317
國立澎湖科技大學,3025,141,4,4,1,11,29,0,1,8,0,0,1,0,3,0,79
國立聯合大學,7622,338,29,13,34,93,79,1,5,32,4,7,12,1,6,0,22
國立臺中教育大學,4966,446,27,8,0,39,112,5,40,2,8,29,2,0,0,0,174
國立臺中科技大學,13565,631,44,15,9,103,187,3,18,14,19,1,4,3,10,0,201
