學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
長庚學校財團法人長庚科技大學,12666,146,1,0,60,5,45,0,3,5,11,2,9,5
長榮大學,16496,689,29,0,343,251,2,0,0,4,15,13,32,0
開南大學,11174,719,83,0,206,165,213,0,0,1,10,3,37,1
靜宜大學,24036,766,52,0,345,69,227,0,0,2,18,2,51,0
馬偕學校財團法人馬偕醫學院,1632,25,0,0,11,0,11,0,0,2,0,0,1,0
馬偕學校財團法人馬偕醫護管理專科學校,8212,257,20,14,116,19,28,0,1,1,17,1,40,0
高苑科技大學,7020,531,77,4,102,150,85,1,1,3,74,18,8,8
高雄醫學大學,12980,259,5,0,37,23,184,0,0,1,4,2,2,1
黎明技術學院,10382,540,73,3,67,178,88,2,0,3,14,7,64,41
龍華科技大學,23212,1558,144,6,659,271,389,0,1,3,21,13,33,18
