學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
世新大學,302,267,15,7,10,0,0,3,0
中信學校財團法人中信金融管理學院,11,11,0,0,0,0,0,0,0
中原大學,875,720,134,6,8,0,6,1,0
中國文化大學,2287,1455,605,59,27,0,16,125,0
中國科技大學,345,311,34,0,0,0,0,0,0
中國醫藥大學,132,91,0,36,1,0,2,2,0
中山醫學大學,152,139,10,1,1,0,0,1,0
中州學校財團法人中州科技大學,59,59,0,0,0,0,0,0,0
中臺科技大學,313,256,57,0,0,0,0,0,0
中華大學學校財團法人中華大學,305,299,6,0,0,0,0,0,0
中華學校財團法人中華科技大學,247,158,89,0,0,0,0,0,0
中華醫事科技大學,174,174,0,0,0,0,0,0,0
亞東技術學院,145,122,23,0,0,0,0,0,0
亞洲大學,277,214,56,0,3,1,2,0,1
仁德醫護管理專科學校,311,311,0,0,0,0,0,0,0
佛光大學,159,117,15,1,4,0,18,0,4
修平學校財團法人修平科技大學,174,156,18,0,0,0,0,0,0
健行學校財團法人健行科技大學,344,276,68,0,0,0,0,0,0
僑光科技大學,132,132,0,0,0,0,0,0,0
元智大學,433,321,109,0,1,0,2,0,0
光宇學校財團法人元培醫事科技大學,241,241,0,0,0,0,0,0,0
南亞科技學校財團法人南亞技術學院,87,77,10,0,0,0,0,0,0
南臺學校財團法人南臺科技大學,563,447,112,0,1,0,0,3,0
南華大學,181,148,31,0,0,0,1,0,1
南開科技大學,132,112,20,0,0,0,0,0,0
台北海洋學校財團法人台北海洋科技大學,253,229,24,0,0,0,0,0,0
台南家專學校財團法人台南應用科技大學,232,215,6,0,0,0,0,10,1
台灣首府學校財團法人台灣首府大學,54,49,5,0,0,0,0,0,0
吳鳳科技大學,129,124,5,0,0,0,0,0,0
和春技術學院,28,23,5,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,305,244,60,1,0,0,0,0,0
國立中央大學,226,147,27,26,6,0,14,6,0
國立中山大學,286,169,61,14,2,0,18,4,18
國立中正大學,189,155,0,25,4,0,0,4,1
國立中興大學,309,265,8,19,8,1,4,4,0
國立勤益科技大學,198,145,51,1,1,0,0,0,0
國立嘉義大學,220,186,7,3,3,0,4,17,0
國立宜蘭大學,157,138,18,1,0,0,0,0,0
國立屏東大學,272,238,22,0,3,0,0,7,2
國立屏東科技大學,344,254,84,0,0,0,0,1,5
國立彰化師範大學,205,170,24,2,2,7,0,0,0
國立成功大學,562,421,27,73,35,0,2,4,0
國立政治大學,734,335,2,218,138,0,34,6,1
國立暨南國際大學,210,148,40,2,1,0,3,12,4
國立東華大學,442,361,43,21,4,0,1,11,1
國立清華大學,434,211,54,34,26,0,32,13,64
國立澎湖科技大學,100,86,14,0,0,0,0,0,0
國立聯合大學,221,199,19,1,0,0,1,1,0
國立臺中教育大學,94,79,8,0,1,0,0,6,0
國立臺中科技大學,288,167,118,1,2,0,0,0,0
國立臺北商業大學,110,81,23,1,0,0,4,0,1
國立臺北大學,227,131,9,56,17,2,9,3,0
國立臺北教育大學,123,88,3,5,5,0,7,14,1
國立臺北科技大學,244,214,29,0,0,0,0,1,0
國立臺北藝術大學,243,141,69,0,12,0,0,21,0
國立臺北護理健康大學,108,86,20,1,1,0,0,0,0
國立臺南大學,137,110,20,1,0,0,0,6,0
國立臺南藝術大學,48,34,14,0,0,0,0,0,0
國立臺南護理專科學校,22,17,5,0,0,0,0,0,0
國立臺東大學,161,137,13,1,3,0,0,5,2
國立臺東專科學校,30,30,0,0,0,0,0,0,0
國立臺灣大學,1280,896,50,143,78,0,69,30,14
國立臺灣師範大學,545,388,34,31,19,0,20,49,4
國立臺灣戲曲學院,20,18,2,0,0,0,0,0,0
國立臺灣海洋大學,255,215,0,1,0,0,0,1,38
國立臺灣科技大學,283,233,26,6,8,0,7,3,0
國立臺灣藝術大學,237,127,90,8,5,0,0,7,0
國立臺灣體育運動大學,161,104,44,0,0,0,0,13,0
國立虎尾科技大學,267,253,14,0,0,0,0,0,0
國立金門大學,103,97,1,4,0,0,0,0,1
國立陽明交通大學,240,183,21,31,2,0,1,1,1
國立陽明大學,27,18,1,0,1,0,0,0,7
國立雲林科技大學,235,143,77,1,2,0,11,1,0
國立體育大學,141,110,14,0,0,0,0,17,0
國立高雄大學,176,154,17,1,2,0,2,0,0
國立高雄師範大學,118,97,3,2,2,0,0,14,0
國立高雄科技大學,656,510,138,0,0,0,6,2,0
國立高雄餐旅大學,25,19,3,0,0,0,0,3,0
城市學校財團法人臺北城市科技大學,571,375,196,0,0,0,0,0,0
大仁科技大學,195,183,12,0,0,0,0,0,0
大同大學,161,153,8,0,0,0,0,0,0
大同技術學院,47,47,0,0,0,0,0,0,0
大漢技術學院,8,8,0,0,0,0,0,0,0
大華學校財團法人敏實科技大學,79,63,13,0,0,0,3,0,0
大葉大學,298,223,24,1,7,0,4,27,12
宏國學校財團法人宏國德霖科技大學,129,115,14,0,0,0,0,0,0
實踐大學,644,394,229,3,1,1,12,0,4
崇仁醫護管理專科學校,62,62,0,0,0,0,0,0,0
崇右學校財團法人崇右影藝科技大學,144,131,13,0,0,0,0,0,0
崑山科技大學,399,310,89,0,0,0,0,0,0
嶺東科技大學,219,210,9,0,0,0,0,0,0
康寧學校財團法人康寧大學,83,83,0,0,0,0,0,0,0
廣亞學校財團法人育達科技大學,133,83,50,0,0,0,0,0,0
建國科技大學,191,144,47,0,0,0,0,0,0
弘光科技大學,307,228,68,0,1,0,0,10,0
德明財經科技大學,458,260,198,0,0,0,0,0,0
德育學校財團法人德育護理健康學院,212,197,15,0,0,0,0,0,0
慈惠醫護管理專科學校,261,261,0,0,0,0,0,0,0
慈濟學校財團法人慈濟大學,103,42,40,12,2,0,0,7,0
慈濟學校財團法人慈濟科技大學,94,86,8,0,0,0,0,0,0
敏惠醫護管理專科學校,112,112,0,0,0,0,0,0,0
文藻學校財團法人文藻外語大學,395,198,154,5,3,0,17,18,0
新生醫護管理專科學校,181,154,1,0,0,0,0,0,26
明志科技大學,164,121,43,0,0,0,0,0,0
明新學校財團法人明新科技大學,428,326,84,0,0,0,0,18,0
明道學校財團法人明道大學,79,68,11,0,0,0,0,0,0
景文科技大學,344,220,124,0,0,0,0,0,0
朝陽科技大學,441,376,55,1,0,0,0,8,1
東南科技大學,253,220,33,0,0,0,0,0,0
東吳大學,593,379,82,82,12,0,4,34,0
東方學校財團法人東方設計大學,74,74,0,0,0,0,0,0,0
東海大學,532,409,38,42,35,0,4,4,0
樹人醫護管理專科學校,234,232,2,0,0,0,0,0,0
樹德科技大學,380,333,45,2,0,0,0,0,0
