學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
正修學校財團法人正修科技大學,276,276,0,0,0,0,0,0,0
法鼓學校財團法人法鼓文理學院,1,0,0,0,0,0,0,0,1
淡江大學學校財團法人淡江大學,1048,801,87,43,32,0,76,9,0
玄奘大學,140,140,0,0,0,0,0,0,0
環球學校財團法人環球科技大學,166,166,0,0,0,0,0,0,0
真理大學,303,300,2,0,1,0,0,0,0
稻江科技暨管理學院,3,3,0,0,0,0,0,0,0
美和學校財團法人美和科技大學,131,131,0,0,0,0,0,0,0
義守大學,615,538,52,2,4,0,8,0,11
耕莘健康管理專科學校,223,182,41,0,0,0,0,0,0
聖母醫護管理專科學校,51,51,0,0,0,0,0,0,0
聖約翰科技大學,206,179,27,0,0,0,0,0,0
育英醫護管理專科學校,61,58,3,0,0,0,0,0,0
致理學校財團法人致理科技大學,328,164,164,0,0,0,0,0,0
臺北基督學院,7,7,0,0,0,0,0,0,0
臺北市立大學,371,238,29,20,9,0,0,75,0
臺北醫學大學,137,128,7,2,0,0,0,0,0
臺灣觀光學院,21,15,6,0,0,0,0,0,0
華夏學校財團法人華夏科技大學,119,119,0,0,0,0,0,0,0
華梵大學,81,75,4,2,0,0,0,0,0
萬能學校財團法人萬能科技大學,310,238,72,0,0,0,0,0,0
蘭陽技術學院,31,31,0,0,0,0,0,0,0
輔仁大學,857,547,55,52,106,0,24,73,0
輔英科技大學,275,213,45,15,2,0,0,0,0
逢甲大學,667,580,81,1,0,0,5,0,0
遠東科技大學,272,240,32,0,0,0,0,0,0
醒吾學校財團法人醒吾科技大學,204,180,24,0,0,0,0,0,0
銘傳大學,837,682,133,4,8,0,3,7,0
長庚大學,163,125,21,17,0,0,0,0,0
長庚學校財團法人長庚科技大學,30,26,1,3,0,0,0,0,0
長榮大學,245,234,8,2,1,0,0,0,0
開南大學,359,280,53,8,3,0,14,0,1
靜宜大學,693,433,201,9,6,1,20,19,4
馬偕學校財團法人馬偕醫學院,15,15,0,0,0,0,0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,99,88,6,0,0,4,0,0,1
高雄醫學大學,117,110,0,7,0,0,0,0,0
黎明技術學院,138,129,9,0,0,0,0,0,0
龍華科技大學,392,276,116,0,0,0,0,0,0
