學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
一貫道崇德學院,56,2,0,0,1,0,0,0,0,0,0,0,1,0
世新大學,23446,593,109,1,129,57,279,0,0,3,9,0,3,3
中信學校財團法人中信金融管理學院,970,34,9,0,15,3,3,0,0,1,1,1,1,0
中原大學,32684,789,230,0,207,13,305,0,0,0,1,6,27,0
中國文化大學,51770,2075,417,1,674,225,666,0,0,0,31,16,12,33
中國科技大學,21938,908,61,0,312,76,436,0,0,0,14,3,4,2
中國醫藥大學,14936,329,2,0,116,5,155,0,0,0,9,0,6,36
中山醫學大學,14474,392,13,0,160,32,177,0,0,2,3,0,2,3
中州學校財團法人中州科技大學,6946,588,10,1,209,199,139,0,0,2,13,0,0,15
中臺科技大學,18014,687,44,0,177,0,419,1,0,2,18,3,2,21
中華大學學校財團法人中華大學,13444,594,27,0,190,117,125,0,0,2,40,9,11,73
中華學校財團法人中華科技大學,13076,481,92,0,135,1,229,0,0,1,10,4,1,8
中華醫事科技大學,18480,745,24,18,64,55,289,1,0,0,6,2,0,286
亞太學校財團法人亞太創意技術學院,1788,91,2,0,29,21,34,0,0,0,2,2,0,1
亞東技術學院,8968,221,23,0,74,5,101,0,0,3,12,1,1,1
亞洲大學,24246,1101,117,0,321,323,297,0,0,1,15,5,5,17
仁德醫護管理專科學校,13202,437,43,1,173,97,81,0,1,6,20,2,2,11
佛光大學,7644,361,37,0,117,173,0,0,0,6,9,1,3,15
修平學校財團法人修平科技大學,10422,573,54,43,178,73,183,0,0,0,0,1,31,10
健行學校財團法人健行科技大學,21530,969,108,4,157,207,439,0,0,1,26,4,1,22
僑光科技大學,21712,977,84,0,331,278,186,1,1,6,41,14,26,9
元智大學,18270,459,123,0,69,65,158,0,0,0,5,1,13,25
光宇學校財團法人元培醫事科技大學,12874,651,84,0,145,307,62,2,0,3,23,4,0,21
南亞科技學校財團法人南亞技術學院,7084,514,83,2,93,83,224,0,0,0,18,1,0,10
南榮學校財團法人南榮科技大學,4422,322,42,2,97,78,77,0,1,0,11,10,4,0
南臺學校財團法人南臺科技大學,37710,1251,163,0,307,322,360,1,0,6,53,31,1,7
南華大學,11200,527,83,1,168,60,180,1,0,5,25,0,0,4
南開科技大學,10434,578,58,4,202,91,204,0,0,0,10,1,1,7
台北海洋學校財團法人台北海洋科技大學,10660,712,12,0,217,154,251,1,1,4,25,24,0,23
台南家專學校財團法人台南應用科技大學,25466,823,52,0,317,92,307,0,0,5,16,1,2,31
台灣首府學校財團法人台灣首府大學,5460,415,5,1,47,163,122,0,0,2,20,19,22,14
台神學校財團法人台灣神學研究學院,108,0,0,0,0,0,0,0,0,0,0,0,0,0
