學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
吳鳳科技大學,9418,397,14,0,43,22,303,0,0,1,7,1,4,2
和春技術學院,4950,691,10,21,24,257,104,0,0,2,54,2,0,217
嘉藥學校財團法人嘉南藥理大學,31404,1012,7,0,279,8,325,0,0,6,24,20,2,341
國立中央大學,23848,541,92,0,100,62,258,0,0,3,13,4,9,0
國立中山大學,18932,533,45,0,23,56,194,1,2,3,53,0,82,74
國立中正大學,23024,564,114,0,93,58,235,0,1,2,27,3,0,31
國立中興大學,29754,815,103,0,235,130,218,0,0,11,80,6,8,24
國立勤益科技大學,22352,603,125,12,148,4,267,0,1,3,32,1,2,8
國立嘉義大學,24798,716,68,0,224,71,199,0,0,0,55,5,0,94
國立宜蘭大學,11022,299,59,0,90,31,93,0,1,1,11,3,9,1
國立屏東大學,17926,448,41,1,112,91,166,0,0,0,10,1,20,6
國立屏東科技大學,22374,629,82,0,174,83,236,0,0,0,16,1,22,15
國立彰化師範大學,16470,406,45,0,81,51,172,0,0,5,23,1,21,7
國立成功大學,42504,1037,168,0,8,147,587,0,0,0,0,0,126,1
國立政治大學,32706,569,61,0,137,0,356,0,0,4,5,0,2,4
國立暨南國際大學,12722,337,64,0,23,47,137,0,0,3,8,5,50,0
國立東華大學,20308,608,44,0,86,121,220,0,2,4,51,11,11,58
國立清華大學,33328,612,78,0,84,153,199,0,0,7,48,6,2,35
國立澎湖科技大學,6016,195,10,1,52,18,96,0,0,0,3,0,0,15
國立聯合大學,15458,540,130,1,167,88,143,0,0,2,4,2,3,0
國立臺中教育大學,10012,243,37,0,44,26,90,0,0,2,11,10,23,0
國立臺中科技大學,27198,627,74,1,180,120,191,0,0,4,14,3,3,37
國立臺北商業大學,13460,211,23,5,53,13,62,0,0,3,19,5,20,8
國立臺北大學,19706,453,91,0,110,37,112,0,0,0,47,2,8,46
國立臺北教育大學,11616,288,29,0,65,45,6,0,2,2,54,8,7,70
國立臺北科技大學,25946,592,75,1,23,159,261,0,0,4,10,5,2,52
國立臺北藝術大學,6262,150,31,0,26,14,59,1,0,0,19,0,0,0
國立臺北護理健康大學,10154,169,5,0,22,42,70,0,0,2,4,2,3,19
國立臺南大學,11490,341,17,0,102,24,53,0,0,2,94,5,34,10
國立臺南藝術大學,3160,102,3,0,21,4,33,0,1,0,13,2,6,19
國立臺南護理專科學校,3910,47,2,0,7,2,17,0,0,0,2,0,0,17
國立臺東大學,9232,298,19,0,141,10,93,0,0,2,19,6,2,6
國立臺東專科學校,2488,140,10,6,46,31,38,0,0,0,0,0,0,9
國立臺灣大學,63604,1279,144,0,102,414,465,0,0,1,26,4,0,123
國立臺灣師範大學,30852,731,73,0,144,505,0,0,0,0,4,1,3,1
國立臺灣戲曲學院,1228,60,6,1,17,1,27,0,0,1,3,1,1,2
國立臺灣海洋大學,17304,450,12,0,100,71,232,0,1,3,13,5,7,6
國立臺灣科技大學,22038,430,100,0,32,176,29,0,0,5,32,5,20,31
國立臺灣藝術大學,11366,223,14,0,31,82,70,0,1,0,14,1,1,9
國立臺灣體育運動大學,6308,316,36,0,54,62,134,0,1,0,17,11,0,1
國立虎尾科技大學,20376,439,90,0,110,47,138,0,0,1,18,5,2,28
國立金門大學,9002,338,13,0,16,83,63,0,0,1,8,1,1,152
國立陽明交通大學,28338,619,110,1,52,304,0,0,0,1,11,0,17,123
國立陽明大學,8664,215,9,0,45,15,77,0,0,2,13,0,45,9
國立雲林科技大學,19430,478,45,0,10,76,214,0,0,1,28,5,15,84
國立體育大學,4928,132,5,0,27,21,72,0,0,1,6,0,0,0
國立高雄大學,11012,279,15,0,84,31,104,0,0,0,26,2,0,17
國立高雄師範大學,13308,451,38,0,108,105,108,0,0,4,36,5,27,20
國立高雄科技大學,54640,1363,199,1,294,203,568,0,0,4,49,7,14,24
國立高雄餐旅大學,10534,128,2,2,40,12,49,0,1,1,13,0,1,7
城市學校財團法人臺北城市科技大學,19354,1076,110,32,218,31,453,1,0,5,58,17,35,116
大仁科技大學,13230,647,10,2,146,260,179,0,0,2,24,1,7,16
大同大學,8994,305,104,0,84,36,62,0,0,2,6,0,2,9
大同技術學院,4224,447,98,2,42,69,179,0,0,0,9,8,0,40
大漢技術學院,2610,193,7,0,8,121,48,0,0,1,4,3,1,0
大華學校財團法人敏實科技大學,5880,446,38,27,135,93,106,0,0,1,16,6,4,20
大葉大學,22294,949,11,0,335,209,312,0,0,2,7,42,5,26
學校財團法人中華浸信會基督教台灣浸會神學院,54,2,0,0,0,0,1,0,0,0,0,0,1,0
宏國學校財團法人宏國德霖科技大學,13136,831,52,12,140,153,426,0,0,0,23,1,4,20
實踐大學,29158,1237,230,33,479,140,319,0,0,2,15,3,10,6
崇仁醫護管理專科學校,7006,140,6,6,79,4,33,0,0,1,2,0,0,9
崇右學校財團法人崇右影藝科技大學,5370,447,22,2,29,170,147,0,0,0,9,0,0,68
崑山科技大學,24348,1129,25,0,347,22,550,0,0,6,123,20,2,34
嶺東科技大學,20624,992,158,0,273,164,290,1,0,1,22,15,5,63
康寧學校財團法人康寧大學,9936,817,4,45,185,6,484,0,0,6,20,11,14,42
廣亞學校財團法人育達科技大學,9164,588,30,0,13,217,221,0,1,5,32,15,3,51
建國科技大學,15678,808,76,1,213,180,286,0,0,5,27,1,3,16
弘光科技大學,25918,892,82,0,203,219,347,0,0,3,20,10,1,7
德明財經科技大學,16840,529,72,2,172,0,219,1,0,3,21,1,2,36
德育學校財團法人德育護理健康學院,7748,489,49,11,212,32,104,1,2,1,36,12,0,29
慈惠醫護管理專科學校,11112,608,116,17,216,57,89,1,0,14,18,18,9,53
慈濟學校財團法人慈濟大學,6920,246,25,0,104,21,76,0,0,1,3,2,2,12
慈濟學校財團法人慈濟科技大學,5894,150,17,8,60,8,44,0,1,3,5,0,0,4
敏惠醫護管理專科學校,7716,147,15,6,47,4,50,0,1,3,6,2,4,9
文藻學校財團法人文藻外語大學,18838,703,89,0,192,75,260,0,0,3,37,9,7,31
新生醫護管理專科學校,12048,280,41,16,117,4,59,0,0,5,16,9,0,13
明志科技大學,9122,191,9,0,22,25,82,0,0,0,4,1,1,47
明新學校財團法人明新科技大學,24638,2178,56,0,234,247,1497,0,0,4,49,14,17,60
明道學校財團法人明道大學,8938,562,27,0,38,251,134,0,0,0,6,2,3,101
景文科技大學,14598,794,95,0,216,187,251,0,0,2,19,10,11,3
朝陽科技大學,31584,1146,144,1,355,175,269,0,0,7,93,21,55,26
東南科技大學,12482,789,48,58,129,51,467,0,0,1,10,7,2,16
東吳大學,31700,874,265,0,151,79,335,0,2,3,23,0,5,11
東方學校財團法人東方設計大學,6384,325,10,6,124,30,120,0,0,0,9,1,2,23
東海大學,32858,798,153,1,268,9,300,0,0,7,17,2,33,8
樹人醫護管理專科學校,14194,472,47,13,234,16,88,0,0,3,9,0,4,58
樹德科技大學,21398,1122,109,0,529,239,217,0,0,7,16,0,0,5
正修學校財團法人正修科技大學,33806,1539,220,13,280,181,519,2,0,6,81,21,138,78
法鼓學校財團法人法鼓文理學院,534,34,0,0,2,14,11,0,0,1,1,0,1,4
淡江大學學校財團法人淡江大學,52064,1675,530,0,493,0,533,0,0,9,31,9,7,63
玄奘大學,8734,553,69,1,155,252,1,0,0,7,41,4,7,16
環球學校財團法人環球科技大學,10590,842,97,0,289,191,212,0,0,2,16,7,6,22
真理大學,13546,727,41,0,346,148,184,0,0,0,2,5,1,0
稻江科技暨管理學院,4534,343,2,3,47,131,127,0,0,1,3,3,24,2
美和學校財團法人美和科技大學,14932,720,49,5,182,155,267,0,0,3,26,5,8,20
義守大學,32418,1255,90,0,472,408,183,1,0,1,25,8,11,56
耕莘健康管理專科學校,10434,284,2,24,140,14,57,0,1,0,15,2,8,21
聖母醫護管理專科學校,6310,306,51,59,84,5,105,0,0,0,1,0,0,1
聖約翰科技大學,7934,403,31,7,102,19,200,0,0,2,20,3,7,12
育英醫護管理專科學校,3938,60,7,4,11,0,22,0,0,3,0,0,13,0
致理學校財團法人致理科技大學,23248,551,88,9,191,30,174,0,1,3,24,5,12,14
臺北基督學院,232,19,0,0,0,0,19,0,0,0,0,0,0,0
臺北市立大學,15350,434,21,0,46,149,7,0,3,11,68,2,10,117
臺北醫學大學,12224,240,26,0,70,19,120,0,0,0,1,0,3,1
臺灣觀光學院,1792,274,3,0,49,36,148,0,0,0,10,2,6,20
華夏學校財團法人華夏科技大學,9598,944,12,0,153,268,462,1,0,2,26,10,4,6
華梵大學,4640,310,19,0,153,86,24,0,0,0,2,10,0,16
萬能學校財團法人萬能科技大學,20944,1019,100,79,238,467,48,0,0,2,37,36,5,7
蘭陽技術學院,2116,262,13,19,36,37,80,0,0,1,11,5,60,0
財團法人一貫道天皇基金會一貫道天皇學院,144,2,0,0,0,0,0,0,0,1,0,0,1,0
輔仁大學,54034,1762,422,0,396,255,634,0,0,1,33,13,8,0
輔英科技大學,18612,613,30,0,147,119,228,1,2,7,36,11,7,25
逢甲大學,42292,1199,363,0,277,523,0,0,0,0,35,1,0,0
遠東科技大學,12494,715,72,0,186,103,259,0,0,4,48,9,5,29
醒吾學校財團法人醒吾科技大學,16396,1002,133,32,360,151,235,0,0,3,22,33,15,18
銘傳大學,38258,930,88,2,358,103,307,0,0,5,28,1,29,9
長庚大學,14374,400,48,0,78,30,177,0,0,0,7,2,20,38
長庚學校財團法人長庚科技大學,13424,129,4,0,43,3,53,0,0,3,8,0,4,11
長榮大學,19360,702,0,0,318,325,0,0,0,3,34,12,0,10
開南大學,14660,849,86,0,236,248,247,1,1,0,12,2,8,8
靜宜大學,24578,653,42,0,294,56,203,0,0,4,26,0,10,18
馬偕學校財團法人馬偕醫學院,1332,19,0,0,7,1,8,0,0,0,0,0,0,3
馬偕學校財團法人馬偕醫護管理專科學校,8762,247,8,1,159,19,47,1,0,0,2,0,0,10
高美醫護管理專科學校,1180,0,0,0,0,0,0,0,0,0,0,0,0,0
高苑科技大學,11174,825,73,1,200,133,93,0,0,4,153,2,0,166
高雄醫學大學,13762,229,22,0,130,15,40,0,1,0,8,1,2,10
黎明技術學院,9152,566,84,13,192,166,50,0,0,1,12,5,5,38
龍華科技大學,22172,1228,152,0,474,237,313,0,1,2,32,5,2,10
