學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
國立東華大學,10154,1271,69,90,75,152,480,14,81,49,20,95,4,15,15,0,112
國立清華大學,16664,1324,80,182,182,107,244,24,110,8,8,40,2,0,0,0,337
國立澎湖科技大學,3008,147,6,3,1,5,38,2,1,12,0,0,1,0,0,0,78
國立聯合大學,7729,318,18,13,34,93,79,4,4,43,0,0,0,0,1,0,29
國立臺中教育大學,5006,443,31,9,1,27,97,14,28,4,5,24,2,46,16,0,139
國立臺中科技大學,13599,682,48,28,12,127,176,8,12,14,31,2,2,18,17,0,187
國立臺北商業大學,6730,448,35,35,30,79,137,7,13,15,28,0,0,61,3,0,5
國立臺北大學,9853,708,21,11,15,62,267,11,6,16,53,51,0,3,3,0,189
國立臺北教育大學,5808,721,18,23,1,44,258,10,77,7,33,99,10,0,7,0,134
國立臺北科技大學,12973,934,67,55,34,115,296,7,43,118,28,56,2,6,10,0,97
國立臺北藝術大學,3131,473,31,33,30,15,98,5,38,14,56,88,0,0,0,0,65
國立臺北護理健康大學,5077,465,26,9,62,57,151,7,66,0,1,6,2,5,0,0,73
國立臺南大學,5745,586,25,20,25,67,217,5,37,6,9,37,4,5,6,0,123
國立臺南藝術大學,1580,251,5,6,9,8,54,2,18,12,21,20,0,20,0,0,76
國立臺南護理專科學校,1955,41,7,2,2,19,5,0,0,0,0,0,0,0,0,0,6
國立臺東大學,4616,501,23,24,32,62,131,3,10,10,8,10,0,31,11,0,146
國立臺東專科學校,1244,129,14,20,5,36,26,1,0,1,0,0,9,1,6,0,10
國立臺灣大學,31802,3565,173,83,39,251,599,16,206,67,141,660,0,0,0,0,1330
國立臺灣師範大學,15426,2080,47,32,26,181,579,50,284,61,100,479,40,5,38,0,158
國立臺灣戲曲學院,614,43,3,2,2,0,13,0,0,3,2,0,0,0,0,0,18
國立臺灣海洋大學,8652,609,29,16,45,41,144,9,8,37,4,5,1,119,1,0,150
國立臺灣科技大學,11019,794,44,20,103,55,274,0,51,38,22,8,0,4,6,0,169
國立臺灣藝術大學,5683,551,28,20,76,30,180,7,28,0,3,0,3,2,4,0,170
國立臺灣體育運動大學,3154,285,5,69,61,32,94,2,10,0,0,0,0,0,0,0,12
國立虎尾科技大學,10188,584,45,96,69,116,113,3,13,65,8,2,2,3,1,0,48
國立金門大學,4501,192,8,13,0,73,72,1,4,0,0,0,0,0,0,0,21
國立陽明交通大學,14169,1315,81,28,60,233,460,13,153,81,24,78,2,5,0,0,97
國立陽明大學,4332,567,26,4,3,84,109,7,58,9,32,18,0,1,1,0,215
國立雲林科技大學,9715,678,24,98,94,91,245,5,36,29,0,0,0,0,0,0,56
國立體育大學,2464,349,6,19,0,0,180,0,11,71,0,15,0,0,40,0,7
國立高雄大學,5506,498,25,39,70,69,217,0,17,16,3,5,0,8,8,0,21
國立高雄師範大學,6654,867,33,15,5,84,297,21,94,21,12,135,0,3,6,0,141
國立高雄科技大學,27320,1718,60,84,101,413,614,9,52,128,40,12,3,72,11,0,119
國立高雄餐旅大學,5267,211,16,24,32,39,39,1,8,7,1,0,0,1,0,0,43
城市學校財團法人臺北城市科技大學,9677,862,29,77,83,70,328,5,6,128,38,4,13,8,3,0,70
大仁科技大學,6615,1134,48,115,14,124,316,14,4,4,1,0,3,1,2,0,488
大同大學,4497,329,33,17,21,81,123,2,8,11,3,3,1,0,1,0,25
大同技術學院,2112,497,21,33,19,46,124,4,0,48,2,0,1,0,0,0,199
大漢技術學院,1305,128,4,23,9,8,56,0,4,11,2,4,4,1,2,0,0
大華學校財團法人敏實科技大學,2940,275,4,10,174,4,51,0,0,31,0,1,0,0,0,0,0
大葉大學,11147,839,63,94,61,89,346,10,17,77,3,17,2,3,7,0,50
學校財團法人中華浸信會基督教台灣浸會神學院,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,6568,465,17,33,83,58,106,4,0,89,5,0,6,2,2,0,60
實踐大學,14579,801,65,30,58,181,210,10,21,26,49,20,15,13,2,0,101
崇仁醫護管理專科學校,3503,59,15,2,3,27,4,0,1,0,0,0,0,0,0,0,7
崇右學校財團法人崇右影藝科技大學,2685,155,4,11,9,22,37,0,0,24,7,0,2,0,0,0,39
崑山科技大學,12174,1554,32,88,224,158,287,3,0,216,18,6,8,0,0,0,514
嶺東科技大學,10312,506,23,59,8,63,185,5,8,80,15,3,1,0,1,0,55
康寧學校財團法人康寧大學,4968,327,24,43,4,81,46,4,2,14,8,0,1,4,1,0,95
廣亞學校財團法人育達科技大學,4582,399,22,31,0,17,124,1,3,86,3,0,3,7,3,0,99
建國科技大學,7839,349,18,35,13,76,98,3,0,57,2,0,2,0,0,0,45
弘光科技大學,12959,1037,74,94,32,170,348,26,23,90,7,9,5,2,11,0,146
德明財經科技大學,8420,640,28,15,19,92,109,6,5,32,32,0,6,0,2,0,294
德育學校財團法人德育護理健康學院,3874,393,16,34,29,69,132,4,10,13,5,1,1,0,0,0,79
慈惠醫護管理專科學校,5556,237,22,22,8,82,32,6,0,16,1,0,4,0,0,0,44
慈濟學校財團法人慈濟大學,3460,217,10,10,10,24,32,3,15,4,4,14,3,1,0,0,87
慈濟學校財團法人慈濟科技大學,2947,160,11,13,21,63,18,3,0,3,0,0,0,0,0,0,28
敏惠醫護管理專科學校,3858,91,9,4,10,36,6,1,1,3,0,0,0,0,0,0,21
文藻學校財團法人文藻外語大學,9419,792,46,42,28,114,216,10,6,13,96,6,2,9,0,0,204
新生醫護管理專科學校,6024,238,16,35,16,12,34,2,4,0,0,0,0,0,0,0,119
明志科技大學,4561,162,15,16,0,39,36,1,0,18,0,3,0,0,0,0,34
明新學校財團法人明新科技大學,12319,967,36,58,127,135,298,12,2,134,17,1,9,2,1,0,135
明道學校財團法人明道大學,4469,197,19,18,5,25,43,3,2,29,13,5,3,5,0,0,27
景文科技大學,7299,431,25,47,30,58,87,3,5,53,19,16,1,1,52,0,34
朝陽科技大學,15792,924,57,59,71,172,251,13,41,71,24,1,12,0,1,0,151
東南科技大學,6241,1092,27,52,28,95,273,1,13,58,6,0,4,17,0,0,518
東吳大學,15850,1104,68,20,44,144,249,15,57,40,151,58,3,0,2,0,253
東方學校財團法人東方設計大學,3192,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730
東海大學,16429,1193,87,23,49,129,281,4,47,39,62,144,0,1,3,0,324
樹人醫護管理專科學校,7097,274,29,2,18,94,57,3,2,5,8,0,3,1,0,0,52
樹德科技大學,10699,429,23,81,54,46,119,5,11,38,12,4,1,3,0,0,32
正修學校財團法人正修科技大學,16903,1460,103,104,143,137,517,8,5,63,19,1,34,26,7,0,293
法鼓學校財團法人法鼓文理學院,267,63,3,2,0,6,12,6,0,0,0,33,0,1,0,0,0
淡江大學學校財團法人淡江大學,26032,2121,164,77,19,112,185,7,43,48,127,82,17,4,1,0,1235
玄奘大學,4367,507,20,44,21,24,79,6,0,25,0,41,0,0,0,0,247
環球學校財團法人環球科技大學,5295,348,16,69,84,69,39,6,0,26,3,2,7,3,1,0,23
真理大學,6773,258,13,145,4,35,16,1,0,32,6,2,0,1,1,0,2
稻江科技暨管理學院,2267,165,5,14,5,50,44,2,3,25,0,1,0,4,0,0,12
美和學校財團法人美和科技大學,7466,565,44,34,3,58,196,10,10,78,5,9,6,3,4,0,105
義守大學,16209,830,62,79,12,128,363,14,15,63,30,4,1,11,1,0,47
耕莘健康管理專科學校,5217,174,19,5,0,74,13,4,2,6,4,0,4,7,3,0,33
聖母醫護管理專科學校,3155,129,6,6,33,64,5,2,2,3,1,0,4,0,0,0,3
聖約翰科技大學,3967,427,23,50,24,19,110,0,3,91,8,1,0,0,0,0,98
育英醫護管理專科學校,1969,46,4,2,10,22,2,0,0,0,3,0,0,1,0,0,2
致理學校財團法人致理科技大學,11624,746,43,64,50,188,181,14,14,53,22,0,4,1,1,0,111
臺北基督學院,116,26,1,5,7,3,0,0,0,0,1,0,0,0,0,0,9
臺北市立大學,7675,717,37,39,24,77,289,10,59,17,13,32,5,5,5,0,105
臺北醫學大學,6112,521,16,5,1,244,97,2,41,4,8,32,1,0,0,0,70
臺灣觀光學院,896,123,5,5,2,7,12,0,1,5,0,0,0,0,0,0,86
華夏學校財團法人華夏科技大學,4799,927,19,68,18,81,284,12,8,163,13,0,0,6,4,0,251
華梵大學,2320,252,18,5,35,49,70,0,2,28,7,0,0,31,0,0,7
萬能學校財團法人萬能科技大學,10472,974,46,206,24,122,267,8,0,51,5,14,3,1,0,0,227
蘭陽技術學院,1058,79,7,4,14,10,22,0,1,11,2,0,6,0,0,0,2
財團法人一貫道天皇基金會一貫道天皇學院,72,12,3,1,0,1,5,0,1,0,0,0,0,0,0,0,1
輔仁大學,27017,1935,142,28,46,335,699,14,101,54,190,307,14,0,5,0,0
輔英科技大學,9306,614,28,67,36,122,192,13,19,36,12,1,3,3,17,0,65
逢甲大學,21146,999,64,17,111,143,310,5,30,47,8,25,0,124,1,0,114
遠東科技大學,6247,572,29,65,32,94,186,1,2,97,0,0,1,1,0,0,64
醒吾學校財團法人醒吾科技大學,8198,794,55,18,154,53,306,18,2,12,6,0,1,9,0,0,160
銘傳大學,19129,1031,65,22,62,173,209,6,17,92,98,67,0,0,0,0,220
長庚大學,7187,498,11,17,0,77,99,1,11,1,33,25,0,3,2,0,218
長庚學校財團法人長庚科技大學,6712,192,15,5,0,26,51,5,18,1,8,0,4,3,1,0,55
長榮大學,9680,1215,62,239,0,279,263,17,23,76,7,38,28,1,0,0,182
開南大學,7330,540,25,64,49,53,179,7,10,83,19,3,0,5,3,0,40
靜宜大學,12289,636,39,20,107,61,153,6,4,28,19,22,3,1,3,0,170
馬偕學校財團法人馬偕醫學院,666,34,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24
馬偕學校財團法人馬偕醫護管理專科學校,4381,123,1,8,27,34,31,2,2,2,0,0,0,0,0,0,16
高苑科技大學,5587,288,13,17,9,25,132,2,3,46,2,0,4,0,0,0,35
高雄醫學大學,6881,506,7,9,5,139,107,9,11,3,30,9,0,2,0,0,175
黎明技術學院,4576,1644,42,155,200,202,380,7,3,36,1,0,2,1,2,0,613
龍華科技大學,11086,703,25,60,81,146,242,8,0,93,10,10,2,4,0,0,22
