學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
一貫道崇德學院,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
世新大學,11723,819,56,21,18,102,251,8,27,29,47,87,10,9,8,0,146
中信學校財團法人中信金融管理學院,485,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
中原大學,16342,1327,39,224,24,283,23,5,45,14,2,245,0,1,0,0,422
中國文化大學,25885,2299,65,89,265,267,511,18,27,76,188,95,15,51,50,0,582
中國科技大學,10969,722,23,38,16,151,237,5,8,93,41,2,39,1,0,0,68
中國醫藥大學,7468,503,20,11,7,83,66,5,22,8,29,4,1,39,5,0,203
中山醫學大學,7237,402,19,5,71,142,49,2,6,4,19,21,4,4,1,0,55
中州學校財團法人中州科技大學,3473,151,9,11,2,23,40,5,0,36,1,0,0,24,0,0,0
中臺科技大學,9007,1065,38,49,53,189,226,2,60,60,12,15,10,8,5,0,338
中華大學學校財團法人中華大學,6722,508,35,25,26,85,181,4,5,79,12,6,3,3,5,0,39
中華學校財團法人中華科技大學,6538,1140,38,216,16,34,391,14,0,255,13,0,4,12,0,0,147
中華醫事科技大學,9240,737,27,51,14,26,74,3,5,18,0,0,0,0,0,0,519
亞東技術學院,4484,263,8,36,15,78,48,6,4,30,26,0,0,2,0,0,10
亞洲大學,12123,662,76,18,62,162,111,8,5,18,13,22,4,45,0,0,118
仁德醫護管理專科學校,6601,106,10,16,14,45,13,0,0,3,2,0,1,1,1,0,0
佛光大學,3822,383,19,11,2,32,137,4,10,43,4,36,5,1,7,0,72
修平學校財團法人修平科技大學,5211,258,12,17,16,54,86,2,1,15,9,0,0,23,0,0,23
健行學校財團法人健行科技大學,10765,755,37,49,15,118,292,8,11,126,2,0,4,32,0,0,61
僑光科技大學,10856,249,12,14,5,40,82,3,1,58,12,1,1,0,5,0,15
元智大學,9135,402,18,1,81,18,169,1,6,13,18,13,0,0,2,0,62
光宇學校財團法人元培醫事科技大學,6437,241,14,29,19,24,82,1,1,42,3,0,13,6,0,0,7
南亞科技學校財團法人南亞技術學院,3542,578,22,45,0,45,241,10,3,135,3,0,0,1,0,0,73
南榮學校財團法人南榮科技大學,2211,93,4,17,11,10,32,1,0,18,0,0,0,0,0,0,0
南臺學校財團法人南臺科技大學,18855,1228,65,197,11,108,508,4,11,184,37,15,15,3,22,0,48
南華大學,5600,639,59,62,17,183,123,11,6,32,14,28,0,17,17,0,70
南開科技大學,5217,920,81,62,34,145,347,8,5,184,1,2,3,1,5,0,42
台北海洋學校財團法人台北海洋科技大學,5330,510,18,57,0,124,125,0,10,93,0,0,0,0,0,0,83
台南家專學校財團法人台南應用科技大學,12733,1495,85,153,126,283,352,13,8,29,13,0,1,0,0,0,432
台灣首府學校財團法人台灣首府大學,2730,142,7,14,12,7,57,0,1,40,0,0,0,3,1,0,0
台神學校財團法人台灣神學研究學院,54,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
吳鳳科技大學,4709,574,10,28,52,83,144,7,6,64,3,0,14,1,1,0,161
和春技術學院,2475,416,21,20,12,2,161,0,5,19,4,0,0,0,0,0,172
嘉藥學校財團法人嘉南藥理大學,15702,1700,38,54,1,22,101,3,0,63,8,0,0,0,0,0,1410
國立中央大學,11924,939,36,44,58,97,323,15,82,41,25,161,0,24,9,0,24
國立中山大學,9466,964,29,20,9,21,258,12,49,21,32,157,6,0,6,0,344
國立中正大學,11512,1070,44,34,45,151,247,13,66,16,1,236,6,79,5,0,127
國立中興大學,14877,1393,84,54,24,197,442,9,131,44,63,212,0,87,30,0,16
國立勤益科技大學,11176,742,29,49,54,159,205,1,5,82,6,0,0,16,7,0,129
國立嘉義大學,12399,1161,89,47,87,132,342,15,50,78,29,58,0,0,0,0,234
國立宜蘭大學,5511,340,20,18,51,67,94,1,4,42,4,6,3,1,2,0,27
國立屏東大學,8963,592,28,30,41,65,265,9,38,15,1,26,4,9,7,0,54
國立屏東科技大學,11187,661,11,26,16,64,157,7,22,30,22,8,3,86,28,0,181
國立彰化師範大學,8235,838,32,21,6,30,234,14,55,33,2,99,2,10,29,0,271
國立成功大學,21252,1851,33,8,71,78,166,16,147,47,7,61,8,19,0,0,1190
國立政治大學,16353,2134,75,21,6,322,627,21,207,67,110,186,0,0,0,0,492
國立暨南國際大學,6361,447,39,9,93,17,160,4,20,13,2,25,10,55,0,0,0
