學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
遠東科技大學,5491,3697,1794,280,231,49,0,0,0,0,0,0,458,16,43,22,71,178,3,2,44,5,8,10,10,1,0,45,524,23,0,112,108,207,0,1,3,31,16,15,8,,
醒吾學校財團法人醒吾科技大學,8430,3601,4829,240,195,44,0,1,0,0,0,0,972,53,63,149,208,235,6,6,30,34,0,37,23,9,0,119,1500,91,40,300,144,762,0,0,5,24,23,51,60,,
銘傳大學,18791,7459,11332,909,687,142,9,13,0,46,5,7,1012,70,14,123,136,198,5,13,45,78,68,14,10,7,4,227,952,102,0,386,111,285,0,0,9,39,1,16,3,,
長庚大學,6834,3481,3353,188,111,19,58,0,0,0,0,0,530,25,12,1,112,109,2,16,4,36,26,0,59,0,3,125,386,27,0,158,31,145,0,0,0,2,1,16,6,26.0–33.4,601–800
長庚學校財團法人長庚科技大學,6437,653,5784,34,29,0,4,0,0,1,0,0,188,27,6,0,34,58,5,12,2,13,5,7,5,3,0,11,140,6,0,68,3,29,1,1,1,14,2,9,6,,
長榮大學,8609,3753,4856,304,288,12,4,0,0,0,0,0,481,32,135,0,92,87,5,1,27,17,32,29,5,9,0,10,739,39,0,347,313,1,0,0,3,20,7,9,0,,
開南大學,5894,2912,2982,412,330,55,2,5,0,19,0,1,488,53,49,18,65,161,10,10,46,7,6,0,8,5,0,50,716,72,0,178,210,215,0,1,2,20,1,13,4,,
靜宜大學,12007,4558,7449,635,392,181,9,8,0,32,11,2,638,38,22,71,151,142,3,14,10,44,23,24,13,16,11,56,675,52,0,304,57,201,1,0,8,18,2,28,4,,
馬偕學校財團法人馬偕醫學院,684,237,447,6,6,0,0,0,0,0,0,0,44,3,0,0,14,6,0,1,0,2,2,0,1,0,0,15,22,0,0,6,1,14,0,0,0,0,0,0,1,,
馬偕學校財團法人馬偕醫護管理專科學校,4223,592,3631,116,113,3,0,0,0,0,0,0,143,11,4,38,43,21,3,2,0,5,0,9,3,1,0,3,249,14,8,133,26,43,0,0,2,4,0,17,2,,
高苑科技大學,4203,3040,1163,163,155,8,0,0,0,0,0,0,181,4,13,7,9,104,1,1,19,1,1,7,9,0,0,5,583,62,40,107,145,105,0,1,3,70,26,5,19,,
高雄醫學大學,6487,2723,3764,127,116,4,7,0,0,0,0,0,521,10,6,3,134,82,8,19,4,36,101,11,5,13,0,89,346,11,0,150,12,153,0,0,0,4,1,2,13,19.0–25.9,801–1000
黎明技術學院,5060,2882,2178,134,112,22,0,0,0,0,0,0,270,13,43,7,53,72,2,0,24,11,0,12,5,0,14,14,1807,256,11,193,164,493,5,2,41,155,129,67,291,,
龍華科技大學,11330,7866,3464,344,231,113,0,0,0,0,0,0,636,44,74,64,135,194,5,1,45,8,11,1,13,0,4,37,1159,188,3,296,274,310,1,0,3,29,22,19,14,,
