學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
新生醫護管理專科學校,189,161,0,0,0,0,0,0,28
明志科技大學,145,118,27,0,0,0,0,0,0
明新學校財團法人明新科技大學,422,338,63,2,0,0,0,19,0
明道學校財團法人明道大學,85,70,15,0,0,0,0,0,0
景文科技大學,265,218,47,0,0,0,0,0,0
朝陽科技大學,439,372,62,0,1,0,0,4,0
東南科技大學,186,165,21,0,0,0,0,0,0
東吳大學,585,364,76,95,23,1,5,21,0
東方學校財團法人東方設計大學,103,103,0,0,0,0,0,0,0
東海大學,548,431,39,34,34,0,2,8,0
樹人醫護管理專科學校,223,219,4,0,0,0,0,0,0
樹德科技大學,324,302,22,0,0,0,0,0,0
正修學校財團法人正修科技大學,258,258,0,0,0,0,0,0,0
法鼓學校財團法人法鼓文理學院,1,0,1,0,0,0,0,0,0
淡江大學學校財團法人淡江大學,1042,863,60,46,36,0,32,5,0
玄奘大學,113,113,0,0,0,0,0,0,0
環球學校財團法人環球科技大學,127,127,0,0,0,0,0,0,0
真理大學,260,259,0,1,0,0,0,0,0
美和學校財團法人美和科技大學,128,128,0,0,0,0,0,0,0
義守大學,600,531,37,5,2,0,4,0,21
耕莘健康管理專科學校,226,204,22,0,0,0,0,0,0
聖母醫護管理專科學校,23,23,0,0,0,0,0,0,0
聖約翰科技大學,164,164,0,0,0,0,0,0,0
育英醫護管理專科學校,59,58,1,0,0,0,0,0,0
致理學校財團法人致理科技大學,337,182,155,0,0,0,0,0,0
臺北基督學院,4,4,0,0,0,0,0,0,0
臺北市立大學,299,202,34,7,4,0,0,47,5
臺北醫學大學,122,99,12,9,2,0,0,0,0
華夏學校財團法人華夏科技大學,106,105,0,1,0,0,0,0,0
華梵大學,59,59,0,0,0,0,0,0,0
萬能學校財團法人萬能科技大學,341,277,64,0,0,0,0,0,0
蘭陽技術學院,34,34,0,0,0,0,0,0,0
財團法人一貫道天皇基金會一貫道天皇學院,1,1,0,0,0,0,0,0,0
輔仁大學,771,491,47,48,101,0,30,12,42
輔英科技大學,276,208,59,9,0,0,0,0,0
逢甲大學,654,611,36,2,0,0,5,0,0
遠東科技大學,246,205,41,0,0,0,0,0,0
醒吾學校財團法人醒吾科技大學,302,301,0,1,0,0,0,0,0
銘傳大學,890,753,100,11,8,1,1,16,0
長庚大學,173,146,14,13,0,0,0,0,0
長庚學校財團法人長庚科技大學,19,19,0,0,0,0,0,0,0
長榮大學,272,260,10,2,0,0,0,0,0
開南大學,284,249,26,3,4,0,2,0,0
靜宜大學,684,418,207,14,0,1,21,23,0
馬偕學校財團法人馬偕醫學院,8,8,0,0,0,0,0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,92,91,1,0,0,0,0,0,0
高苑科技大學,50,46,4,0,0,0,0,0,0
高雄醫學大學,85,75,1,8,1,0,0,0,0
黎明技術學院,165,147,18,0,0,0,0,0,0
龍華科技大學,475,355,120,0,0,0,0,0,0
