學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
國立臺南藝術大學,1616,251,16,5,0,7,54,2,13,1,17,43,33,17,1,0,42
國立臺南護理專科學校,1926,26,7,1,0,10,3,0,0,1,0,0,0,3,0,1,0
國立臺東大學,5140,467,44,19,8,38,108,6,11,6,5,22,6,26,12,41,115
國立臺東專科學校,955,112,5,13,13,29,16,0,1,10,1,0,15,2,1,6,0
國立臺灣大學,32923,3277,247,53,34,255,547,13,147,27,284,583,35,7,13,16,1016
國立臺灣師範大學,16164,2035,39,70,6,189,620,35,219,12,85,482,61,0,37,11,169
國立臺灣戲曲學院,541,32,3,1,1,14,5,1,1,1,2,0,0,3,0,0,0
國立臺灣海洋大學,9068,597,46,16,27,78,203,5,13,17,26,47,20,54,20,0,25
國立臺灣科技大學,11229,767,56,29,40,74,226,8,57,5,29,94,23,44,6,0,76
國立臺灣藝術大學,5614,484,27,17,32,20,119,3,24,6,37,77,20,5,13,13,71
國立臺灣體育運動大學,3121,213,5,55,15,20,99,3,7,1,0,0,0,0,2,6,0
國立虎尾科技大學,11408,441,21,20,54,107,125,2,6,25,5,14,34,13,7,0,8
國立金門大學,4215,184,18,4,6,27,69,2,10,9,8,7,0,4,2,15,3
國立陽明交通大學,20412,1670,102,43,32,195,388,15,170,35,125,366,42,59,59,3,36
國立雲林科技大學,9885,671,27,82,45,71,261,4,32,20,11,50,38,12,8,5,5
國立體育大學,2643,294,8,0,0,0,263,4,14,1,0,0,0,0,4,0,0
國立高雄大學,5916,483,41,24,70,57,235,3,13,7,1,6,0,14,6,5,1
國立高雄師範大學,7147,998,40,31,2,84,347,26,90,9,19,229,44,53,13,6,5
國立高雄科技大學,27902,1620,81,78,223,292,632,14,49,51,15,0,0,62,0,19,104
國立高雄餐旅大學,4798,207,15,22,22,28,37,4,6,5,4,4,8,10,2,27,13
城市學校財團法人臺北城市科技大學,9459,1071,25,72,15,21,216,2,1,92,10,4,16,56,24,394,123
大仁科技大學,4934,710,34,63,8,65,91,3,4,25,7,13,9,18,25,201,144
大同大學,3980,192,16,6,6,39,52,1,4,6,12,22,9,4,6,0,9
大同技術學院,942,111,4,2,2,8,52,4,0,2,1,0,0,1,1,23,11
大漢技術學院,904,146,5,6,12,11,69,2,2,11,1,16,3,6,1,0,1
大華學校財團法人敏實科技大學,579,25,3,3,1,5,13,0,0,0,0,0,0,0,0,0,0
大葉大學,6775,718,83,59,17,76,307,3,14,30,11,53,15,20,13,5,12
學校財團法人中華浸信會基督教台灣浸會神學院,49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,4996,210,22,23,26,29,66,4,0,21,1,0,1,11,4,2,0
實踐大學,12894,641,89,30,46,106,120,4,12,11,44,61,17,21,21,16,43
崇仁醫護管理專科學校,3209,79,12,3,7,31,3,1,0,0,1,0,13,0,0,1,7
崇右學校財團法人崇右影藝科技大學,1924,64,7,16,5,8,17,2,2,5,0,1,1,0,0,0,0
崑山科技大學,9970,1586,52,59,64,159,357,3,3,93,14,6,9,26,0,741,0
嶺東科技大學,10253,482,27,68,12,80,188,4,3,37,7,12,9,21,9,0,5
康寧學校財團法人康寧大學,3280,190,23,3,12,46,36,2,2,3,5,0,11,5,8,21,13
廣亞學校財團法人育達科技大學,3784,292,17,35,7,19,102,13,5,16,1,11,5,25,1,1,34
建國科技大學,5871,194,13,24,6,20,74,2,3,17,0,0,13,11,1,5,5
弘光科技大學,12666,896,82,110,21,171,299,18,33,25,10,13,35,19,7,15,38
德明財經科技大學,7292,562,36,12,59,83,73,8,5,5,5,1,8,20,38,209,0
德育學校財團法人德育護理健康學院,4008,343,20,34,34,50,84,4,10,16,4,4,21,10,1,6,45
慈惠醫護管理專科學校,3345,491,47,102,20,120,69,8,2,22,1,0,18,3,0,62,17
慈濟學校財團法人慈濟大學,3348,212,13,5,6,33,15,2,6,2,5,48,6,6,1,1,63
慈濟學校財團法人慈濟科技大學,3211,185,18,8,26,58,44,2,7,3,0,1,2,10,3,0,3
敏惠醫護管理專科學校,3905,104,20,8,7,19,3,0,1,0,0,0,0,0,0,10,36
文藻學校財團法人文藻外語大學,8683,716,67,40,132,108,211,11,9,8,31,14,4,23,22,33,3
新生醫護管理專科學校,6055,243,24,15,65,26,23,5,4,0,1,0,25,1,0,0,54
明志科技大學,4438,133,10,15,8,43,36,0,0,11,2,2,2,3,0,1,0
明新學校財團法人明新科技大學,11377,808,28,35,35,72,221,13,3,67,4,16,16,33,9,223,33
明道學校財團法人明道大學,2013,154,23,9,1,13,55,2,2,13,1,10,0,7,0,3,15
景文科技大學,5903,305,23,54,20,64,77,2,6,24,12,7,4,9,3,0,0
朝陽科技大學,14655,727,53,68,45,131,207,8,26,41,13,48,11,33,8,4,31
東南科技大學,4850,566,12,24,3,21,120,2,1,11,1,0,19,19,0,331,2
東吳大學,15458,1028,86,24,22,86,216,10,41,18,75,144,36,13,18,1,238
東方學校財團法人東方設計大學,1471,322,10,3,0,2,21,0,0,6,1,0,0,0,2,251,26
東海大學,15867,1281,101,36,32,133,275,5,28,6,71,196,9,66,9,46,268
樹人醫護管理專科學校,7305,311,36,1,20,140,63,3,0,3,1,0,12,0,0,0,32
樹德科技大學,10043,451,46,105,29,49,103,2,13,14,6,24,6,12,0,35,7
正修學校財團法人正修科技大學,17568,1664,82,118,202,224,506,11,6,68,18,35,42,24,13,135,180
法鼓學校財團法人法鼓文理學院,329,89,6,4,0,0,23,0,1,2,1,42,0,5,0,0,5
