學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
東吳大學,661,496,89,25,15,0,10,0,26,47550,1104,68,20,44,144,249,15,57,40,151,58,3,0,2,0,253,874,265,0,151,79,335,0,2,3,23,0,5,11
東方學校財團法人東方設計大學,112,112,0,0,0,0,0,0,0,9576,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,325,10,6,124,30,120,0,0,0,9,1,2,23
東海大學,659,505,59,57,34,0,4,0,0,49287,1193,87,23,49,129,281,4,47,39,62,144,0,1,3,0,324,798,153,1,268,9,300,0,0,7,17,2,33,8
樹人醫護管理專科學校,218,218,0,0,0,0,0,0,0,21291,274,29,2,18,94,57,3,2,5,8,0,3,1,0,0,52,472,47,13,234,16,88,0,0,3,9,0,4,58
樹德科技大學,331,307,22,1,1,0,0,0,0,32097,429,23,81,54,46,119,5,11,38,12,4,1,3,0,0,32,1122,109,0,529,239,217,0,0,7,16,0,0,5
正修學校財團法人正修科技大學,244,244,0,0,0,0,0,0,0,50709,1460,103,104,143,137,517,8,5,63,19,1,34,26,7,0,293,1539,220,13,280,181,519,2,0,6,81,21,138,78
法鼓學校財團法人法鼓文理學院,1,1,0,0,0,0,0,0,0,801,63,3,2,0,6,12,6,0,0,0,33,0,1,0,0,0,34,0,0,2,14,11,0,0,1,1,0,1,4
淡江大學學校財團法人淡江大學,1181,861,158,37,50,0,75,0,0,78096,2121,164,77,19,112,185,7,43,48,127,82,17,4,1,0,1235,1675,530,0,493,0,533,0,0,9,31,9,7,63
玄奘大學,171,171,0,0,0,0,0,0,0,13101,507,20,44,21,24,79,6,0,25,0,41,0,0,0,0,247,553,69,1,155,252,1,0,0,7,41,4,7,16
環球學校財團法人環球科技大學,113,113,0,0,0,0,0,0,0,15885,348,16,69,84,69,39,6,0,26,3,2,7,3,1,0,23,842,97,0,289,191,212,0,0,2,16,7,6,22
真理大學,353,342,8,0,1,0,1,0,1,20319,258,13,145,4,35,16,1,0,32,6,2,0,1,1,0,2,727,41,0,346,148,184,0,0,0,2,5,1,0
稻江科技暨管理學院,47,47,0,0,0,0,0,0,0,6801,165,5,14,5,50,44,2,3,25,0,1,0,4,0,0,12,343,2,3,47,131,127,0,0,1,3,3,24,2
美和學校財團法人美和科技大學,131,130,0,1,0,0,0,0,0,22398,565,44,34,3,58,196,10,10,78,5,9,6,3,4,0,105,720,49,5,182,155,267,0,0,3,26,5,8,20
義守大學,589,523,54,1,1,0,5,0,5,48627,830,62,79,12,128,363,14,15,63,30,4,1,11,1,0,47,1255,90,0,472,408,183,1,0,1,25,8,11,56
耕莘健康管理專科學校,139,123,16,0,0,0,0,0,0,15651,174,19,5,0,74,13,4,2,6,4,0,4,7,3,0,33,284,2,24,140,14,57,0,1,0,15,2,8,21
聖母醫護管理專科學校,20,20,0,0,0,0,0,0,0,9465,129,6,6,33,64,5,2,2,3,1,0,4,0,0,0,3,306,51,59,84,5,105,0,0,0,1,0,0,1
聖約翰科技大學,224,202,22,0,0,0,0,0,0,11901,427,23,50,24,19,110,0,3,91,8,1,0,0,0,0,98,403,31,7,102,19,200,0,0,2,20,3,7,12
育英醫護管理專科學校,48,46,2,0,0,0,0,0,0,5907,46,4,2,10,22,2,0,0,0,3,0,0,1,0,0,2,60,7,4,11,0,22,0,0,3,0,0,13,0
致理學校財團法人致理科技大學,331,188,142,0,1,0,0,0,0,34872,746,43,64,50,188,181,14,14,53,22,0,4,1,1,0,111,551,88,9,191,30,174,0,1,3,24,5,12,14
臺北基督學院,10,10,0,0,0,0,0,0,0,348,26,1,5,7,3,0,0,0,0,1,0,0,0,0,0,9,19,0,0,0,0,19,0,0,0,0,0,0,0
臺北市立大學,313,230,42,8,2,0,0,0,31,23025,717,37,39,24,77,289,10,59,17,13,32,5,5,5,0,105,434,21,0,46,149,7,0,3,11,68,2,10,117
臺北醫學大學,131,111,10,5,1,4,0,0,0,18336,521,16,5,1,244,97,2,41,4,8,32,1,0,0,0,70,240,26,0,70,19,120,0,0,0,1,0,3,1
臺灣觀光學院,51,27,24,0,0,0,0,0,0,2688,123,5,5,2,7,12,0,1,5,0,0,0,0,0,0,86,274,3,0,49,36,148,0,0,0,10,2,6,20
華夏學校財團法人華夏科技大學,124,116,8,0,0,0,0,0,0,14397,927,19,68,18,81,284,12,8,163,13,0,0,6,4,0,251,944,12,0,153,268,462,1,0,2,26,10,4,6
華梵大學,154,142,12,0,0,0,0,0,0,6960,252,18,5,35,49,70,0,2,28,7,0,0,31,0,0,7,310,19,0,153,86,24,0,0,0,2,10,0,16
萬能學校財團法人萬能科技大學,235,210,25,0,0,0,0,0,0,31416,974,46,206,24,122,267,8,0,51,5,14,3,1,0,0,227,1019,100,79,238,467,48,0,0,2,37,36,5,7
蘭陽技術學院,69,68,0,0,1,0,0,0,0,3174,79,7,4,14,10,22,0,1,11,2,0,6,0,0,0,2,262,13,19,36,37,80,0,0,1,11,5,60,0
財團法人一貫道天皇基金會一貫道天皇學院,0,0,0,0,0,0,0,0,0,216,12,3,1,0,1,5,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0
輔仁大學,965,563,69,101,134,0,22,0,76,81051,1935,142,28,46,335,699,14,101,54,190,307,14,0,5,0,0,1762,422,0,396,255,634,0,0,1,33,13,8,0
輔英科技大學,215,178,27,9,1,0,0,0,0,27918,614,28,67,36,122,192,13,19,36,12,1,3,3,17,0,65,613,30,0,147,119,228,1,2,7,36,11,7,25
逢甲大學,540,512,24,1,3,0,0,0,0,63438,999,64,17,111,143,310,5,30,47,8,25,0,124,1,0,114,1199,363,0,277,523,0,0,0,0,35,1,0,0
遠東科技大學,249,197,51,1,0,0,0,0,0,18741,572,29,65,32,94,186,1,2,97,0,0,1,1,0,0,64,715,72,0,186,103,259,0,0,4,48,9,5,29
醒吾學校財團法人醒吾科技大學,182,176,5,0,0,0,1,0,0,24594,794,55,18,154,53,306,18,2,12,6,0,1,9,0,0,160,1002,133,32,360,151,235,0,0,3,22,33,15,18
