學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
國立勤益科技大學,221,190,31,0,0,0,0,0,0,33528,742,29,49,54,159,205,1,5,82,6,0,0,16,7,0,129,603,125,12,148,4,267,0,1,3,32,1,2,8
國立嘉義大學,236,191,36,3,2,0,4,0,0,37197,1161,89,47,87,132,342,15,50,78,29,58,0,0,0,0,234,716,68,0,224,71,199,0,0,0,55,5,0,94
國立宜蘭大學,138,115,20,2,1,0,0,0,0,16533,340,20,18,51,67,94,1,4,42,4,6,3,1,2,0,27,299,59,0,90,31,93,0,1,1,11,3,9,1
國立屏東大學,213,175,26,1,2,0,0,0,9,26889,592,28,30,41,65,265,9,38,15,1,26,4,9,7,0,54,448,41,1,112,91,166,0,0,0,10,1,20,6
國立屏東科技大學,214,200,10,1,0,0,0,0,3,33561,661,11,26,16,64,157,7,22,30,22,8,3,86,28,0,181,629,82,0,174,83,236,0,0,0,16,1,22,15
國立彰化師範大學,192,165,10,0,4,0,4,0,9,24705,838,32,21,6,30,234,14,55,33,2,99,2,10,29,0,271,406,45,0,81,51,172,0,0,5,23,1,21,7
國立成功大學,565,457,9,43,19,0,24,0,13,63756,1851,33,8,71,78,166,16,147,47,7,61,8,19,0,0,1190,1037,168,0,8,147,587,0,0,0,0,0,126,1
國立政治大學,747,254,73,140,112,0,168,0,0,49059,2134,75,21,6,322,627,21,207,67,110,186,0,0,0,0,492,569,61,0,137,0,356,0,0,4,5,0,2,4
國立暨南國際大學,168,107,36,6,6,0,8,0,5,19083,447,39,9,93,17,160,4,20,13,2,25,10,55,0,0,0,337,64,0,23,47,137,0,0,3,8,5,50,0
國立東華大學,436,313,69,10,12,0,12,0,20,30462,1271,69,90,75,152,480,14,81,49,20,95,4,15,15,0,112,608,44,0,86,121,220,0,2,4,51,11,11,58
國立清華大學,425,188,53,13,30,0,18,0,123,49992,1324,80,182,182,107,244,24,110,8,8,40,2,0,0,0,337,612,78,0,84,153,199,0,0,7,48,6,2,35
國立澎湖科技大學,58,28,5,0,0,0,0,0,25,9024,147,6,3,1,5,38,2,1,12,0,0,1,0,0,0,78,195,10,1,52,18,96,0,0,0,3,0,0,15
國立聯合大學,205,187,13,5,0,0,0,0,0,23187,318,18,13,34,93,79,4,4,43,0,0,0,0,1,0,29,540,130,1,167,88,143,0,0,2,4,2,3,0
國立臺中教育大學,109,74,30,0,4,0,1,0,0,15018,443,31,9,1,27,97,14,28,4,5,24,2,46,16,0,139,243,37,0,44,26,90,0,0,2,11,10,23,0
國立臺中科技大學,329,159,170,0,0,0,0,0,0,40797,682,48,28,12,127,176,8,12,14,31,2,2,18,17,0,187,627,74,1,180,120,191,0,0,4,14,3,3,37
國立臺北商業大學,125,94,0,0,0,0,31,0,0,20190,448,35,35,30,79,137,7,13,15,28,0,0,61,3,0,5,211,23,5,53,13,62,0,0,3,19,5,20,8
國立臺北大學,274,150,7,75,13,0,24,0,5,29559,708,21,11,15,62,267,11,6,16,53,51,0,3,3,0,189,453,91,0,110,37,112,0,0,0,47,2,8,46
國立臺北教育大學,139,96,0,3,1,0,22,0,17,17424,721,18,23,1,44,258,10,77,7,33,99,10,0,7,0,134,288,29,0,65,45,6,0,2,2,54,8,7,70
國立臺北科技大學,38,33,5,0,0,0,0,0,0,38919,934,67,55,34,115,296,7,43,118,28,56,2,6,10,0,97,592,75,1,23,159,261,0,0,4,10,5,2,52
國立臺北藝術大學,219,128,58,0,2,0,5,0,26,9393,473,31,33,30,15,98,5,38,14,56,88,0,0,0,0,65,150,31,0,26,14,59,1,0,0,19,0,0,0
國立臺北護理健康大學,59,48,10,1,0,0,0,0,0,15231,465,26,9,62,57,151,7,66,0,1,6,2,5,0,0,73,169,5,0,22,42,70,0,0,2,4,2,3,19
國立臺南大學,130,103,16,3,0,0,0,0,8,17235,586,25,20,25,67,217,5,37,6,9,37,4,5,6,0,123,341,17,0,102,24,53,0,0,2,94,5,34,10
國立臺南藝術大學,57,45,12,0,0,0,0,0,0,4740,251,5,6,9,8,54,2,18,12,21,20,0,20,0,0,76,102,3,0,21,4,33,0,1,0,13,2,6,19
國立臺南護理專科學校,18,17,1,0,0,0,0,0,0,5865,41,7,2,2,19,5,0,0,0,0,0,0,0,0,0,6,47,2,0,7,2,17,0,0,0,2,0,0,17
國立臺東大學,138,127,3,0,0,0,8,0,0,13848,501,23,24,32,62,131,3,10,10,8,10,0,31,11,0,146,298,19,0,141,10,93,0,0,2,19,6,2,6
國立臺東專科學校,34,34,0,0,0,0,0,0,0,3732,129,14,20,5,36,26,1,0,1,0,0,9,1,6,0,10,140,10,6,46,31,38,0,0,0,0,0,0,9
國立臺灣大學,1208,789,0,86,103,0,129,0,101,95406,3565,173,83,39,251,599,16,206,67,141,660,0,0,0,0,1330,1279,144,0,102,414,465,0,0,1,26,4,0,123
國立臺灣師範大學,514,383,53,24,13,0,1,0,40,46278,2080,47,32,26,181,579,50,284,61,100,479,40,5,38,0,158,731,73,0,144,505,0,0,0,0,4,1,3,1
國立臺灣戲曲學院,28,19,9,0,0,0,0,0,0,1842,43,3,2,2,0,13,0,0,3,2,0,0,0,0,0,18,60,6,1,17,1,27,0,0,1,3,1,1,2
國立臺灣海洋大學,209,186,12,2,1,0,0,0,8,25956,609,29,16,45,41,144,9,8,37,4,5,1,119,1,0,150,450,12,0,100,71,232,0,1,3,13,5,7,6
國立臺灣科技大學,271,206,36,6,1,0,17,0,5,33057,794,44,20,103,55,274,0,51,38,22,8,0,4,6,0,169,430,100,0,32,176,29,0,0,5,32,5,20,31
國立臺灣藝術大學,269,155,90,3,5,0,0,0,16,17049,551,28,20,76,30,180,7,28,0,3,0,3,2,4,0,170,223,14,0,31,82,70,0,1,0,14,1,1,9
國立臺灣體育運動大學,226,159,55,1,0,0,0,0,11,9462,285,5,69,61,32,94,2,10,0,0,0,0,0,0,0,12,316,36,0,54,62,134,0,1,0,17,11,0,1
國立虎尾科技大學,263,244,19,0,0,0,0,0,0,30564,584,45,96,69,116,113,3,13,65,8,2,2,3,1,0,48,439,90,0,110,47,138,0,0,1,18,5,2,28
國立金門大學,147,145,1,1,0,0,0,0,0,13503,192,8,13,0,73,72,1,4,0,0,0,0,0,0,0,21,338,13,0,16,83,63,0,0,1,8,1,1,152
國立陽明交通大學,195,168,14,2,1,0,10,0,0,42507,1315,81,28,60,233,460,13,153,81,24,78,2,5,0,0,97,619,110,1,52,304,0,0,0,1,11,0,17,123
國立陽明大學,32,19,3,0,0,0,5,0,5,12996,567,26,4,3,84,109,7,58,9,32,18,0,1,1,0,215,215,9,0,45,15,77,0,0,2,13,0,45,9
國立雲林科技大學,204,150,31,2,1,0,18,0,2,29145,678,24,98,94,91,245,5,36,29,0,0,0,0,0,0,56,478,45,0,10,76,214,0,0,1,28,5,15,84
國立體育大學,120,85,20,0,0,0,10,0,5,7392,349,6,19,0,0,180,0,11,71,0,15,0,0,40,0,7,132,5,0,27,21,72,0,0,1,6,0,0,0
國立高雄大學,156,131,16,2,0,0,7,0,0,16518,498,25,39,70,69,217,0,17,16,3,5,0,8,8,0,21,279,15,0,84,31,104,0,0,0,26,2,0,17
國立高雄師範大學,100,63,0,10,0,0,7,0,20,19962,867,33,15,5,84,297,21,94,21,12,135,0,3,6,0,141,451,38,0,108,105,108,0,0,4,36,5,27,20
國立高雄應用科技大學,223,154,66,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立高雄海洋科技大學,242,139,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立高雄科技大學,0,0,0,0,0,0,0,0,0,81960,1718,60,84,101,413,614,9,52,128,40,12,3,72,11,0,119,1363,199,1,294,203,568,0,0,4,49,7,14,24
國立高雄第一科技大學,172,146,22,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立高雄餐旅大學,25,19,1,0,0,0,0,0,5,15801,211,16,24,32,39,39,1,8,7,1,0,0,1,0,0,43,128,2,2,40,12,49,0,1,1,13,0,1,7
城市學校財團法人臺北城市科技大學,458,320,136,0,0,0,2,0,0,29031,862,29,77,83,70,328,5,6,128,38,4,13,8,3,0,70,1076,110,32,218,31,453,1,0,5,58,17,35,116
大仁科技大學,160,154,6,0,0,0,0,0,0,19845,1134,48,115,14,124,316,14,4,4,1,0,3,1,2,0,488,647,10,2,146,260,179,0,0,2,24,1,7,16
大同大學,206,177,23,0,1,0,0,0,5,13491,329,33,17,21,81,123,2,8,11,3,3,1,0,1,0,25,305,104,0,84,36,62,0,0,2,6,0,2,9
大同技術學院,41,41,0,0,0,0,0,0,0,6336,497,21,33,19,46,124,4,0,48,2,0,1,0,0,0,199,447,98,2,42,69,179,0,0,0,9,8,0,40
大漢技術學院,29,23,6,0,0,0,0,0,0,3915,128,4,23,9,8,56,0,4,11,2,4,4,1,2,0,0,193,7,0,8,121,48,0,0,1,4,3,1,0
大華學校財團法人敏實科技大學,145,125,18,0,0,0,2,0,0,8820,275,4,10,174,4,51,0,0,31,0,1,0,0,0,0,0,446,38,27,135,93,106,0,0,1,16,6,4,20
