學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
國立聯合大學,7622,5144,2478,201,183,12,0,0,0,5,0,1,338,29,13,34,93,79,1,5,32,4,7,12,1,6,0,22,478,98,0,169,73,122,0,0,4,7,1,1,3,,
國立臺中教育大學,4966,1703,3263,104,86,13,2,0,0,0,3,0,446,27,8,0,39,112,5,40,2,8,29,2,0,0,0,174,247,18,0,50,37,88,0,0,5,15,9,17,8,,
國立臺中科技大學,16212,4661,11551,364,151,194,0,1,0,18,0,0,631,44,15,9,103,187,3,18,14,19,1,4,3,10,0,201,582,68,4,160,115,163,2,0,1,10,2,1,56,,
國立臺北商業大學,7769,2280,5489,142,0,0,0,0,0,2,3,137,240,26,7,16,42,83,4,8,7,9,0,11,15,3,0,9,271,63,0,79,3,90,0,0,3,15,3,2,13,,
國立臺北大學,9923,4460,5463,257,146,5,71,14,1,15,5,0,791,25,12,35,74,299,8,23,10,58,79,9,9,19,0,131,410,65,0,100,41,128,0,0,1,30,2,10,33,15.6–21.4,900.5
國立臺北教育大學,5814,1891,3923,158,93,0,1,2,0,38,22,2,681,11,14,0,67,215,16,76,3,34,124,12,18,5,0,86,352,48,0,61,37,0,0,6,2,39,3,3,153,,
國立臺北科技大學,13119,9643,3476,50,45,5,0,0,0,0,0,0,850,56,56,54,89,304,6,52,77,24,35,1,24,15,0,57,614,101,0,63,109,277,0,0,6,17,4,17,20,15.6–21.4,900.5
國立臺北藝術大學,3072,1085,1987,186,135,31,1,1,0,0,15,3,501,24,36,36,13,108,10,35,10,78,103,29,5,7,0,7,179,25,0,33,24,56,0,0,2,31,0,8,0,,
國立臺北護理健康大學,5247,922,4325,82,61,17,2,0,0,1,1,0,512,18,9,19,50,141,25,61,2,18,64,8,14,7,0,76,193,5,0,17,31,85,0,0,2,10,1,21,21,,
國立臺南大學,5692,2548,3144,140,114,16,3,1,0,0,6,0,568,27,11,10,73,215,2,31,9,7,92,5,13,3,0,70,347,26,0,107,17,49,0,0,0,81,11,56,0,15.6–21.4,900.5
國立臺南藝術大學,1564,517,1047,47,34,13,0,0,0,0,0,0,274,5,13,0,11,55,2,15,3,21,54,1,19,0,0,75,128,6,0,32,9,24,0,0,1,20,1,19,16,,
國立臺南護理專科學校,1958,135,1823,17,16,1,0,0,0,0,0,0,25,2,0,1,14,4,0,0,0,0,0,0,0,0,0,4,53,4,1,33,0,11,0,0,1,2,1,0,0,,
國立臺東大學,4583,2089,2494,128,109,5,1,1,0,8,4,0,455,23,22,15,52,120,7,7,8,7,2,0,29,6,0,157,336,15,0,150,19,118,0,0,3,19,5,3,4,,
國立臺東專科學校,1174,710,464,51,51,0,0,0,0,0,0,0,159,6,21,3,51,30,0,0,3,0,0,11,0,1,0,33,189,12,12,65,28,63,0,0,0,5,0,0,4,,
國立臺灣大學,31745,18934,12811,1208,794,0,104,90,0,138,0,82,3634,196,70,44,272,593,12,220,42,162,741,0,0,0,0,1282,1301,137,0,96,405,499,0,0,2,27,1,0,134,51.7,198.0
國立臺灣師範大學,15582,6578,9004,511,414,41,18,9,0,0,29,0,2119,53,29,29,177,497,36,289,45,118,608,46,4,46,0,142,817,89,0,179,537,0,0,0,1,5,0,6,0,30.7–34.9,550.5
國立臺灣戲曲學院,607,219,388,35,26,8,0,0,0,0,1,0,35,1,2,4,0,5,0,1,6,0,0,1,0,0,0,15,35,1,0,8,1,16,0,0,0,2,2,0,5,,
國立臺灣海洋大學,8655,5868,2787,225,182,13,4,5,0,1,5,15,616,35,20,30,78,165,9,10,43,33,22,18,61,24,0,68,493,14,0,115,69,221,0,0,0,18,13,33,10,15.6–21.4,900.5
國立臺灣科技大學,11137,7790,3347,271,181,48,9,9,0,22,0,2,835,54,25,122,106,327,2,55,31,19,4,0,3,2,0,85,424,73,0,34,157,54,0,0,7,41,5,48,5,35.0–39.9,450.5
國立臺灣藝術大學,5714,1829,3885,304,188,108,2,2,0,0,0,4,588,33,15,60,30,198,10,25,17,31,27,17,4,8,0,113,252,26,0,35,72,84,0,0,0,9,2,16,8,,
國立臺灣體育運動大學,3100,1842,1258,168,121,37,0,0,0,0,10,0,243,5,65,37,23,89,2,7,12,0,1,0,0,0,0,2,296,69,0,38,58,112,0,0,0,10,9,0,0,,
國立虎尾科技大學,10486,8025,2461,212,184,25,0,0,0,3,0,0,435,26,52,59,78,88,3,8,48,7,6,11,5,5,0,39,498,89,0,134,50,176,0,1,1,17,7,9,14,,
國立金門大學,4303,2276,2027,120,96,22,1,0,0,0,0,1,220,13,4,11,52,114,2,4,9,1,0,0,9,0,0,1,355,16,0,22,79,113,0,1,1,9,0,0,114,,
國立陽明交通大學,14271,9987,4284,208,154,17,15,8,0,11,3,0,1301,70,26,50,117,360,18,165,71,78,187,14,27,24,0,94,644,101,0,48,338,0,0,0,2,8,1,19,127,35.0–39.9,450.5
國立陽明大學,4334,2223,2111,32,19,2,1,1,0,2,0,7,571,29,3,15,87,122,4,60,7,34,85,6,9,5,0,105,223,3,0,37,9,113,0,0,3,14,0,30,14,21.5–30.6,700.5
國立雲林科技大學,9732,5791,3941,264,244,3,0,2,0,15,0,0,724,34,103,60,96,267,8,32,12,3,37,13,6,1,0,52,388,26,0,28,61,144,0,3,3,36,6,55,26,,
國立體育大學,2465,1559,906,125,89,23,0,1,0,8,4,0,289,2,9,0,0,249,1,17,5,0,0,0,0,6,0,0,142,11,0,20,10,75,0,0,1,25,0,0,0,,
國立高雄大學,5565,3293,2272,181,143,11,1,0,0,26,0,0,490,34,30,84,58,219,1,15,0,0,0,0,0,0,0,49,314,18,0,91,36,120,0,2,1,28,2,0,16,,
國立高雄師範大學,6678,2900,3778,93,66,0,6,2,0,1,18,0,865,23,13,8,91,249,19,103,11,6,132,0,2,0,0,208,414,43,0,128,126,32,0,2,5,43,6,11,18,,
國立高雄科技大學,28010,17805,10205,665,556,103,1,2,0,3,0,0,1782,44,72,100,438,666,11,60,99,36,4,1,152,4,0,95,1380,163,0,255,249,609,0,0,5,61,22,4,12,,
國立高雄餐旅大學,5197,1538,3659,36,27,4,0,0,0,0,0,5,221,18,19,29,45,33,2,6,3,4,0,0,1,0,0,61,119,4,1,24,17,45,0,0,2,9,4,0,13,,
城市學校財團法人臺北城市科技大學,10431,6553,3878,469,330,136,0,0,0,3,0,0,806,24,76,61,34,316,4,4,93,39,9,33,12,5,0,96,1079,102,27,215,44,433,0,3,3,87,15,25,125,,
大仁科技大學,6404,2854,3550,157,141,16,0,0,0,0,0,0,1128,43,124,14,123,296,15,6,19,6,0,12,8,4,0,458,636,19,2,113,280,174,1,2,2,19,12,9,3,,
大同大學,4390,2734,1656,202,177,24,0,0,0,1,0,0,263,24,9,10,44,85,1,6,21,11,13,4,5,2,0,28,291,107,0,60,17,89,0,0,0,3,1,7,7,,
大同技術學院,1891,801,1090,35,35,0,0,0,0,0,0,0,299,16,21,11,26,120,2,0,24,2,0,1,2,1,0,73,505,78,0,45,26,222,0,0,1,16,5,1,111,,
大漢技術學院,1163,696,467,19,16,3,0,0,0,0,0,0,148,6,23,3,11,76,0,2,14,1,4,3,3,2,0,0,195,7,0,16,104,47,0,0,0,11,7,3,0,,
大華學校財團法人敏實科技大學,2019,1297,722,140,115,21,0,0,0,4,0,0,43,2,4,12,1,19,0,0,5,0,0,0,0,0,0,0,336,22,9,90,50,67,0,0,0,12,5,2,79,,
大葉大學,10311,5422,4889,360,119,172,2,4,0,4,49,10,800,74,60,59,87,325,3,14,48,29,37,13,9,12,0,30,879,23,0,290,199,289,0,1,6,43,12,13,3,,
學校財團法人中華浸信會基督教台灣浸會神學院,31,13,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
宏國學校財團法人宏國德霖科技大學,6344,3821,2523,121,115,6,0,0,0,0,0,0,321,12,20,64,52,88,2,1,37,7,0,2,4,0,0,32,985,89,10,206,232,412,0,0,0,24,5,1,6,,
實踐大學,13968,4604,9364,553,369,161,3,0,0,19,0,1,818,72,33,58,194,185,4,25,18,84,36,30,19,9,0,51,1126,218,25,424,102,308,2,1,1,24,1,16,4,,
崇仁醫護管理專科學校,3392,418,2974,68,68,0,0,0,0,0,0,0,79,12,4,4,31,5,0,1,0,2,0,0,2,0,0,18,103,1,5,34,2,51,0,0,2,2,0,1,5,,
崇右學校財團法人崇右影藝科技大學,3417,1580,1837,210,171,39,0,0,0,0,0,0,167,13,13,5,13,44,1,1,13,13,1,0,1,0,0,49,454,25,3,117,161,125,0,0,1,9,2,9,2,,
崑山科技大學,11794,7298,4496,410,255,155,0,0,0,0,0,0,1718,35,65,292,190,333,3,2,200,22,7,9,17,0,0,543,824,12,0,280,17,339,1,0,9,82,16,20,48,,
嶺東科技大學,10348,4396,5952,194,190,4,0,0,0,0,0,0,463,16,60,11,61,200,6,3,47,14,1,12,6,2,0,24,954,117,0,236,224,298,1,0,0,20,1,8,49,,
康寧學校財團法人康寧大學,4304,1277,3027,89,89,0,0,0,0,0,0,0,219,23,20,12,33,38,3,1,4,5,0,6,17,1,0,56,644,4,52,138,1,240,0,0,3,39,22,64,81,,
廣亞學校財團法人育達科技大學,4840,2315,2525,183,153,30,0,0,0,0,0,0,357,22,38,7,20,137,7,4,34,0,0,2,9,0,0,77,565,22,0,28,206,188,1,0,3,45,18,2,52,,
建國科技大學,7921,5318,2603,189,146,39,1,0,0,3,0,0,327,29,38,18,48,102,6,1,39,4,1,11,2,1,0,27,778,99,2,140,230,229,0,0,3,28,13,5,29,,
弘光科技大學,12971,4391,8580,265,194,60,4,0,0,0,7,0,977,77,96,31,147,332,18,35,66,13,16,20,9,18,0,99,882,97,0,197,170,376,0,0,5,12,7,18,0,,
德明財經科技大學,8289,3389,4900,417,206,211,0,0,0,0,0,0,658,34,12,23,110,112,3,3,34,27,0,4,0,5,0,291,561,83,3,197,8,211,0,0,3,20,1,4,31,,
德育學校財團法人德育護理健康學院,0,0,0,151,137,14,0,0,0,0,0,0,349,25,34,21,66,93,1,11,17,3,5,0,2,6,0,65,482,50,5,187,42,127,1,2,3,40,6,7,12,,
慈惠醫護管理專科學校,5040,1192,3848,266,266,0,0,0,0,0,0,0,389,42,45,50,94,56,7,0,20,0,0,11,0,0,0,64,411,129,14,182,26,3,0,0,5,11,15,9,17,,
慈濟學校財團法人慈濟大學,3448,1329,2119,121,72,37,4,0,0,2,5,1,214,5,3,2,38,12,5,15,2,17,32,2,2,3,0,76,202,15,0,85,21,66,0,0,0,1,1,5,8,,
慈濟學校財團法人慈濟科技大學,3041,762,2279,120,98,22,0,0,0,0,0,0,163,18,3,13,57,27,1,3,4,0,0,0,3,1,0,33,173,14,9,51,11,67,0,0,2,8,2,1,8,,
敏惠醫護管理專科學校,3869,470,3399,96,96,0,0,0,0,0,0,0,73,9,8,7,22,8,4,0,0,0,0,0,0,0,0,15,152,22,6,48,6,47,0,0,2,2,2,8,9,,
文藻學校財團法人文藻外語大學,9437,2324,7113,409,159,199,12,6,0,12,20,1,753,54,52,35,102,194,10,5,15,92,10,7,21,12,0,144,669,88,0,172,68,260,0,1,4,40,6,25,5,,
新生醫護管理專科學校,6058,758,5300,152,132,0,0,0,0,0,0,20,271,27,21,59,8,34,4,1,0,0,0,0,0,0,0,117,291,93,20,91,2,44,0,0,1,11,7,0,22,,
明志科技大學,4559,3327,1232,120,100,20,0,0,0,0,0,0,180,10,16,2,52,44,0,0,20,4,2,1,0,3,0,26,214,7,0,28,55,89,0,0,0,3,3,0,29,,
明新學校財團法人明新科技大學,12786,7925,4861,351,279,56,2,0,0,0,14,0,768,19,31,129,109,194,13,5,108,12,8,12,5,3,0,120,1306,104,0,189,288,613,0,0,1,60,5,10,36,,
明道學校財團法人明道大學,3913,2262,1651,105,91,14,0,0,0,0,0,0,149,17,16,2,17,34,0,1,23,5,6,0,0,1,0,27,453,23,0,90,187,127,0,0,3,10,2,6,5,,
景文科技大學,7283,3409,3874,455,230,225,0,0,0,0,0,0,390,25,48,44,61,62,1,5,39,13,12,4,3,23,0,50,822,151,0,257,127,232,0,0,4,10,7,6,28,,
朝陽科技大學,15612,6986,8626,425,360,58,2,0,0,0,5,0,885,60,55,59,178,259,11,37,51,23,2,12,0,1,0,137,1202,131,1,385,219,286,0,0,6,66,31,41,36,,
東南科技大學,5938,4041,1897,300,277,23,0,0,0,0,0,0,811,17,66,21,77,117,3,11,34,10,1,2,4,1,0,447,764,42,53,110,84,436,0,0,1,7,7,5,19,,
東吳大學,15665,6299,9366,632,438,82,51,11,0,22,28,0,1163,75,26,64,152,218,11,59,27,153,119,20,6,17,0,216,911,265,0,161,98,339,0,0,6,7,0,24,11,,
東方學校財團法人東方設計大學,3600,1765,1835,109,109,0,0,0,0,0,0,0,525,13,53,4,54,26,3,0,15,4,0,1,1,1,0,350,375,22,1,169,39,125,0,0,1,5,1,5,7,,
東海大學,16080,7428,8652,602,426,61,65,30,0,10,10,0,1340,87,24,54,161,318,10,35,18,69,184,7,7,7,0,359,771,135,0,293,0,293,0,1,3,17,2,21,6,,
樹人醫護管理專科學校,7149,1888,5261,212,211,1,0,0,0,0,0,0,289,32,1,24,112,65,1,3,1,3,0,3,0,0,0,44,485,43,31,231,14,96,0,0,10,17,0,5,38,,
樹德科技大學,11123,4841,6282,318,288,29,0,1,0,0,0,0,420,38,77,47,71,111,5,17,29,12,6,4,2,0,0,1,816,87,0,246,200,241,0,0,7,16,4,10,5,,
正修學校財團法人正修科技大學,18272,10810,7462,265,265,0,0,0,0,0,0,0,1571,103,104,113,157,470,12,5,99,30,7,54,18,9,0,390,1740,257,22,258,217,707,0,0,11,44,16,56,152,,
法鼓學校財團法人法鼓文理學院,280,82,198,0,0,0,0,0,0,0,0,0,75,4,1,0,1,22,0,0,1,4,33,0,4,0,0,5,33,0,0,1,13,15,0,0,1,0,0,1,2,,
淡江大學學校財團法人淡江大學,25343,13074,12269,1065,774,133,45,36,0,68,9,0,2055,131,63,17,119,143,7,43,28,118,58,7,2,18,0,1301,1728,489,3,517,0,572,0,0,10,22,13,31,71,,
玄奘大學,3674,1508,2166,181,181,0,0,0,0,0,0,0,466,21,41,10,15,97,2,2,23,0,41,1,0,2,0,211,460,70,0,111,198,1,0,2,5,37,6,7,23,,
環球學校財團法人環球科技大學,5294,2386,2908,134,134,0,0,0,0,0,0,0,305,16,39,93,39,51,7,1,34,1,1,2,9,5,0,7,708,53,0,172,191,197,0,0,1,22,6,0,66,,
真理大學,6204,3051,3153,351,347,3,1,0,0,0,0,0,227,11,104,3,44,11,3,2,15,19,5,8,1,1,0,0,582,44,0,229,144,153,0,0,0,3,5,4,0,,
稻江科技暨管理學院,2334,1102,1232,27,27,0,0,0,0,0,0,0,111,6,23,1,15,34,1,0,14,1,5,0,8,0,0,3,370,3,5,30,79,114,0,0,1,48,32,55,3,,
經國管理暨健康學院,4614,1316,3298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
美和學校財團法人美和科技大學,8313,2562,5751,124,124,0,0,0,0,0,0,0,526,29,34,5,69,192,10,9,56,11,10,16,16,12,0,57,772,41,11,151,165,225,0,0,0,31,48,89,11,,
義守大學,15532,8236,7296,625,508,78,4,6,0,13,0,16,480,30,31,24,132,162,2,8,23,16,10,2,12,6,0,22,1314,89,0,467,330,224,0,1,4,27,7,11,154,15.6–21.4,900.5
