學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
一貫道崇德學院,50,24,26,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
世新大學,11590,4333,7257,399,352,23,10,12,0,0,2,0,839,40,28,30,136,294,6,22,24,76,82,16,10,19,0,56,668,119,0,174,82,263,0,0,3,10,2,15,0,,
中信學校財團法人中信金融管理學院,661,330,331,0,0,0,0,0,0,0,0,0,7,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,64,0,0,50,9,2,0,0,1,0,0,1,1,,
中原大學,16189,9029,7160,751,607,92,9,5,0,32,1,5,866,45,38,56,125,241,5,62,23,60,84,9,21,23,0,74,1314,206,0,193,62,811,0,0,3,18,3,18,0,15.6–21.4,900.5
中國文化大學,25225,12019,13206,1637,984,431,49,19,0,46,108,0,2119,95,96,135,247,559,14,27,47,164,122,34,47,52,0,480,2155,243,0,696,224,837,1,0,9,40,25,10,70,,
中國科技大學,11170,5217,5953,331,281,49,0,1,0,0,0,0,577,18,38,15,130,186,7,6,45,36,1,25,6,10,0,54,976,109,0,271,134,430,0,1,1,12,1,3,14,,
中國醫藥大學,7425,3328,4097,137,103,3,30,1,0,0,0,0,550,22,17,5,77,57,3,24,8,41,36,5,47,5,0,203,296,1,0,72,7,143,0,0,2,6,1,29,35,30.7–34.9,550.5
中山醫學大學,7096,2724,4372,138,131,4,3,0,0,0,0,0,450,16,16,7,179,79,2,7,4,53,40,17,8,7,0,15,387,5,0,158,24,184,0,0,2,8,1,2,3,,
中州學校財團法人中州科技大學,3383,1745,1638,61,61,0,0,0,0,0,0,0,73,3,2,4,9,21,3,2,15,2,0,0,12,0,0,0,333,14,1,45,152,97,0,0,1,12,3,6,2,,
中臺科技大學,8685,2990,5695,275,210,59,5,1,0,0,0,0,1042,36,65,56,181,199,8,62,51,7,31,16,16,3,0,311,655,56,0,151,3,394,0,0,0,24,2,12,13,,
中華大學學校財團法人中華大學,6267,3857,2410,376,355,20,1,0,0,0,0,0,476,24,29,31,90,169,4,11,42,13,22,12,6,8,0,15,551,45,0,143,100,164,0,0,5,26,13,10,45,,
中華學校財團法人中華科技大學,5977,4067,1910,339,196,142,0,0,0,0,0,1,1093,35,82,11,23,331,1,9,193,17,2,3,334,0,0,52,574,74,0,124,0,336,1,0,0,23,2,9,5,,
中華醫事科技大學,9162,3115,6047,216,216,0,0,0,0,0,0,0,483,4,0,0,478,1,0,0,0,0,0,0,0,0,0,0,680,34,4,105,12,281,1,1,3,7,7,1,224,,
亞東技術學院,4522,3065,1457,148,120,28,0,0,0,0,0,0,245,5,36,26,44,65,6,3,21,19,0,12,3,2,0,3,203,22,0,70,3,82,0,0,0,22,3,0,1,,
亞洲大學,11779,4544,7235,335,249,78,1,1,0,6,0,0,514,38,33,26,123,106,3,3,24,37,52,13,0,8,0,48,815,105,0,298,111,245,0,0,3,22,2,13,16,15.6–21.4,900.5
仁德醫護管理專科學校,6425,1510,4915,319,319,0,0,0,0,0,0,0,104,7,15,34,25,16,0,0,1,1,0,0,1,0,0,4,406,46,3,149,77,78,0,1,6,8,3,5,30,,
佛光大學,3696,1707,1989,139,126,0,0,0,0,11,0,2,375,32,13,0,22,122,4,14,21,16,40,9,1,2,0,79,326,36,0,85,170,0,0,0,3,18,2,4,8,,
修平學校財團法人修平科技大學,5285,3764,1521,212,208,4,0,0,0,0,0,0,264,12,15,15,52,113,2,3,4,5,0,0,34,0,0,9,478,65,17,112,94,150,0,0,4,0,3,24,9,,
健行學校財團法人健行科技大學,11333,7368,3965,361,284,77,0,0,0,0,0,0,654,29,55,42,93,235,7,11,92,4,0,2,23,0,0,61,1057,126,26,98,264,464,0,0,5,42,5,0,27,,
僑光科技大學,10970,5048,5922,102,102,0,0,0,0,0,0,0,205,14,15,5,24,60,0,1,30,15,2,11,2,2,0,24,940,38,19,358,265,158,0,1,0,41,7,50,3,,
元智大學,8882,5226,3656,333,242,87,1,1,0,2,0,0,398,14,5,86,16,182,4,5,9,12,11,1,3,1,0,49,436,115,0,90,68,121,0,0,3,7,0,15,17,15.6–21.4,900.5
光宇學校財團法人元培醫事科技大學,6397,2844,3553,246,245,0,1,0,0,0,0,0,229,24,26,30,44,60,2,3,23,2,0,5,7,1,0,2,687,115,0,137,201,187,1,0,4,18,14,5,5,,
南亞科技學校財團法人南亞技術學院,3969,2254,1715,162,150,12,0,0,0,0,0,0,551,20,45,0,38,251,10,1,99,7,0,5,4,0,0,71,466,78,6,55,78,209,1,0,0,27,2,4,6,,
南榮學校財團法人南榮科技大學,1650,1091,559,63,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
南臺學校財團法人南臺科技大學,18622,10653,7969,501,365,133,0,0,0,0,3,0,1603,82,245,20,111,744,13,7,190,59,15,14,3,29,0,71,973,58,0,329,486,20,1,1,4,52,18,2,2,,
南華大學,5898,2803,3095,224,208,13,2,0,0,1,0,0,572,56,44,42,79,224,5,19,30,11,22,3,15,8,0,14,741,82,0,180,74,340,0,0,6,18,28,13,0,,
南開科技大學,4997,3354,1643,161,134,27,0,0,0,0,0,0,275,10,6,5,32,134,2,1,32,3,5,7,6,11,0,21,493,60,3,138,72,190,0,0,2,14,4,3,7,,
台北海洋學校財團法人台北海洋科技大學,4947,2772,2175,312,286,26,0,0,0,0,0,0,488,24,57,0,116,141,0,8,55,1,0,0,0,0,0,86,624,12,1,237,136,172,0,0,5,26,18,1,16,,
台南家專學校財團法人台南應用科技大學,12731,3692,9039,200,190,3,0,1,0,0,6,0,1417,87,135,149,246,372,11,8,37,29,0,3,1,0,0,339,1171,65,0,360,86,568,0,0,2,53,10,5,22,,
台灣基督長老教會南神神學院,47,16,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
台灣首府學校財團法人台灣首府大學,2194,1133,1061,127,125,2,0,0,0,0,0,0,123,7,15,12,13,47,3,3,23,0,0,0,0,0,0,0,305,11,0,46,138,80,0,0,1,25,1,1,2,,
台神學校財團法人台灣神學研究學院,93,39,54,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,
吳鳳科技大學,5238,3451,1787,96,90,5,0,0,0,1,0,0,561,12,36,56,70,145,6,3,52,2,1,12,1,2,0,163,363,28,0,71,17,234,0,0,0,4,1,3,5,,
和春技術學院,1553,1011,542,83,78,5,0,0,0,0,0,0,342,7,12,38,8,141,0,2,78,1,0,1,0,0,0,54,337,26,0,39,63,110,1,0,0,33,2,0,63,,
嘉藥學校財團法人嘉南藥理大學,14348,6076,8272,276,230,45,0,1,0,0,0,0,1625,41,54,2,27,65,4,2,43,6,0,2,0,0,0,1379,1065,9,0,277,11,623,0,0,10,20,22,0,93,,
國立中央大學,11960,7867,4093,217,135,24,10,7,0,30,11,0,928,34,50,57,133,283,10,83,22,28,175,0,24,11,0,18,543,105,0,81,68,274,0,0,0,3,3,9,0,21.5–30.6,700.5
國立中山大學,9425,5851,3574,262,132,56,7,4,0,37,1,25,1004,30,11,10,56,243,7,63,11,43,147,11,5,24,0,343,506,54,0,33,64,185,0,1,1,46,4,71,47,21.5–30.6,700.5
國立中正大學,11328,6377,4951,249,92,95,41,5,0,3,5,8,1020,41,30,38,145,241,11,70,9,31,195,11,68,49,0,81,593,95,0,117,79,252,0,0,3,20,1,4,22,15.6–21.4,900.5
國立中興大學,14884,8801,6083,298,270,12,8,6,0,0,2,0,1389,93,49,27,196,427,6,116,31,78,192,2,101,32,0,39,806,104,0,209,133,248,0,0,5,60,4,21,22,,
國立勤益科技大學,11896,8727,3169,221,180,39,2,0,0,0,0,0,609,21,28,56,165,175,1,3,37,7,0,0,7,0,0,109,629,157,4,177,6,248,0,0,5,24,3,0,5,,
國立嘉義大學,12219,6347,5872,209,152,42,4,5,0,6,0,0,1253,75,39,116,177,371,16,45,61,32,58,1,0,0,0,262,754,97,0,238,60,223,0,0,5,43,4,0,84,,
國立宜蘭大學,5470,3586,1884,135,118,12,4,0,0,0,0,1,341,23,12,28,69,84,4,4,33,17,16,17,7,10,0,17,350,68,0,96,42,119,0,0,1,9,1,12,2,,
國立屏東大學,8969,3585,5384,236,198,28,1,0,0,0,9,0,620,24,22,35,63,240,9,29,6,17,73,17,18,35,0,32,566,47,0,153,102,225,0,0,0,33,0,6,0,,
國立屏東科技大學,11122,6052,5070,397,269,122,0,0,0,0,6,0,704,10,23,13,76,169,4,24,15,23,16,4,82,37,0,208,599,101,0,173,66,188,0,0,0,24,9,32,6,,
國立彰化師範大學,8333,4245,4088,189,148,18,4,1,0,13,5,0,915,39,20,36,72,284,21,68,24,24,106,2,28,50,0,141,397,37,0,75,43,203,0,0,0,13,1,20,5,,
國立成功大學,21276,13481,7795,512,393,21,47,21,0,26,1,3,1835,54,10,65,139,241,16,149,32,11,200,38,79,35,0,766,1059,166,0,43,125,575,0,0,1,5,3,140,1,30.7–34.9,550.5
國立政治大學,16343,7284,9059,789,286,31,124,97,0,212,16,23,2274,91,14,7,378,691,20,197,55,117,201,0,0,0,0,503,565,52,0,121,0,369,0,0,4,11,0,2,6,21.5–30.6,700.5
國立暨南國際大學,6200,2878,3322,202,135,31,11,5,0,11,6,3,433,43,8,10,17,177,5,23,8,5,24,59,49,5,0,0,311,45,0,6,54,131,0,0,1,2,2,69,1,,
國立東華大學,9928,4839,5089,427,285,66,22,6,0,11,7,30,1249,58,54,38,80,384,10,74,37,27,155,16,71,30,0,215,622,57,0,128,111,213,0,0,1,27,8,71,6,15.6–21.4,900.5
國立清華大學,16657,9558,7099,452,183,53,16,27,0,35,8,130,1386,71,12,129,166,320,17,117,24,137,46,28,1,1,0,317,633,102,0,73,181,185,0,0,10,48,13,2,19,42.4–45.1,325.5
國立澎湖科技大學,3025,1749,1276,74,22,52,0,0,0,0,0,0,141,4,4,1,11,29,0,1,8,0,0,1,0,3,0,79,193,19,0,72,19,77,0,0,0,1,0,0,5,,
