學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
城市學校財團法人臺北城市科技大學,9858,1136,33,91,24,39,328,3,3,75,8,3,41,47,23,366,52
大仁科技大學,5389,977,48,109,11,122,149,7,8,24,6,13,19,12,20,154,275
大同大學,4012,247,16,9,19,60,63,1,6,11,8,21,6,7,7,0,13
大同技術學院,1137,156,2,9,1,14,74,4,0,5,0,0,1,1,1,35,9
大漢技術學院,999,146,3,5,5,12,81,1,2,9,0,19,2,3,2,0,2
大華學校財團法人敏實科技大學,771,54,5,5,8,6,22,2,0,6,0,0,0,0,0,0,0
大葉大學,7770,784,70,74,21,81,348,4,13,45,17,37,16,7,14,1,36
學校財團法人中華浸信會基督教台灣浸會神學院,43,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,5370,205,17,29,9,34,75,3,0,22,2,0,3,3,3,0,5
實踐大學,13216,732,69,26,58,168,163,10,12,9,42,43,27,20,30,12,43
崇仁醫護管理專科學校,3293,65,8,4,4,37,2,1,0,1,0,0,2,0,0,2,4
崇右學校財團法人崇右影藝科技大學,2609,126,4,24,17,14,41,3,1,10,3,0,4,5,0,0,0
崑山科技大學,10537,1657,42,59,129,166,364,5,4,125,17,8,5,33,0,700,0
嶺東科技大學,10510,402,39,63,11,64,118,3,5,36,5,16,11,20,8,0,3
康寧學校財團法人康寧大學,3465,207,25,5,14,41,47,2,1,1,8,0,7,10,6,30,10
廣亞學校財團法人育達科技大學,3962,272,24,30,5,22,87,11,4,17,2,8,5,23,1,3,30
建國科技大學,6620,237,19,23,8,21,87,1,2,22,0,0,8,29,1,8,8
弘光科技大學,12700,959,93,104,26,153,316,21,34,27,10,17,38,15,11,15,79
德明財經科技大學,7384,569,26,10,54,98,85,7,6,14,7,4,9,17,40,188,4
德育學校財團法人德育護理健康學院,4221,393,30,18,37,47,97,5,9,27,0,3,34,8,2,5,71
慈惠醫護管理專科學校,3977,561,56,102,96,146,83,10,1,28,0,0,12,2,0,0,25
慈濟學校財團法人慈濟大學,3383,187,10,3,5,38,13,0,3,3,4,37,5,4,2,0,60
慈濟學校財團法人慈濟科技大學,3163,158,19,7,6,63,33,5,1,1,1,0,1,4,4,0,13
敏惠醫護管理專科學校,3936,129,10,9,23,32,11,1,1,0,0,0,0,0,0,7,35
文藻學校財團法人文藻外語大學,9012,706,61,49,126,117,205,14,6,7,41,19,4,20,22,10,5
新生醫護管理專科學校,6064,261,40,36,67,7,32,3,3,0,0,0,0,0,0,0,73
明志科技大學,4492,133,9,13,3,48,34,0,0,12,3,3,4,4,0,0,0
明新學校財團法人明新科技大學,11886,916,30,38,40,91,263,16,3,84,3,12,19,35,7,224,51
明道學校財團法人明道大學,2525,133,18,6,0,8,47,4,2,14,1,6,1,9,1,6,10
景文科技大學,6656,353,36,66,13,61,80,5,6,36,6,9,3,23,5,4,0
朝陽科技大學,15050,683,50,56,27,166,204,10,27,26,10,13,13,36,14,2,29
東南科技大學,5168,667,13,41,6,69,63,1,7,16,2,0,11,31,2,228,177
東吳大學,15374,1158,76,11,65,139,240,8,57,12,90,152,37,11,27,2,231
東方學校財團法人東方設計大學,2072,397,10,22,6,23,50,1,0,8,1,1,2,3,2,249,19
東海大學,15710,1418,109,35,47,189,317,11,28,7,62,224,15,67,12,32,263
樹人醫護管理專科學校,7279,345,33,1,18,148,86,0,1,1,0,0,15,0,0,0,42
樹德科技大學,10496,408,45,80,15,62,98,1,11,16,2,10,5,5,0,58,0
正修學校財團法人正修科技大學,17473,1518,86,100,61,201,495,8,3,66,20,18,34,23,14,122,267
法鼓學校財團法人法鼓文理學院,302,79,5,5,0,0,23,1,0,0,4,27,1,7,0,0,6
淡江大學學校財團法人淡江大學,24209,1829,129,30,18,230,135,4,36,6,60,73,24,18,24,858,184
玄奘大學,2408,374,27,40,13,19,107,0,5,11,4,39,8,15,2,49,35
環球學校財團法人環球科技大學,3673,225,14,42,17,69,37,4,1,8,1,0,5,2,1,24,0
真理大學,5255,203,19,93,12,34,17,1,2,4,5,9,2,0,5,0,0
美和學校財團法人美和科技大學,6300,555,41,50,7,76,193,16,13,32,1,17,28,24,12,36,9
義守大學,14351,438,31,26,17,161,118,1,7,6,5,9,3,21,7,4,22
耕莘健康管理專科學校,4698,168,18,1,5,92,6,2,3,0,0,0,7,6,0,17,11
聖母醫護管理專科學校,2227,144,13,10,36,56,10,2,3,0,2,0,9,0,0,0,3
聖約翰科技大學,2391,253,4,19,18,18,86,3,4,32,0,6,3,5,4,28,23
育英醫護管理專科學校,1991,81,11,4,23,36,2,0,0,1,0,0,3,1,0,0,0
致理學校財團法人致理科技大學,11575,634,46,50,97,128,159,8,22,28,15,7,23,9,26,13,3
臺北基督學院,74,10,0,1,2,0,1,0,0,0,1,0,0,0,0,0,5
臺北市立大學,7986,730,48,28,22,65,250,9,61,10,29,105,16,25,42,0,20
臺北醫學大學,5993,508,27,7,5,218,83,6,28,0,14,45,6,38,7,0,24
華夏學校財團法人華夏科技大學,4043,482,15,28,12,67,115,6,4,35,2,8,10,6,4,144,26
華梵大學,1165,177,22,3,11,18,32,0,1,11,3,40,1,23,0,0,12
萬能學校財團法人萬能科技大學,9691,580,45,164,8,76,183,11,3,35,8,7,23,13,4,0,0
蘭陽技術學院,513,34,0,3,20,3,7,0,0,1,0,0,0,0,0,0,0
財團法人一貫道天皇基金會一貫道天皇學院,178,35,7,4,0,6,11,0,0,0,0,0,0,3,0,0,4
輔仁大學,25651,1890,182,39,34,506,590,14,89,14,70,264,19,3,12,15,39
輔英科技大學,9791,649,63,82,41,198,146,13,10,20,4,13,9,11,17,10,12
逢甲大學,21059,919,95,20,31,168,219,10,37,45,49,71,5,87,9,9,64
遠東科技大學,4724,413,17,34,23,58,157,2,4,32,6,10,10,10,3,0,47
醒吾學校財團法人醒吾科技大學,7943,1101,55,94,242,192,318,10,7,38,30,0,47,23,16,0,29
銘傳大學,18614,897,78,13,105,111,194,4,13,32,27,59,19,14,6,5,217
長庚大學,6811,489,13,13,0,135,95,2,11,5,13,24,0,63,0,2,113
長庚學校財團法人長庚科技大學,6333,184,25,7,4,36,55,4,9,1,4,9,15,6,4,0,5
長榮大學,8248,440,27,41,0,179,88,4,4,14,13,29,17,6,14,4,0
開南大學,5587,408,45,39,13,45,163,5,9,29,1,6,0,7,5,0,41
靜宜大學,12018,644,42,48,86,169,139,7,12,3,13,34,22,19,26,10,14
馬偕學校財團法人馬偕醫學院,816,51,7,0,0,21,8,0,1,0,4,6,0,0,0,0,4
馬偕學校財團法人馬偕醫護管理專科學校,4106,141,6,2,31,63,15,2,1,2,2,0,14,2,1,0,0
高苑科技大學,3510,248,4,19,3,11,172,2,1,10,2,0,1,18,0,0,5
高雄醫學大學,6490,521,11,13,7,185,101,5,24,3,11,97,16,23,11,0,14
黎明技術學院,5191,399,13,55,14,89,133,2,2,19,5,0,35,2,2,6,22
龍華科技大學,11606,591,47,74,40,121,175,3,3,31,1,10,8,13,1,1,63
