學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
臺北醫學大學,147,139,4,2,1,1,0,0,0
臺灣觀光學院,42,0,42,0,0,0,0,0,0
華夏學校財團法人華夏科技大學,121,115,5,0,0,0,1,0,0
華梵大學,168,145,17,0,3,0,3,0,0
萬能學校財團法人萬能科技大學,287,214,73,0,0,0,0,0,0
蘭陽技術學院,33,33,0,0,0,0,0,0,0
輔仁大學,840,510,45,68,120,0,33,64,0
輔英科技大學,242,197,35,10,0,0,0,0,0
逢甲大學,528,458,57,4,0,0,9,0,0
遠東科技大學,280,231,49,0,0,0,0,0,0
醒吾學校財團法人醒吾科技大學,240,195,44,0,1,0,0,0,0
銘傳大學,909,687,142,9,13,0,46,5,7
長庚大學,188,111,19,58,0,0,0,0,0
長庚學校財團法人長庚科技大學,34,29,0,4,0,0,1,0,0
長榮大學,304,288,12,4,0,0,0,0,0
開南大學,412,330,55,2,5,0,19,0,1
靜宜大學,635,392,181,9,8,0,32,11,2
馬偕學校財團法人馬偕醫學院,6,6,0,0,0,0,0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,116,113,3,0,0,0,0,0,0
高苑科技大學,163,155,8,0,0,0,0,0,0
高雄醫學大學,127,116,4,7,0,0,0,0,0
黎明技術學院,134,112,22,0,0,0,0,0,0
龍華科技大學,344,231,113,0,0,0,0,0,0
