學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
世新大學,341,297,24,11,5,0,1,3,0
中信學校財團法人中信金融管理學院,10,10,0,0,0,0,0,0,0
中原大學,850,690,122,6,7,0,25,0,0
中國文化大學,1909,1126,540,59,34,0,28,122,0
中國科技大學,353,266,85,0,0,0,2,0,0
中國醫藥大學,119,87,0,29,0,0,0,3,0
中山醫學大學,145,136,7,1,0,0,1,0,0
中州學校財團法人中州科技大學,59,59,0,0,0,0,0,0,0
中臺科技大學,282,221,57,4,0,0,0,0,0
中華大學學校財團法人中華大學,384,367,17,0,0,0,0,0,0
中華學校財團法人中華科技大學,316,168,148,0,0,0,0,0,0
中華醫事科技大學,200,200,0,0,0,0,0,0,0
亞東技術學院,140,109,31,0,0,0,0,0,0
亞洲大學,318,241,65,4,2,0,6,0,0
仁德醫護管理專科學校,269,269,0,0,0,0,0,0,0
佛光大學,136,122,0,0,0,0,14,0,0
修平學校財團法人修平科技大學,198,183,15,0,0,0,0,0,0
健行學校財團法人健行科技大學,341,282,59,0,0,0,0,0,0
僑光科技大學,113,109,4,0,0,0,0,0,0
元智大學,344,250,91,0,0,0,3,0,0
光宇學校財團法人元培醫事科技大學,237,236,0,1,0,0,0,0,0
南亞科技學校財團法人南亞技術學院,112,101,11,0,0,0,0,0,0
南臺學校財團法人南臺科技大學,551,428,119,0,0,0,0,4,0
南華大學,205,182,20,0,0,0,2,0,1
南開科技大學,151,120,31,0,0,0,0,0,0
台北海洋學校財團法人台北海洋科技大學,248,215,33,0,0,0,0,0,0
台南家專學校財團法人台南應用科技大學,215,197,0,0,1,0,0,17,0
台灣首府學校財團法人台灣首府大學,87,84,3,0,0,0,0,0,0
吳鳳科技大學,79,72,7,0,0,0,0,0,0
和春技術學院,47,38,9,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,277,237,38,0,2,0,0,0,0
國立中央大學,212,119,44,13,1,0,27,8,0
國立中山大學,266,139,66,11,3,0,29,4,14
國立中正大學,236,155,0,40,7,0,6,4,24
國立中興大學,328,298,13,9,2,0,2,4,0
國立勤益科技大學,232,195,37,0,0,0,0,0,0
國立嘉義大學,230,209,12,2,3,0,4,0,0
國立宜蘭大學,126,113,13,0,0,0,0,0,0
國立屏東大學,235,198,26,1,4,0,0,1,5
國立屏東科技大學,364,246,108,0,0,0,2,5,3
國立彰化師範大學,225,170,40,1,1,0,7,6,0
國立成功大學,527,402,17,65,21,0,22,0,0
國立政治大學,768,287,8,179,112,0,172,10,0
國立暨南國際大學,201,111,42,11,13,0,13,8,3
國立東華大學,422,341,38,10,4,0,20,7,2
國立清華大學,418,175,51,28,22,0,35,10,97
國立澎湖科技大學,88,74,14,0,0,0,0,0,0
國立聯合大學,210,192,17,0,0,0,0,0,1
國立臺中教育大學,104,69,22,3,2,0,0,8,0
國立臺中科技大學,297,176,119,1,1,0,0,0,0
國立臺北商業大學,133,105,4,0,0,0,24,0,0
國立臺北大學,269,152,4,63,12,0,31,7,0
國立臺北教育大學,156,102,1,4,4,0,33,12,0
國立臺北科技大學,48,43,4,0,0,0,0,0,1
國立臺北藝術大學,217,153,33,1,12,0,0,18,0
國立臺北護理健康大學,95,72,20,2,1,0,0,0,0
國立臺南大學,131,99,22,6,2,0,0,2,0
國立臺南藝術大學,47,33,14,0,0,0,0,0,0
國立臺南護理專科學校,21,18,3,0,0,0,0,0,0
國立臺東大學,153,124,6,1,5,0,9,8,0
國立臺東專科學校,39,39,0,0,0,0,0,0,0
國立臺灣大學,1280,816,62,140,58,0,174,29,1
國立臺灣師範大學,532,401,58,25,13,0,3,32,0
國立臺灣戲曲學院,26,19,7,0,0,0,0,0,0
國立臺灣海洋大學,256,211,8,1,3,0,0,0,33
國立臺灣科技大學,274,189,27,9,1,0,47,1,0
國立臺灣藝術大學,266,147,103,3,2,0,0,11,0
國立臺灣體育運動大學,164,96,58,0,0,0,0,10,0
國立虎尾科技大學,250,225,24,0,0,0,0,0,1
國立金門大學,152,141,7,2,0,0,1,0,1
國立陽明交通大學,214,155,22,20,6,0,9,1,1
國立陽明大學,36,29,1,0,0,0,5,1,0
國立雲林科技大學,235,133,76,1,2,0,17,6,0
國立體育大學,142,94,19,0,1,0,6,22,0
國立高雄大學,179,155,10,0,4,0,10,0,0
國立高雄師範大學,102,68,0,11,1,0,8,14,0
國立高雄科技大學,673,429,244,0,0,0,0,0,0
國立高雄餐旅大學,25,19,2,0,0,0,0,4,0
城市學校財團法人臺北城市科技大學,453,299,154,0,0,0,0,0,0
大仁科技大學,189,180,9,0,0,0,0,0,0
大同大學,167,142,25,0,0,0,0,0,0
大同技術學院,32,32,0,0,0,0,0,0,0
大漢技術學院,16,15,1,0,0,0,0,0,0
大華學校財團法人敏實科技大學,108,86,17,0,0,0,5,0,0
大葉大學,344,85,196,1,3,0,0,49,10
宏國學校財團法人宏國德霖科技大學,126,124,2,0,0,0,0,0,0
實踐大學,570,382,175,0,1,0,11,0,1
崇仁醫護管理專科學校,55,55,0,0,0,0,0,0,0
崇右學校財團法人崇右影藝科技大學,195,195,0,0,0,0,0,0,0
崑山科技大學,411,281,129,1,0,0,0,0,0
嶺東科技大學,236,206,30,0,0,0,0,0,0
康寧學校財團法人康寧大學,102,102,0,0,0,0,0,0,0
廣亞學校財團法人育達科技大學,166,115,49,0,0,0,2,0,0
建國科技大學,201,157,42,1,0,0,1,0,0
弘光科技大學,280,203,65,3,1,0,0,8,0
德明財經科技大學,390,179,211,0,0,0,0,0,0
德育學校財團法人德育護理健康學院,188,178,10,0,0,0,0,0,0
慈惠醫護管理專科學校,230,230,0,0,0,0,0,0,0
慈濟學校財團法人慈濟大學,136,61,60,8,2,0,0,4,1
慈濟學校財團法人慈濟科技大學,96,85,11,0,0,0,0,0,0
敏惠醫護管理專科學校,104,104,0,0,0,0,0,0,0
文藻學校財團法人文藻外語大學,360,176,154,6,0,0,8,16,0
新生醫護管理專科學校,145,132,0,0,0,0,0,0,13
明志科技大學,126,82,44,0,0,0,0,0,0
明新學校財團法人明新科技大學,357,271,79,0,0,0,0,7,0
明道學校財團法人明道大學,118,100,17,1,0,0,0,0,0
景文科技大學,338,140,198,0,0,0,0,0,0
朝陽科技大學,345,286,55,0,3,0,0,1,0
東南科技大學,285,251,34,0,0,0,0,0,0
東吳大學,649,398,116,64,13,0,20,38,0
東方學校財團法人東方設計大學,81,79,0,0,0,0,0,0,2
東海大學,519,358,52,49,37,0,19,4,0
樹人醫護管理專科學校,232,232,0,0,0,0,0,0,0
樹德科技大學,318,280,37,0,1,0,0,0,0
正修學校財團法人正修科技大學,268,268,0,0,0,0,0,0,0
法鼓學校財團法人法鼓文理學院,2,2,0,0,0,0,0,0,0
淡江大學學校財團法人淡江大學,1117,824,144,32,35,0,74,8,0
玄奘大學,168,168,0,0,0,0,0,0,0
環球學校財團法人環球科技大學,116,116,0,0,0,0,0,0,0
真理大學,332,330,1,1,0,0,0,0,0
稻江科技暨管理學院,36,36,0,0,0,0,0,0,0
美和學校財團法人美和科技大學,118,118,0,0,0,0,0,0,0
義守大學,597,494,68,3,2,0,18,0,12
耕莘健康管理專科學校,203,157,46,0,0,0,0,0,0
聖母醫護管理專科學校,38,38,0,0,0,0,0,0,0
聖約翰科技大學,198,198,0,0,0,0,0,0,0
育英醫護管理專科學校,39,37,2,0,0,0,0,0,0
致理學校財團法人致理科技大學,298,168,130,0,0,0,0,0,0
臺北基督學院,6,5,0,0,0,0,0,0,1
臺北市立大學,306,194,21,14,4,0,20,53,0
