學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
國立宜蘭大學,138,115,20,2,1,0,0,0,0
國立屏東大學,213,175,26,1,2,0,0,0,9
國立屏東科技大學,214,200,10,1,0,0,0,0,3
國立彰化師範大學,192,165,10,0,4,0,4,0,9
國立成功大學,565,457,9,43,19,0,24,0,13
國立政治大學,747,254,73,140,112,0,168,0,0
國立暨南國際大學,168,107,36,6,6,0,8,0,5
國立東華大學,436,313,69,10,12,0,12,0,20
國立清華大學,425,188,53,13,30,0,18,0,123
國立澎湖科技大學,58,28,5,0,0,0,0,0,25
國立聯合大學,205,187,13,5,0,0,0,0,0
國立臺中教育大學,109,74,30,0,4,0,1,0,0
國立臺中科技大學,329,159,170,0,0,0,0,0,0
國立臺北商業大學,125,94,0,0,0,0,31,0,0
國立臺北大學,274,150,7,75,13,0,24,0,5
國立臺北教育大學,139,96,0,3,1,0,22,0,17
國立臺北科技大學,38,33,5,0,0,0,0,0,0
國立臺北藝術大學,219,128,58,0,2,0,5,0,26
國立臺北護理健康大學,59,48,10,1,0,0,0,0,0
國立臺南大學,130,103,16,3,0,0,0,0,8
國立臺南藝術大學,57,45,12,0,0,0,0,0,0
國立臺南護理專科學校,18,17,1,0,0,0,0,0,0
國立臺東大學,138,127,3,0,0,0,8,0,0
國立臺東專科學校,34,34,0,0,0,0,0,0,0
國立臺灣大學,1208,789,0,86,103,0,129,0,101
國立臺灣師範大學,514,383,53,24,13,0,1,0,40
國立臺灣戲曲學院,28,19,9,0,0,0,0,0,0
國立臺灣海洋大學,209,186,12,2,1,0,0,0,8
國立臺灣科技大學,271,206,36,6,1,0,17,0,5
國立臺灣藝術大學,269,155,90,3,5,0,0,0,16
國立臺灣體育運動大學,226,159,55,1,0,0,0,0,11
國立虎尾科技大學,263,244,19,0,0,0,0,0,0
國立金門大學,147,145,1,1,0,0,0,0,0
國立陽明交通大學,195,168,14,2,1,0,10,0,0
國立陽明大學,32,19,3,0,0,0,5,0,5
國立雲林科技大學,204,150,31,2,1,0,18,0,2
國立體育大學,120,85,20,0,0,0,10,0,5
國立高雄大學,156,131,16,2,0,0,7,0,0
國立高雄師範大學,100,63,0,10,0,0,7,0,20
國立高雄應用科技大學,223,154,66,0,0,0,3,0,0
國立高雄海洋科技大學,242,139,102,0,1,0,0,0,0
國立高雄第一科技大學,172,146,22,0,1,0,3,0,0
國立高雄餐旅大學,25,19,1,0,0,0,0,0,5
城市學校財團法人臺北城市科技大學,458,320,136,0,0,0,2,0,0
大仁科技大學,160,154,6,0,0,0,0,0,0
大同大學,206,177,23,0,1,0,0,0,5
大同技術學院,41,41,0,0,0,0,0,0,0
大漢技術學院,29,23,6,0,0,0,0,0,0
大華學校財團法人敏實科技大學,145,125,18,0,0,0,2,0,0
大葉大學,325,243,68,3,5,0,6,0,0
宏國學校財團法人宏國德霖科技大學,153,151,2,0,0,0,0,0,0
實踐大學,521,399,111,2,0,0,8,0,1
崇仁醫護管理專科學校,57,57,0,0,0,0,0,0,0
崇右學校財團法人崇右影藝科技大學,192,55,137,0,0,0,0,0,0
崑山科技大學,381,274,107,0,0,0,0,0,0
嶺東科技大學,199,188,11,0,0,0,0,0,0
康寧學校財團法人康寧大學,77,77,0,0,0,0,0,0,0
廣亞學校財團法人育達科技大學,216,190,26,0,0,0,0,0,0
建國科技大學,217,179,36,0,0,0,2,0,0
弘光科技大學,268,194,73,1,0,0,0,0,0
德明財經科技大學,333,179,154,0,0,0,0,0,0
德育學校財團法人德育護理健康學院,150,149,1,0,0,0,0,0,0
慈惠醫護管理專科學校,288,288,0,0,0,0,0,0,0
慈濟學校財團法人慈濟大學,131,70,35,3,2,0,5,0,16
慈濟學校財團法人慈濟科技大學,85,69,16,0,0,0,0,0,0
敏惠醫護管理專科學校,89,89,0,0,0,0,0,0,0
文藻學校財團法人文藻外語大學,383,205,145,8,5,0,6,0,14
新生醫護管理專科學校,107,92,0,0,0,0,0,0,15
明志科技大學,114,93,21,0,0,0,0,0,0
明新學校財團法人明新科技大學,452,367,76,0,0,0,0,0,9
明道學校財團法人明道大學,113,109,3,0,1,0,0,0,0
景文科技大學,410,154,256,0,0,0,0,0,0
朝陽科技大學,387,349,26,1,0,0,0,0,11
東南科技大學,361,342,19,0,0,0,0,0,0
東吳大學,661,496,89,25,15,0,10,0,26
東方學校財團法人東方設計大學,112,112,0,0,0,0,0,0,0
東海大學,659,505,59,57,34,0,4,0,0
樹人醫護管理專科學校,218,218,0,0,0,0,0,0,0
樹德科技大學,331,307,22,1,1,0,0,0,0
正修學校財團法人正修科技大學,244,244,0,0,0,0,0,0,0
法鼓學校財團法人法鼓文理學院,1,1,0,0,0,0,0,0,0
淡江大學學校財團法人淡江大學,1181,861,158,37,50,0,75,0,0
玄奘大學,171,171,0,0,0,0,0,0,0
環球學校財團法人環球科技大學,113,113,0,0,0,0,0,0,0
真理大學,353,342,8,0,1,0,1,0,1
稻江科技暨管理學院,47,47,0,0,0,0,0,0,0
美和學校財團法人美和科技大學,131,130,0,1,0,0,0,0,0
義守大學,589,523,54,1,1,0,5,0,5
耕莘健康管理專科學校,139,123,16,0,0,0,0,0,0
聖母醫護管理專科學校,20,20,0,0,0,0,0,0,0
聖約翰科技大學,224,202,22,0,0,0,0,0,0
育英醫護管理專科學校,48,46,2,0,0,0,0,0,0
致理學校財團法人致理科技大學,331,188,142,0,1,0,0,0,0
臺北基督學院,10,10,0,0,0,0,0,0,0
臺北市立大學,313,230,42,8,2,0,0,0,31
臺北醫學大學,131,111,10,5,1,4,0,0,0
臺灣觀光學院,51,27,24,0,0,0,0,0,0
華夏學校財團法人華夏科技大學,124,116,8,0,0,0,0,0,0
華梵大學,154,142,12,0,0,0,0,0,0
萬能學校財團法人萬能科技大學,235,210,25,0,0,0,0,0,0
蘭陽技術學院,69,68,0,0,1,0,0,0,0
輔仁大學,965,563,69,101,134,0,22,0,76
輔英科技大學,215,178,27,9,1,0,0,0,0
逢甲大學,540,512,24,1,3,0,0,0,0
遠東科技大學,249,197,51,1,0,0,0,0,0
醒吾學校財團法人醒吾科技大學,182,176,5,0,0,0,1,0,0
銘傳大學,971,690,237,9,14,0,14,0,7
長庚大學,207,124,35,48,0,0,0,0,0
長庚學校財團法人長庚科技大學,25,22,0,1,0,0,2,0,0
長榮大學,352,342,7,2,1,0,0,0,0
開南大學,394,314,76,1,0,0,3,0,0
靜宜大學,723,454,202,19,6,1,21,0,20
馬偕學校財團法人馬偕醫學院,8,8,0,0,0,0,0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,96,92,4,0,0,0,0,0,0
高美醫護管理專科學校,24,24,0,0,0,0,0,0,0
高苑科技大學,195,194,0,0,0,0,1,0,0
高雄醫學大學,106,82,2,21,0,0,0,0,1
黎明技術學院,110,94,16,0,0,0,0,0,0
龍華科技大學,384,229,155,0,0,0,0,0,0
