學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素
世新大學,449,374,54,12,8,0,0,0,1
中信學校財團法人中信金融管理學院,2,2,0,0,0,0,0,0,0
中原大學,667,590,35,10,13,0,15,0,4
中國文化大學,1589,1022,379,47,32,0,109,0,0
中國科技大學,288,244,44,0,0,0,0,0,0
中國醫藥大學,111,75,9,26,1,0,0,0,0
中山醫學大學,137,132,4,1,0,0,0,0,0
中州學校財團法人中州科技大學,59,59,0,0,0,0,0,0,0
中臺科技大學,309,240,69,0,0,0,0,0,0
中華大學學校財團法人中華大學,401,317,83,0,1,0,0,0,0
中華學校財團法人中華科技大學,328,211,117,0,0,0,0,0,0
中華醫事科技大學,216,215,0,1,0,0,0,0,0
亞太學校財團法人亞太創意技術學院,38,38,0,0,0,0,0,0,0
亞東技術學院,148,125,23,0,0,0,0,0,0
亞洲大學,395,346,43,3,1,0,1,0,1
仁德醫護管理專科學校,339,339,0,0,0,0,0,0,0
佛光大學,148,138,5,0,0,0,5,0,0
修平學校財團法人修平科技大學,214,177,37,0,0,0,0,0,0
健行學校財團法人健行科技大學,364,277,87,0,0,0,0,0,0
僑光科技大學,137,126,11,0,0,0,0,0,0
元智大學,327,243,81,3,0,0,0,0,0
光宇學校財團法人元培醫事科技大學,268,261,6,1,0,0,0,0,0
南亞科技學校財團法人南亞技術學院,188,159,29,0,0,0,0,0,0
南榮學校財團法人南榮科技大學,67,67,0,0,0,0,0,0,0
南臺學校財團法人南臺科技大學,523,416,103,1,1,0,0,0,2
南華大學,187,172,9,3,0,0,3,0,0
南開科技大學,194,169,25,0,0,0,0,0,0
台北海洋學校財團法人台北海洋科技大學,263,240,23,0,0,0,0,0,0
台南家專學校財團法人台南應用科技大學,205,195,0,0,0,0,0,0,10
台灣首府學校財團法人台灣首府大學,103,103,0,0,0,0,0,0,0
吳鳳科技大學,127,115,12,0,0,0,0,0,0
和春技術學院,98,98,0,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,313,264,44,2,3,0,0,0,0
國立中央大學,231,136,26,23,8,0,24,0,14
國立中山大學,247,119,78,8,5,0,28,0,9
國立中正大學,264,113,97,39,7,0,3,0,5
國立中興大學,324,280,14,19,9,0,0,0,2
國立勤益科技大學,221,190,31,0,0,0,0,0,0
國立嘉義大學,236,191,36,3,2,0,4,0,0
