學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
一貫道崇德學院,148,6,5,0,0,0,1,0,0,0,0,0,0,0
世新大學,22868,713,117,0,199,68,303,0,0,3,11,0,11,1
中信學校財團法人中信金融管理學院,1838,93,4,0,59,17,13,0,0,0,0,0,0,0
中原大學,33058,768,59,0,185,93,377,1,0,6,29,12,6,0
中國文化大學,49006,1952,170,0,696,291,604,1,2,14,37,32,25,80
中國科技大學,17224,1088,164,0,258,263,356,0,0,2,28,3,6,8
中國醫藥大學,14486,330,14,0,88,8,144,0,0,1,7,3,41,24
中山醫學大學,14104,431,9,0,146,29,239,0,0,1,1,2,4,0
中州學校財團法人中州科技大學,3862,322,34,0,58,100,74,1,0,0,34,1,20,0
中臺科技大學,15208,579,55,0,123,6,360,0,0,2,13,6,12,2
中華大學學校財團法人中華大學,10090,700,61,0,271,82,142,1,2,16,55,18,6,46
中華學校財團法人中華科技大學,8730,822,28,4,91,1,662,0,0,0,13,1,1,21
中華福音神學研究學院,36,0,0,0,0,0,0,0,0,0,0,0,0,0
中華醫事科技大學,17022,678,67,4,200,10,325,1,0,0,13,9,6,43
亞東學校財團法人亞東科技大學,8446,206,41,0,62,14,72,0,0,3,10,4,0,0
亞洲大學,22862,917,111,0,294,223,238,0,0,0,20,2,23,6
仁德醫護管理專科學校,12772,455,39,5,154,59,81,3,0,1,19,15,79,0
佛光大學,6484,336,38,0,72,162,0,0,0,3,9,0,50,2
修平學校財團法人修平科技大學,10048,625,54,44,183,115,174,0,0,0,21,6,27,1
健行學校財團法人健行科技大學,22334,1277,225,8,181,370,430,0,0,2,32,14,4,11
僑光科技大學,19682,871,85,0,220,323,173,2,0,6,27,6,26,3
元智大學,17598,398,65,0,94,68,132,0,0,0,13,2,22,2
光宇學校財團法人元培醫事科技大學,11502,725,108,0,161,273,152,0,0,4,17,6,1,3
南亞科技學校財團法人南亞技術學院,5524,349,36,0,48,39,193,0,1,2,10,3,16,1
南臺學校財團法人南臺科技大學,34444,1231,94,0,406,278,345,0,0,8,63,15,22,0
南華大學,10944,638,94,0,183,42,256,0,0,11,19,3,10,20
南開科技大學,6470,398,27,3,124,81,133,2,0,4,19,2,3,0
台北海洋學校財團法人台北海洋科技大學,8248,608,9,1,230,95,195,0,0,3,31,23,7,14
台南家專學校財團法人台南應用科技大學,23432,1102,86,0,353,143,359,0,0,12,86,13,22,28
台灣基督長老教會南神神學院,146,5,1,0,0,0,4,0,0,0,0,0,0,0
台灣首府學校財團法人台灣首府大學,1622,135,8,0,19,40,33,1,0,2,30,0,1,1
台神學校財團法人台灣神學研究學院,232,5,0,0,0,0,1,0,0,1,0,1,2,0
吳鳳科技大學,9830,435,13,0,67,41,155,0,1,3,87,12,30,26
和春技術學院,602,92,2,0,9,18,32,0,0,0,23,2,3,3
唯心聖教學院,30,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,22916,1085,7,0,299,154,532,1,0,7,31,7,8,39
國立中央大學,24256,602,82,0,125,86,267,0,0,5,22,2,13,0
國立中山大學,19794,546,44,0,36,70,187,0,3,6,41,2,106,51
國立中正大學,22424,577,65,0,163,63,242,0,0,4,27,1,7,5
國立中興大學,30308,932,107,0,265,142,257,0,0,11,46,4,86,14
國立勤益科技大學,24884,861,152,29,200,13,370,0,0,7,36,7,40,7
國立嘉義大學,23610,818,89,0,289,78,220,0,1,10,126,2,3,0
國立宜蘭大學,11274,360,57,0,131,42,107,0,0,1,8,0,14,0
國立屏東大學,18274,442,44,0,121,83,162,0,1,1,22,1,6,1
國立屏東科技大學,21374,603,101,0,164,59,223,0,0,5,21,2,26,2
國立彰化師範大學,16918,476,39,0,80,61,239,0,0,5,23,4,22,3
國立成功大學,44812,1220,136,1,185,121,682,0,0,8,16,15,54,2
國立政治大學,32220,644,46,0,144,3,419,0,0,6,16,1,4,5
國立暨南國際大學,12484,280,29,0,34,49,129,0,0,0,9,0,30,0
國立東華大學,20502,552,65,2,127,92,158,0,0,7,21,3,73,4
國立清華大學,34976,714,152,2,83,226,170,0,0,11,48,2,3,17
國立澎湖科技大學,6126,202,12,3,2,10,50,0,0,0,0,0,0,125
國立聯合大學,15310,440,94,2,158,55,118,0,0,1,7,0,4,1
國立臺中教育大學,10010,295,20,0,109,34,74,0,1,4,25,2,26,0
國立臺中科技大學,32382,1123,125,4,248,291,325,0,0,10,56,7,57,0
國立臺北商業大學,14980,312,72,1,101,5,78,1,1,4,22,5,20,2
國立臺北大學,20472,540,107,0,136,48,125,0,0,10,69,4,33,8
國立臺北教育大學,11876,315,14,0,84,109,0,2,0,8,40,3,34,21
國立臺北科技大學,27242,581,61,4,71,143,223,0,0,8,27,1,43,0
國立臺北藝術大學,6126,162,8,0,2,16,63,0,1,1,6,2,62,1
國立臺北護理健康大學,10730,208,15,1,44,19,89,0,1,4,7,2,26,0
國立臺南大學,11878,346,32,0,100,18,26,0,2,4,95,3,66,0
國立臺南藝術大學,3232,115,8,0,25,9,27,0,0,0,17,0,16,13
國立臺南護理專科學校,3852,45,2,1,26,2,12,0,0,1,0,0,1,0
國立臺東大學,10280,341,19,0,166,9,100,0,0,1,23,1,16,6
國立臺東專科學校,1910,132,16,0,46,8,52,1,0,0,3,1,5,0
國立臺灣大學,65846,1446,163,0,127,495,483,0,0,1,26,6,37,108
國立臺灣師範大學,32328,860,114,0,105,566,0,0,0,6,46,5,8,10
國立臺灣戲曲學院,1082,25,0,0,16,2,5,0,0,0,1,0,0,1
國立臺灣海洋大學,18136,511,33,0,149,69,146,0,0,5,36,8,62,3
國立臺灣科技大學,22458,484,48,0,60,165,79,0,1,6,30,9,72,14
國立臺灣藝術大學,11228,248,18,0,32,72,98,0,0,0,3,1,13,11
國立臺灣體育運動大學,6242,282,37,0,58,64,105,0,0,1,10,6,1,0
國立虎尾科技大學,22816,532,121,0,170,58,139,0,1,4,19,6,1,13
國立金門大學,8430,367,24,0,114,117,90,0,1,1,8,0,12,0
國立陽明交通大學,40824,985,109,1,163,613,4,0,2,4,39,0,50,0
國立雲林科技大學,19770,471,78,0,87,235,0,0,0,6,18,8,38,1
國立體育大學,5286,205,16,0,35,54,82,0,0,1,15,0,2,0
國立高雄大學,11832,366,29,0,132,58,121,0,0,3,17,2,2,2
國立高雄師範大學,14294,413,26,0,152,100,44,0,1,2,40,1,47,0
國立高雄科技大學,55804,1260,119,0,299,272,395,0,2,8,77,21,64,3
國立高雄餐旅大學,9596,121,9,7,43,6,38,0,0,0,10,2,4,2
城市學校財團法人臺北城市科技大學,18918,1138,79,4,168,122,408,1,1,6,56,16,252,25
大仁科技大學,9868,859,26,5,87,211,409,1,0,4,31,18,67,0
大同大學,7960,249,26,0,58,23,106,0,0,1,4,2,29,0
大同技術學院,1884,214,37,0,36,33,89,0,0,1,8,4,3,3
大漢技術學院,1808,159,3,0,4,68,64,1,0,0,8,2,9,0
大華學校財團法人敏實科技大學,1158,107,9,3,19,12,42,0,0,0,7,1,0,14
大葉大學,13550,679,16,0,231,96,284,1,0,3,14,12,22,0
學校財團法人中華浸信會基督教台灣浸會神學院,98,1,0,0,0,0,0,0,1,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,9992,529,61,17,61,200,163,0,0,3,17,3,2,2
實踐大學,25788,1130,154,18,489,107,292,0,1,8,20,3,36,2
崇仁醫護管理專科學校,6418,119,2,11,48,2,55,0,0,0,0,1,0,0
