學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
崇右學校財團法人崇右影藝科技大學,3848,325,14,0,64,119,104,0,0,1,12,8,3,0
崑山科技大學,19940,1156,29,0,337,7,584,0,2,7,91,23,50,26
嶺東科技大學,20506,1002,175,0,222,311,284,0,0,0,8,1,1,0
康寧學校財團法人康寧大學,6560,314,16,66,74,0,95,0,0,5,4,2,49,3
廣亞學校財團法人育達科技大學,7568,433,21,0,95,160,103,0,0,4,27,8,4,11
建國科技大學,11742,633,99,0,153,161,176,0,1,2,20,8,8,5
弘光科技大學,25332,988,82,1,247,225,396,1,1,1,15,6,12,1
德明財經科技大學,14584,500,64,3,192,23,193,0,0,2,14,1,7,1
德育學校財團法人德育護理健康學院,8016,518,72,10,148,60,75,0,2,8,40,7,65,31
慈惠醫護管理專科學校,6690,454,90,12,119,34,119,0,2,5,26,9,23,15
慈濟學校財團法人慈濟大學,6696,215,21,2,114,14,44,0,0,1,0,0,18,1
慈濟學校財團法人慈濟科技大學,6422,182,29,9,61,18,52,0,0,3,3,1,5,1
敏惠醫護管理專科學校,7810,223,38,4,48,8,61,0,0,5,3,3,31,22
文藻學校財團法人文藻外語大學,17366,764,46,1,293,106,238,0,0,4,46,11,18,1
新生醫護管理專科學校,12110,271,42,10,88,4,79,0,0,4,9,7,28,0
明志科技大學,8876,218,7,1,42,91,69,0,0,1,4,2,1,0
明新學校財團法人明新科技大學,22754,1109,39,1,192,168,451,0,0,7,199,6,37,9
明道學校財團法人明道大學,4026,242,20,0,54,80,75,0,1,0,8,2,2,0
景文科技大學,11806,640,76,0,149,152,217,0,0,6,20,6,14,0
朝陽科技大學,29310,1080,14,0,429,216,265,0,3,4,71,12,51,15
東南科技大學,9700,633,24,59,71,77,357,0,0,2,14,1,8,20
東吳大學,30916,761,97,0,176,88,353,0,1,2,7,0,28,9
東方學校財團法人東方設計大學,2942,378,3,5,102,151,92,0,0,3,9,0,13,0
東海大學,31734,852,108,0,306,6,343,0,0,8,20,4,50,7
樹人醫護管理專科學校,14610,521,54,23,254,23,130,0,0,9,12,0,0,16
樹德科技大學,20086,965,134,0,220,253,274,0,0,12,21,30,21,0
正修學校財團法人正修科技大學,35136,1951,237,22,367,458,652,0,0,8,64,27,115,1
法鼓學校財團法人法鼓文理學院,658,30,5,0,4,0,0,0,0,1,9,1,0,10
淡江大學學校財團法人淡江大學,49068,1345,75,0,529,0,627,0,0,6,13,5,86,4
玄奘大學,4098,335,43,0,90,80,40,1,0,3,39,10,7,22
環球學校財團法人環球科技大學,5662,399,39,3,67,123,137,0,0,1,15,6,6,2
真理大學,10020,591,20,0,315,128,111,0,0,4,1,7,5,0
美和學校財團法人美和科技大學,11870,522,32,26,109,92,210,0,0,2,19,2,30,0
義守大學,27918,1079,57,0,529,247,157,0,1,3,29,8,40,8
耕莘健康管理專科學校,8784,282,9,28,134,8,83,0,0,5,2,0,9,4
聖母醫護管理專科學校,3744,166,16,10,47,11,70,0,0,1,4,3,4,0
聖約翰科技大學,3676,325,33,2,83,19,128,0,0,1,33,7,18,1
育英醫護管理專科學校,3846,83,7,0,44,0,21,0,0,3,1,2,5,0
致理學校財團法人致理科技大學,22972,800,55,4,267,128,296,0,0,3,31,3,13,0
臺北基督學院,130,3,0,0,0,0,3,0,0,0,0,0,0,0
臺北市立大學,16228,441,36,0,87,145,6,0,1,1,49,4,109,3
臺北醫學大學,12274,298,20,0,82,12,158,0,0,1,8,1,10,6
華夏學校財團法人華夏科技大學,7000,520,30,0,147,95,214,0,0,2,17,2,8,5
華梵大學,2180,157,11,0,40,25,69,0,0,0,0,1,0,11
萬能學校財團法人萬能科技大學,18026,963,80,93,207,376,116,5,0,8,23,33,22,0
蘭陽技術學院,650,199,10,2,123,9,18,0,0,0,8,1,7,21
財團法人一貫道天皇基金會一貫道天皇學院,300,34,0,0,1,0,16,0,0,1,5,2,7,2
輔仁大學,51520,1460,83,1,384,274,617,0,0,8,31,9,53,0
輔英科技大學,19456,752,40,1,150,148,245,1,2,12,56,10,66,21
逢甲大學,42786,932,58,0,310,432,89,0,0,7,13,1,22,0
遠東科技大學,7514,473,19,1,81,125,197,0,1,2,27,2,13,5
醒吾學校財團法人醒吾科技大學,15034,1286,134,18,306,143,499,0,0,1,24,7,154,0
銘傳大學,37940,864,92,1,356,94,231,0,0,5,33,2,38,12
長庚大學,13860,393,22,0,200,22,108,0,0,2,9,3,26,1
長庚學校財團法人長庚科技大學,12794,125,5,0,59,0,28,0,1,4,14,1,10,3
長榮大學,15698,748,35,0,355,298,5,0,0,5,16,6,28,0
開南大學,10216,670,55,0,257,167,164,0,0,3,12,1,5,6
靜宜大學,24346,693,39,0,300,35,191,0,2,4,44,11,67,0
馬偕學校財團法人馬偕醫學院,1802,32,0,0,20,1,10,0,0,1,0,0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,7994,259,34,14,94,19,47,0,0,2,6,3,40,0
高苑科技大學,6280,564,43,23,58,159,164,2,0,4,91,5,7,8
高雄醫學大學,13056,372,20,0,160,19,155,0,0,1,6,3,4,4
黎明技術學院,10508,877,124,7,198,171,150,1,0,1,37,14,97,77
龍華科技大學,24008,1280,164,15,307,301,406,0,1,2,43,12,22,7
