rank,name,scores_overall
198.0,國立臺灣大學,51.7
325.5,國立清華大學,42.4–45.1
450.5,國立陽明交通大學,35.0–39.9
450.5,國立臺灣科技大學,35.0–39.9
550.5,中國醫藥大學,30.7–34.9
550.5,國立成功大學,30.7–34.9
550.5,國立臺灣師範大學,30.7–34.9
700.5,長庚大學,21.5–30.6
700.5,高雄醫學大學,21.5–30.6
700.5,國立中央大學,21.5–30.6
700.5,國立政治大學,21.5–30.6
700.5,國立中山大學,21.5–30.6
700.5,國立陽明大學,21.5–30.6
700.5,臺北醫學大學,21.5–30.6
900.5,亞洲大學,15.6–21.4
900.5,中原大學,15.6–21.4
900.5,逢甲大學,15.6–21.4
900.5,輔仁大學,15.6–21.4
900.5,義守大學,15.6–21.4
900.5,國立中正大學,15.6–21.4
900.5,國立東華大學,15.6–21.4
900.5,國立臺南大學,15.6–21.4
900.5,國立臺北大學,15.6–21.4
900.5,國立臺北科技大學,15.6–21.4
900.5,國立臺灣海洋大學,15.6–21.4
900.5,元智大學,15.6–21.4
