學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
一貫道崇德學院,116,0,0,0,0,0,0,0,0,0,0,0,0,0
世新大學,22774,651,123,0,164,53,280,0,0,1,10,3,17,0
中信學校財團法人中信金融管理學院,1436,50,5,0,28,9,4,0,0,0,0,0,2,2
中原大學,32434,755,36,1,152,70,458,0,2,1,18,5,12,0
中國文化大學,50372,1960,126,0,771,234,627,0,1,9,52,24,18,98
中國科技大學,18168,927,134,0,233,225,317,0,0,1,11,1,0,5
中國醫藥大學,14424,318,10,0,91,4,144,0,0,0,7,1,37,24
中山醫學大學,13826,407,6,0,151,21,223,0,1,0,3,0,1,1
中州學校財團法人中州科技大學,6122,440,4,0,40,187,65,0,0,0,28,6,3,107
中臺科技大學,16804,710,61,0,173,7,404,1,0,3,25,6,19,11
中華大學學校財團法人中華大學,10942,604,34,0,208,106,157,0,0,6,37,12,10,34
中華學校財團法人中華科技大學,10352,484,94,0,117,0,257,0,0,0,10,1,3,2
中華醫事科技大學,17980,766,76,24,285,10,291,0,0,4,4,19,2,51
亞東技術學院,8994,249,40,0,95,9,80,0,0,1,21,3,0,0
亞洲大學,23378,845,116,0,305,190,185,0,0,1,27,4,12,5
仁德醫護管理專科學校,12866,393,21,2,140,87,85,2,0,9,19,11,16,1
佛光大學,7100,376,49,0,110,188,0,0,1,5,11,6,5,1
修平學校財團法人修平科技大學,9168,480,60,20,142,75,146,0,0,2,0,3,22,10
健行學校財團法人健行科技大學,22538,1292,187,24,121,359,434,0,0,3,47,7,0,110
僑光科技大學,22112,967,94,0,354,290,128,1,0,4,36,7,50,3
元智大學,17406,421,91,0,99,55,126,0,0,1,6,5,19,19
光宇學校財團法人元培醫事科技大學,12412,594,99,1,130,191,125,0,1,3,25,13,2,4
南亞科技學校財團法人南亞技術學院,5378,486,50,0,64,80,266,0,0,0,15,8,3,0
南臺學校財團法人南臺科技大學,37126,898,47,0,318,272,166,0,0,2,48,13,25,7
南華大學,11380,677,95,0,193,62,267,0,1,7,34,5,12,1
南開科技大學,8212,503,49,2,160,75,191,0,0,0,12,4,0,10
台北海洋學校財團法人台北海洋科技大學,8880,698,8,3,221,139,234,0,0,9,33,33,4,14
台南家專學校財團法人台南應用科技大學,25428,1378,66,1,381,84,712,0,0,10,66,19,12,27
台灣基督長老教會南神神學院,134,3,0,0,1,0,0,0,0,0,1,0,0,1
台灣首府學校財團法人台灣首府大學,3078,290,10,0,31,118,83,0,0,1,29,0,18,0
台神學校財團法人台灣神學研究學院,214,2,0,0,0,0,1,0,0,0,0,0,1,0
吳鳳科技大學,8458,452,17,0,58,17,337,0,0,1,4,2,10,6
和春技術學院,1958,447,3,0,49,54,276,0,0,0,36,0,25,4
嘉藥學校財團法人嘉南藥理大學,26278,1283,14,0,273,142,721,0,0,5,10,17,1,100
國立中央大學,23644,537,77,0,113,72,242,0,2,3,13,5,10,0
國立中山大學,19126,558,61,0,33,59,201,0,1,2,48,5,88,60
國立中正大學,22410,619,110,1,133,65,273,0,0,5,21,2,2,7
國立中興大學,29966,844,126,0,216,134,239,0,0,10,55,7,45,12
國立勤益科技大學,22260,544,121,4,180,1,193,0,0,4,24,9,3,5
國立嘉義大學,23770,852,89,0,314,100,221,0,2,13,85,1,22,5
國立宜蘭大學,10838,348,46,0,126,36,114,0,0,1,6,0,19,0
國立屏東大學,17928,520,60,0,120,82,225,0,1,1,21,0,8,2
國立屏東科技大學,21726,609,95,0,162,75,224,0,0,8,17,2,26,0
國立彰化師範大學,16770,462,52,1,90,47,232,0,0,1,17,2,17,3
國立成功大學,42912,1063,145,0,139,121,566,0,0,5,18,15,53,1
國立政治大學,32780,629,65,0,119,5,408,0,0,5,22,1,3,1
國立暨南國際大學,12216,293,36,0,18,42,118,0,0,0,9,0,70,0
國立東華大學,19814,597,38,0,135,99,211,0,0,5,27,3,73,6
國立清華大學,33356,703,122,0,71,156,269,0,0,3,37,4,17,24
國立澎湖科技大學,6102,210,7,0,93,17,81,0,0,0,2,0,0,10
國立聯合大學,15176,535,104,1,213,68,131,0,0,0,5,0,13,0
國立臺中教育大學,9858,270,29,0,61,42,77,0,1,3,19,1,9,28
國立臺中科技大學,26734,573,91,1,167,101,166,0,0,2,18,2,6,19
國立臺北商業大學,13522,276,43,5,95,7,76,0,2,6,27,5,10,0
國立臺北大學,19908,477,99,0,114,34,136,0,0,2,53,4,22,13
國立臺北教育大學,11580,303,33,0,72,120,1,0,3,5,44,5,12,8
國立臺北科技大學,26928,601,104,1,76,123,251,0,0,3,18,9,12,4
國立臺北藝術大學,6196,171,17,0,6,22,76,0,0,1,25,0,24,0
國立臺北護理健康大學,10454,233,10,0,41,33,76,0,1,2,9,0,40,21
國立臺南大學,11334,336,30,0,109,16,26,0,0,3,96,7,49,0
國立臺南藝術大學,3214,125,14,0,30,5,27,0,0,1,12,1,21,14
國立臺南護理專科學校,3878,34,5,2,15,3,7,0,0,0,0,0,2,0
國立臺東大學,9444,350,7,0,148,12,139,0,0,2,27,1,3,11
國立臺東專科學校,2240,200,9,7,63,34,70,0,0,0,8,0,4,5
國立臺灣大學,63890,1324,164,0,135,426,428,0,0,1,43,1,15,111
國立臺灣師範大學,31432,717,77,0,134,484,0,0,0,3,8,0,5,6
國立臺灣戲曲學院,1190,35,8,0,7,5,13,0,0,0,0,0,0,2
國立臺灣海洋大學,17676,478,15,0,135,81,187,0,0,5,24,5,22,4
國立臺灣科技大學,22548,442,94,0,42,86,129,0,0,3,40,3,43,2
國立臺灣藝術大學,11202,287,20,0,49,90,100,0,0,0,5,1,13,9
國立臺灣體育運動大學,6214,282,53,1,67,45,94,0,0,0,13,8,1,0
國立虎尾科技大學,21498,446,99,0,126,45,123,0,0,2,32,12,4,3
國立金門大學,8774,385,42,0,109,107,112,0,1,2,5,1,6,0
國立陽明交通大學,29484,665,103,1,101,417,0,1,2,0,13,0,27,0
國立陽明大學,8672,218,9,0,68,21,79,0,2,1,18,0,6,14
