學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
一貫道崇德學院,100,0,0,0,0,0,0,0,0,0,0,0,0,0
世新大學,23180,668,119,0,174,82,263,0,0,3,10,2,15,0
中信學校財團法人中信金融管理學院,1322,64,0,0,50,9,2,0,0,1,0,0,1,1
中原大學,32378,1314,206,0,193,62,811,0,0,3,18,3,18,0
中國文化大學,50450,2155,243,0,696,224,837,1,0,9,40,25,10,70
中國科技大學,19944,976,109,0,271,134,430,0,1,1,12,1,3,14
中國醫藥大學,14850,296,1,0,72,7,143,0,0,2,6,1,29,35
中山醫學大學,14192,387,5,0,158,24,184,0,0,2,8,1,2,3
中州學校財團法人中州科技大學,6548,333,14,1,45,152,97,0,0,1,12,3,6,2
中臺科技大學,17370,655,56,0,151,3,394,0,0,0,24,2,12,13
中華大學學校財團法人中華大學,12534,551,45,0,143,100,164,0,0,5,26,13,10,45
中華學校財團法人中華科技大學,11620,574,74,0,124,0,336,1,0,0,23,2,9,5
中華醫事科技大學,18324,680,34,4,105,12,281,1,1,3,7,7,1,224
亞東技術學院,9044,203,22,0,70,3,82,0,0,0,22,3,0,1
亞洲大學,23558,815,105,0,298,111,245,0,0,3,22,2,13,16
仁德醫護管理專科學校,12850,406,46,3,149,77,78,0,1,6,8,3,5,30
佛光大學,7392,326,36,0,85,170,0,0,0,3,18,2,4,8
修平學校財團法人修平科技大學,9754,478,65,17,112,94,150,0,0,4,0,3,24,9
健行學校財團法人健行科技大學,22666,1057,126,26,98,264,464,0,0,5,42,5,0,27
僑光科技大學,21940,940,38,19,358,265,158,0,1,0,41,7,50,3
元智大學,17764,436,115,0,90,68,121,0,0,3,7,0,15,17
光宇學校財團法人元培醫事科技大學,12584,687,115,0,137,201,187,1,0,4,18,14,5,5
南亞科技學校財團法人南亞技術學院,6020,466,78,6,55,78,209,1,0,0,27,2,4,6
南臺學校財團法人南臺科技大學,37244,973,58,0,329,486,20,1,1,4,52,18,2,2
南華大學,11796,741,82,0,180,74,340,0,0,6,18,28,13,0
南開科技大學,9452,493,60,3,138,72,190,0,0,2,14,4,3,7
台北海洋學校財團法人台北海洋科技大學,9712,624,12,1,237,136,172,0,0,5,26,18,1,16
台南家專學校財團法人台南應用科技大學,25462,1171,65,0,360,86,568,0,0,2,53,10,5,22
台灣基督長老教會南神神學院,94,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣首府學校財團法人台灣首府大學,4388,305,11,0,46,138,80,0,0,1,25,1,1,2
台神學校財團法人台灣神學研究學院,186,1,0,0,0,0,0,0,0,0,1,0,0,0
吳鳳科技大學,8720,363,28,0,71,17,234,0,0,0,4,1,3,5
和春技術學院,2892,337,26,0,39,63,110,1,0,0,33,2,0,63
嘉藥學校財團法人嘉南藥理大學,28694,1065,9,0,277,11,623,0,0,10,20,22,0,93
國立中央大學,23920,543,105,0,81,68,274,0,0,0,3,3,9,0
國立中山大學,18850,506,54,0,33,64,185,0,1,1,46,4,71,47
國立中正大學,22656,593,95,0,117,79,252,0,0,3,20,1,4,22
國立中興大學,29768,806,104,0,209,133,248,0,0,5,60,4,21,22
國立勤益科技大學,22202,629,157,4,177,6,248,0,0,5,24,3,0,5
國立嘉義大學,24438,754,97,0,238,60,223,0,0,5,43,4,0,84
國立宜蘭大學,10940,350,68,0,96,42,119,0,0,1,9,1,12,2
國立屏東大學,17938,566,47,0,153,102,225,0,0,0,33,0,6,0
國立屏東科技大學,22244,599,101,0,173,66,188,0,0,0,24,9,32,6
國立彰化師範大學,16666,397,37,0,75,43,203,0,0,0,13,1,20,5
國立成功大學,42552,1059,166,0,43,125,575,0,0,1,5,3,140,1
國立政治大學,32686,565,52,0,121,0,369,0,0,4,11,0,2,6
國立暨南國際大學,12400,311,45,0,6,54,131,0,0,1,2,2,69,1
國立東華大學,19856,622,57,0,128,111,213,0,0,1,27,8,71,6
國立清華大學,33314,633,102,0,73,181,185,0,0,10,48,13,2,19
國立澎湖科技大學,6050,193,19,0,72,19,77,0,0,0,1,0,0,5
國立聯合大學,15244,478,98,0,169,73,122,0,0,4,7,1,1,3
國立臺中教育大學,9932,247,18,0,50,37,88,0,0,5,15,9,17,8
國立臺中科技大學,27130,582,68,4,160,115,163,2,0,1,10,2,1,56
國立臺北商業大學,13458,271,63,0,79,3,90,0,0,3,15,3,2,13
國立臺北大學,19846,410,65,0,100,41,128,0,0,1,30,2,10,33
國立臺北教育大學,11628,352,48,0,61,37,0,0,6,2,39,3,3,153
國立臺北科技大學,26194,614,101,0,63,109,277,0,0,6,17,4,17,20
國立臺北藝術大學,6144,179,25,0,33,24,56,0,0,2,31,0,8,0
國立臺北護理健康大學,10494,193,5,0,17,31,85,0,0,2,10,1,21,21
國立臺南大學,11384,347,26,0,107,17,49,0,0,0,81,11,56,0
國立臺南藝術大學,3128,128,6,0,32,9,24,0,0,1,20,1,19,16
國立臺南護理專科學校,3916,53,4,1,33,0,11,0,0,1,2,1,0,0
國立臺東大學,9166,336,15,0,150,19,118,0,0,3,19,5,3,4
國立臺東專科學校,2348,189,12,12,65,28,63,0,0,0,5,0,0,4
國立臺灣大學,63490,1301,137,0,96,405,499,0,0,2,27,1,0,134
國立臺灣師範大學,31164,817,89,0,179,537,0,0,0,1,5,0,6,0
國立臺灣戲曲學院,1214,35,1,0,8,1,16,0,0,0,2,2,0,5
國立臺灣海洋大學,17310,493,14,0,115,69,221,0,0,0,18,13,33,10
國立臺灣科技大學,22274,424,73,0,34,157,54,0,0,7,41,5,48,5
國立臺灣藝術大學,11428,252,26,0,35,72,84,0,0,0,9,2,16,8
國立臺灣體育運動大學,6200,296,69,0,38,58,112,0,0,0,10,9,0,0
國立虎尾科技大學,20656,498,89,0,134,50,176,0,1,1,17,7,9,14
國立金門大學,8606,355,16,0,22,79,113,0,1,1,9,0,0,114
國立陽明交通大學,28542,644,101,0,48,338,0,0,0,2,8,1,19,127
國立陽明大學,8668,223,3,0,37,9,113,0,0,3,14,0,30,14
國立雲林科技大學,19464,388,26,0,28,61,144,0,3,3,36,6,55,26
國立體育大學,4930,142,11,0,20,10,75,0,0,1,25,0,0,0
國立高雄大學,11130,314,18,0,91,36,120,0,2,1,28,2,0,16
國立高雄師範大學,13356,414,43,0,128,126,32,0,2,5,43,6,11,18
國立高雄科技大學,54548,1380,163,0,255,249,609,0,0,5,61,22,4,12
