學校名稱,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
國立高雄餐旅大學,10394,119,4,1,24,17,45,0,0,2,9,4,0,13
城市學校財團法人臺北城市科技大學,18716,1079,102,27,215,44,433,0,3,3,87,15,25,125
大仁科技大學,12520,636,19,2,113,280,174,1,2,2,19,12,9,3
大同大學,8780,291,107,0,60,17,89,0,0,0,3,1,7,7
大同技術學院,3606,505,78,0,45,26,222,0,0,1,16,5,1,111
大漢技術學院,2326,195,7,0,16,104,47,0,0,0,11,7,3,0
大華學校財團法人敏實科技大學,4038,336,22,9,90,50,67,0,0,0,12,5,2,79
大葉大學,20622,879,23,0,290,199,289,0,1,6,43,12,13,3
學校財團法人中華浸信會基督教台灣浸會神學院,62,0,0,0,0,0,0,0,0,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,12688,985,89,10,206,232,412,0,0,0,24,5,1,6
實踐大學,27936,1126,218,25,424,102,308,2,1,1,24,1,16,4
崇仁醫護管理專科學校,6784,103,1,5,34,2,51,0,0,2,2,0,1,5
崇右學校財團法人崇右影藝科技大學,4830,454,25,3,117,161,125,0,0,1,9,2,9,2
崑山科技大學,23354,824,12,0,280,17,339,1,0,9,82,16,20,48
嶺東科技大學,20672,954,117,0,236,224,298,1,0,0,20,1,8,49
康寧學校財團法人康寧大學,8608,644,4,52,138,1,240,0,0,3,39,22,64,81
廣亞學校財團法人育達科技大學,9680,565,22,0,28,206,188,1,0,3,45,18,2,52
建國科技大學,15090,778,99,2,140,230,229,0,0,3,28,13,5,29
弘光科技大學,25942,882,97,0,197,170,376,0,0,5,12,7,18,0
德明財經科技大學,16372,561,83,3,197,8,211,0,0,3,20,1,4,31
德育學校財團法人德育護理健康學院,7464,482,50,5,187,42,127,1,2,3,40,6,7,12
慈惠醫護管理專科學校,10080,411,129,14,182,26,3,0,0,5,11,15,9,17
慈濟學校財團法人慈濟大學,6896,202,15,0,85,21,66,0,0,0,1,1,5,8
慈濟學校財團法人慈濟科技大學,5958,173,14,9,51,11,67,0,0,2,8,2,1,8
敏惠醫護管理專科學校,7738,152,22,6,48,6,47,0,0,2,2,2,8,9
文藻學校財團法人文藻外語大學,18874,669,88,0,172,68,260,0,1,4,40,6,25,5
新生醫護管理專科學校,12116,291,93,20,91,2,44,0,0,1,11,7,0,22
明志科技大學,9118,214,7,0,28,55,89,0,0,0,3,3,0,29
明新學校財團法人明新科技大學,24784,1306,104,0,189,288,613,0,0,1,60,5,10,36
明道學校財團法人明道大學,7826,453,23,0,90,187,127,0,0,3,10,2,6,5
景文科技大學,14122,822,151,0,257,127,232,0,0,4,10,7,6,28
朝陽科技大學,31224,1202,131,1,385,219,286,0,0,6,66,31,41,36
東南科技大學,11870,764,42,53,110,84,436,0,0,1,7,7,5,19
東吳大學,31330,911,265,0,161,98,339,0,0,6,7,0,24,11
東方學校財團法人東方設計大學,5664,375,22,1,169,39,125,0,0,1,5,1,5,7
東海大學,32160,771,135,0,293,0,293,0,1,3,17,2,21,6
樹人醫護管理專科學校,14298,485,43,31,231,14,96,0,0,10,17,0,5,38
樹德科技大學,21252,816,87,0,246,200,241,0,0,7,16,4,10,5
正修學校財團法人正修科技大學,33878,1740,257,22,258,217,707,0,0,11,44,16,56,152
法鼓學校財團法人法鼓文理學院,560,33,0,0,1,13,15,0,0,1,0,0,1,2
淡江大學學校財團法人淡江大學,50686,1728,489,3,517,0,572,0,0,10,22,13,31,71
玄奘大學,7348,460,70,0,111,198,1,0,2,5,37,6,7,23
環球學校財團法人環球科技大學,9552,708,53,0,172,191,197,0,0,1,22,6,0,66
真理大學,12408,582,44,0,229,144,153,0,0,0,3,5,4,0
稻江科技暨管理學院,4668,370,3,5,30,79,114,0,0,1,48,32,55,3
美和學校財團法人美和科技大學,14806,772,41,11,151,165,225,0,0,0,31,48,89,11
義守大學,31064,1314,89,0,467,330,224,0,1,4,27,7,11,154
耕莘健康管理專科學校,10186,305,6,23,150,7,77,1,0,3,8,2,11,17
聖母醫護管理專科學校,5554,220,31,18,63,13,82,0,0,1,1,0,5,6
聖約翰科技大學,7614,463,33,4,122,48,152,1,0,1,55,22,13,12
育英醫護管理專科學校,4026,52,4,0,11,2,17,1,0,1,0,2,14,0
致理學校財團法人致理科技大學,23018,590,82,26,144,27,206,0,1,2,21,5,61,15
臺北基督學院,178,13,0,0,0,0,13,0,0,0,0,0,0,0
臺北市立大學,15548,516,19,0,71,179,8,1,4,7,71,3,86,67
臺北醫學大學,12280,294,30,0,69,22,166,0,0,0,3,0,1,3
臺灣觀光學院,1502,224,2,8,44,41,96,0,0,2,25,6,0,0
華夏學校財團法人華夏科技大學,8732,835,41,0,209,167,351,0,1,0,19,8,35,4
華梵大學,3742,283,14,0,103,89,63,0,0,0,0,8,1,5
萬能學校財團法人萬能科技大學,20760,1077,105,66,258,440,120,2,0,2,38,33,8,5
蘭陽技術學院,1842,189,27,24,19,20,43,1,0,1,7,2,44,1
財團法人一貫道天皇基金會一貫道天皇學院,256,16,0,0,0,1,1,0,0,2,9,0,1,2
輔仁大學,52352,1822,394,0,335,359,676,0,0,7,32,8,9,2
輔英科技大學,18802,658,24,1,176,132,233,0,4,3,43,7,12,23
逢甲大學,41624,952,180,0,270,431,0,0,1,8,45,3,6,8
遠東科技大學,11106,635,56,0,140,130,226,0,0,4,30,19,6,24
醒吾學校財團法人醒吾科技大學,16194,1170,98,42,444,159,219,0,1,9,16,24,93,65
銘傳大學,37950,961,75,1,379,110,332,0,0,4,29,2,22,7
長庚大學,14104,322,27,2,55,42,166,0,0,1,9,0,11,9
長庚學校財團法人長庚科技大學,13270,142,5,0,64,0,41,0,0,2,10,1,2,17
長榮大學,18518,668,0,0,253,327,0,0,0,1,22,17,3,45
開南大學,13330,879,121,0,197,315,206,0,1,3,21,2,11,2
靜宜大學,24208,695,48,0,264,55,240,1,1,4,30,5,37,10
馬偕學校財團法人馬偕醫學院,1416,25,1,0,3,0,13,0,0,0,0,0,1,7
馬偕學校財團法人馬偕醫護管理專科學校,8552,201,12,6,113,20,30,0,0,0,10,0,0,10
高苑科技大學,9384,855,72,28,165,167,115,0,0,1,157,13,8,129
高雄醫學大學,13604,395,17,0,129,18,206,0,0,2,6,2,4,11
黎明技術學院,9850,531,82,10,107,179,69,0,0,2,12,2,56,12
龍華科技大學,22458,1196,134,1,391,257,328,3,0,6,32,11,0,33
